wall_time,step,value
1658338973.3341825,1024,9.999999747378752e-05
1658338978.473176,20480,9.999999747378752e-05
1658338983.5804482,54272,9.999999747378752e-05
1658338988.8704488,107520,9.999999747378752e-05
1658338994.08063,160768,9.999999747378752e-05
1658338999.3386655,215040,9.999999747378752e-05
1658339004.6946344,270336,9.999999747378752e-05
1658339010.210784,325632,9.999999747378752e-05
1658339015.673437,381952,9.999999747378752e-05
1658339021.2429137,440320,9.999999747378752e-05
1658339026.9009001,497664,9.999999747378752e-05
1658339032.6208484,556032,9.999999747378752e-05
1658339038.3453276,615424,9.999999747378752e-05
1658339044.1314273,674816,9.999999747378752e-05
1658339050.003528,735232,9.999999747378752e-05
1658339056.0094247,797696,9.999999747378752e-05
1658339062.0424044,859136,9.999999747378752e-05
1658339068.2154868,921600,9.999999747378752e-05
1658339074.3333292,984064,9.999999747378752e-05
1658339080.6045282,1049600,9.999999747378752e-05
1658339086.9072504,1114112,9.999999747378752e-05
1658339093.2451394,1179648,9.999999747378752e-05
1658339099.6612668,1246208,9.999999747378752e-05
1658339106.159744,1311744,9.999999747378752e-05
1658339112.733126,1380352,9.999999747378752e-05
1658339119.418717,1448960,9.999999747378752e-05
1658339126.1895354,1517568,9.999999747378752e-05
1658339133.0344193,1588224,9.999999747378752e-05
1658339139.9903567,1659904,9.999999747378752e-05
1658339146.9913867,1730560,9.999999747378752e-05
1658339154.2018316,1804288,9.999999747378752e-05
1658339161.5097003,1881088,9.999999747378752e-05
1658339168.7224448,1954816,9.999999747378752e-05
1658339176.0377662,2030592,9.999999747378752e-05
1658339183.458532,2106368,9.999999747378752e-05
1658339191.0217967,2184192,9.999999747378752e-05
1658339198.705776,2263040,9.999999747378752e-05
1658339206.4835773,2341888,9.999999747378752e-05
1658339214.2324088,2422784,9.999999747378752e-05
1658339222.0896635,2503680,9.999999747378752e-05
1658339230.083038,2585600,9.999999747378752e-05
1658339238.1374304,2667520,9.999999747378752e-05
1658339246.2598684,2751488,9.999999747378752e-05
1658339254.55871,2836480,9.999999747378752e-05
1658339262.8527744,2921472,9.999999747378752e-05
1658339271.4331741,3010560,9.999999747378752e-05
1658339279.9435859,3097600,9.999999747378752e-05
1658339288.602753,3185664,9.999999747378752e-05
1658339297.320537,3276800,9.999999747378752e-05
1658339306.1258035,3366912,9.999999747378752e-05
1658339315.0743403,3457024,9.999999747378752e-05
1658339324.1487577,3550208,9.999999747378752e-05
1658339333.2808487,3644416,9.999999747378752e-05
1658339342.509831,3737600,9.999999747378752e-05
1658339351.9246428,3834880,9.999999747378752e-05
1658339361.4733572,3933184,9.999999747378752e-05
1658339371.0594335,4031488,9.999999747378752e-05
1658339380.901905,4132864,9.999999747378752e-05
1658339390.7272377,4234240,9.999999747378752e-05
1658339400.6578581,4336640,9.999999747378752e-05
1658339410.835389,4440064,9.999999747378752e-05
1658339421.0953531,4545536,9.999999747378752e-05
1658339431.3603728,4651008,9.999999747378752e-05
1658339441.7534869,4759552,9.999999747378752e-05
1658339452.2544427,4865024,9.999999747378752e-05
1658339463.0229797,4975616,9.999999747378752e-05
1658339473.8323765,5088256,9.999999747378752e-05
1658339484.7101793,5200896,9.999999747378752e-05
1658339495.7284336,5314560,9.999999747378752e-05
1658339506.9847865,5430272,9.999999747378752e-05
1658339518.280938,5545984,9.999999747378752e-05
1658339529.8067243,5663744,9.999999747378752e-05
1658339541.5310354,5784576,9.999999747378752e-05
1658339553.2338881,5907456,9.999999747378752e-05
1658339565.018714,6027264,9.999999747378752e-05
1658339576.9475183,6152192,9.999999747378752e-05
1658339589.0852952,6275072,9.999999747378752e-05
1658339601.3501937,6401024,9.999999747378752e-05
1658339613.7924664,6530048,9.999999747378752e-05
1658339626.317935,6658048,9.999999747378752e-05
1658339638.996479,6789120,9.999999747378752e-05
1658339651.8295448,6921216,9.999999747378752e-05
1658339664.790233,7054336,9.999999747378752e-05
1658339677.8944056,7190528,9.999999747378752e-05
1658339691.2166054,7326720,9.999999747378752e-05
1658339704.6577113,7464960,9.999999747378752e-05
1658339718.2936356,7604224,9.999999747378752e-05
1658339732.089862,7746560,9.999999747378752e-05
1658339745.9730008,7889920,9.999999747378752e-05
1658339760.1121273,8034304,9.999999747378752e-05
1658339774.3679492,8180736,9.999999747378752e-05
1658339788.762689,8328192,9.999999747378752e-05
1658339803.3349373,8478720,9.999999747378752e-05
1658339818.0397458,8630272,9.999999747378752e-05
1658339832.9178245,8782848,9.999999747378752e-05
1658339848.0050287,8938496,9.999999747378752e-05
1658339863.3044696,9095168,9.999999747378752e-05
1658339878.7425811,9253888,9.999999747378752e-05
1658339894.4378548,9415680,9.999999747378752e-05
1658339910.2983897,9579520,9.999999747378752e-05
1658339926.2633498,9743360,9.999999747378752e-05
1658339942.4759462,9910272,9.999999747378752e-05
1658339958.8465047,10079232,9.999999747378752e-05
1658339975.5272746,10250240,9.999999747378752e-05
1658339992.2681801,10423296,9.999999747378752e-05
1658340009.3066628,10596352,9.999999747378752e-05
1658340026.4336853,10772480,9.999999747378752e-05
1658340043.7481499,10950656,9.999999747378752e-05
1658340061.326178,11130880,9.999999747378752e-05
1658340079.0701258,11312128,9.999999747378752e-05
1658340096.9869602,11496448,9.999999747378752e-05
1658340115.2076752,11683840,9.999999747378752e-05
1658340133.6856458,11873280,9.999999747378752e-05
1658340152.27072,12064768,9.999999747378752e-05
1658340171.0537882,12259328,9.999999747378752e-05
1658340190.125281,12454912,9.999999747378752e-05
1658340209.3766208,12651520,9.999999747378752e-05
1658340228.91769,12853248,9.999999747378752e-05
1658340248.6413724,13056000,9.999999747378752e-05
1658340268.5456104,13261824,9.999999747378752e-05
1658340288.7083044,13468672,9.999999747378752e-05
1658340309.1378555,13679616,9.999999747378752e-05
1658340329.7458978,13890560,9.999999747378752e-05
1658340350.6747258,14106624,9.999999747378752e-05
1658340371.7756248,14324736,9.999999747378752e-05
1658340393.1371367,14544896,9.999999747378752e-05
1658340414.7735708,14768128,9.999999747378752e-05
1658340436.6412246,14992384,9.999999747378752e-05
1658340458.7787533,15219712,9.999999747378752e-05
1658340481.1369321,15451136,9.999999747378752e-05
1658340503.866009,15684608,9.999999747378752e-05
1658340526.8324168,15921152,9.999999747378752e-05
1658340550.0029278,16159744,9.999999747378752e-05
1658340573.5665529,16403456,9.999999747378752e-05
1658340597.322577,16647168,9.999999747378752e-05
1658340621.4125872,16894976,9.999999747378752e-05
1658340645.7093976,17144832,9.999999747378752e-05
1658340670.2953768,17396736,9.999999747378752e-05
1658340695.2212696,17654784,9.999999747378752e-05
1658340720.3495386,17912832,9.999999747378752e-05
1658340745.8014123,18173952,9.999999747378752e-05
1658340771.6278899,18438144,9.999999747378752e-05
1658340797.7541955,18707456,9.999999747378752e-05
1658340824.132496,18978816,9.999999747378752e-05
