wall_time,step,value
1658338973.3427608,1024,1.0
1658338978.480085,20480,1.0
1658338983.5969424,54272,1.0
1658338988.8786428,107520,1.0
1658338994.094269,160768,1.0
1658338999.3530939,215040,1.0
1658339004.7027733,270336,1.0
1658339010.2167692,325632,1.0
1658339015.6846344,381952,1.0
1658339021.252864,440320,1.0
1658339026.91298,497664,1.0
1658339032.6321154,556032,1.0
1658339038.3546364,615424,1.0
1658339044.1459646,674816,1.0
1658339050.0168815,735232,1.0
1658339056.0219657,797696,1.0
1658339062.0514925,859136,1.0
1658339068.222092,921600,1.0
1658339074.3425899,984064,1.0
1658339080.6175404,1049600,1.0
1658339086.918639,1114112,1.0
1658339093.251675,1179648,1.0
1658339099.6720636,1246208,1.0
1658339106.1677666,1311744,1.0
1658339112.7418156,1380352,1.0
1658339119.4253898,1448960,1.0
1658339126.1998992,1517568,1.0
1658339133.0396266,1588224,1.0
1658339140.0003295,1659904,1.0
1658339147.0013947,1730560,1.0
1658339154.2081513,1804288,1.0
1658339161.5148463,1881088,1.0
1658339168.7293735,1954816,1.0
1658339176.046514,2030592,1.0
1658339183.4701924,2106368,1.0
1658339191.027408,2184192,1.0
1658339198.7118948,2263040,1.0
1658339206.4926064,2341888,1.0
1658339214.2439828,2422784,1.0
1658339222.0958948,2503680,1.0
1658339230.0914168,2585600,1.0
1658339238.1439693,2667520,1.0
1658339246.272092,2751488,1.0
1658339254.5681238,2836480,1.0
1658339262.864806,2921472,1.0
1658339271.440553,3010560,1.0
1658339279.962823,3097600,1.0
1658339288.6084514,3185664,1.0
1658339297.3409445,3276800,1.0
1658339306.132093,3366912,1.0
1658339315.089074,3457024,1.0
1658339324.160274,3550208,1.0
1658339333.2867522,3644416,1.0
1658339342.515244,3737600,1.0
1658339351.930709,3834880,1.0
1658339361.4831161,3933184,1.0
1658339371.0729783,4031488,1.0
1658339380.9148414,4132864,1.0
1658339390.732971,4234240,1.0
1658339400.667861,4336640,1.0
1658339410.8420827,4440064,1.0
1658339421.104633,4545536,1.0
1658339431.3663433,4651008,1.0
1658339441.7628903,4759552,1.0
1658339452.2638245,4865024,1.0
1658339463.0427635,4975616,1.0
1658339473.849086,5088256,1.0
1658339484.7192566,5200896,1.0
1658339495.7388122,5314560,1.0
1658339506.9908652,5430272,1.0
1658339518.2907345,5545984,1.0
1658339529.8188856,5663744,1.0
1658339541.5375497,5784576,1.0
1658339553.2404697,5907456,1.0
1658339565.0231102,6027264,1.0
1658339576.9521902,6152192,1.0
1658339589.091534,6275072,1.0
1658339601.3587894,6401024,1.0
1658339613.8028438,6530048,1.0
1658339626.3302944,6658048,1.0
1658339639.0025675,6789120,1.0
1658339651.8357968,6921216,1.0
1658339664.8041003,7054336,1.0
1658339677.903419,7190528,1.0
1658339691.2284782,7326720,1.0
