wall_time,step,value
1658338973.3347611,1024,-4.067984104156494
1658338978.4732907,20480,-3.4972503185272217
1658338983.580557,54272,-3.8976244926452637
1658338988.8705559,107520,-4.168375015258789
1658338994.0806942,160768,-3.968247652053833
1658338999.3387358,215040,-3.9606120586395264
1658339004.6947489,270336,-4.090243339538574
1658339010.210893,325632,-4.149754047393799
1658339015.6735153,381952,-4.091128826141357
1658339021.2430234,440320,-4.0165886878967285
1658339026.901009,497664,-3.9901039600372314
1658339032.6209579,556032,-3.995396852493286
1658339038.3454423,615424,-3.9898180961608887
1658339044.1314995,674816,-3.9863972663879395
1658339050.0036345,735232,-3.9966881275177
1658339056.0095403,797696,-4.019715309143066
1658339062.0425234,859136,-4.039663791656494
1658339068.2155907,921600,-4.065411567687988
1658339074.3334308,984064,-4.063486099243164
1658339080.6046364,1049600,-4.063632965087891
1658339086.9073553,1114112,-4.076048851013184
1658339093.2452505,1179648,-4.09218168258667
1658339099.661334,1246208,-4.0838494300842285
1658339106.1598463,1311744,-4.087804794311523
1658339112.733232,1380352,-4.111886501312256
1658339119.4188159,1448960,-4.108705997467041
1658339126.1896412,1517568,-4.093222141265869
1658339133.034493,1588224,-4.1023030281066895
1658339139.9904392,1659904,-4.097231388092041
1658339146.9914901,1730560,-4.064149856567383
1658339154.2019384,1804288,-4.041513442993164
1658339161.5098085,1881088,-4.018604278564453
1658339168.7225492,1954816,-4.001934051513672
1658339176.0378695,2030592,-4.0057830810546875
1658339183.4586477,2106368,-3.9819369316101074
1658339191.021937,2184192,-3.9812583923339844
1658339198.7058828,2263040,-3.9993526935577393
1658339206.4836788,2341888,-3.994861125946045
1658339214.2325056,2422784,-4.014601707458496
1658339222.0897658,2503680,-4.031780242919922
1658339230.0831413,2585600,-4.032554626464844
1658339238.1375372,2667520,-4.050751686096191
1658339246.2599845,2751488,-4.03948974609375
1658339254.5588624,2836480,-4.051396369934082
1658339262.8528574,2921472,-4.063516139984131
1658339271.4332767,3010560,-4.043737888336182
1658339279.943696,3097600,-4.047909259796143
1658339288.602876,3185664,-4.048964500427246
1658339297.320632,3276800,-4.056238651275635
1658339306.1259134,3366912,-4.06775426864624
1658339315.0744221,3457024,-4.075432300567627
1658339324.1488514,3550208,-4.090421676635742
1658339333.2809622,3644416,-4.0932488441467285
1658339342.5099351,3737600,-4.099686145782471
1658339351.9247603,3834880,-4.111450672149658
1658339361.4734466,3933184,-4.134371280670166
1658339371.0595446,4031488,-4.140616416931152
1658339380.9020033,4132864,-4.152368545532227
1658339390.7273335,4234240,-4.1541900634765625
1658339400.6579552,4336640,-4.151812553405762
1658339410.8355005,4440064,-4.1423821449279785
1658339421.0954604,4545536,-4.129000186920166
1658339431.3604772,4651008,-4.114346981048584
1658339441.753591,4759552,-4.101667881011963
1658339452.2545514,4865024,-4.0973076820373535
1658339463.0230732,4975616,-4.096531867980957
1658339473.832441,5088256,-4.100740432739258
1658339484.7102866,5200896,-4.0955963134765625
1658339495.728538,5314560,-4.092298984527588
1658339506.9848902,5430272,-4.0901265144348145
1658339518.2810426,5545984,-4.092814922332764
1658339529.8068326,5663744,-4.093245029449463
1658339541.5311353,5784576,-4.097833633422852
1658339553.233992,5907456,-4.100800037384033
1658339565.0188255,6027264,-4.105859756469727
1658339576.947624,6152192,-4.115171432495117
1658339589.0854156,6275072,-4.123588562011719
1658339601.3502958,6401024,-4.132674694061279
1658339613.7925713,6530048,-4.140140533447266
1658339626.3180299,6658048,-4.144124984741211
1658339638.9965506,6789120,-4.1451945304870605
1658339651.8296647,6921216,-4.145127296447754
1658339664.7903323,7054336,-4.145651340484619
1658339677.894519,7190528,-4.1411213874816895
1658339691.2167125,7326720,-4.136715412139893
1658339704.6578119,7464960,-4.137698173522949
1658339718.2937467,7604224,-4.13578987121582
1658339732.090033,7746560,-4.1316046714782715
1658339745.9730766,7889920,-4.122494220733643
1658339760.1122332,8034304,-4.113384246826172
1658339774.3680837,8180736,-4.104803085327148
1658339788.7628033,8328192,-4.094172954559326
1658339803.335037,8478720,-4.082446098327637
1658339818.0398536,8630272,-4.064660549163818
1658339832.9179418,8782848,-4.044980525970459
1658339848.005138,8938496,-4.034212589263916
1658339863.304576,9095168,-4.023939609527588
1658339878.7426546,9253888,-4.009502410888672
1658339894.4379563,9415680,-3.9928805828094482
1658339910.2984636,9579520,-3.9789891242980957
1658339926.26346,9743360,-3.965644121170044
1658339942.4760568,9910272,-3.9516403675079346
1658339958.8466127,10079232,-3.9357147216796875
1658339975.5274088,10250240,-3.9147751331329346
1658339992.2682898,10423296,-3.8936221599578857
1658340009.3067586,10596352,-3.87172794342041
1658340026.4337947,10772480,-3.8550045490264893
1658340043.748261,10950656,-3.839878559112549
1658340061.3262725,11130880,-3.81949782371521
1658340079.0702348,11312128,-3.7971582412719727
1658340096.9870658,11496448,-3.7747912406921387
1658340115.2077763,11683840,-3.750378131866455
1658340133.6857407,11873280,-3.7258903980255127
1658340152.2708232,12064768,-3.7018470764160156
1658340171.0538833,12259328,-3.6772491931915283
1658340190.125415,12454912,-3.6558351516723633
1658340209.376729,12651520,-3.634723663330078
1658340228.9177942,12853248,-3.612339496612549
1658340248.6414876,13056000,-3.584078073501587
1658340268.5457196,13261824,-3.55922794342041
1658340288.7084115,13468672,-3.5361690521240234
1658340309.1379569,13679616,-3.5104784965515137
1658340329.7460377,13890560,-3.482896089553833
1658340350.674825,14106624,-3.45318865776062
