wall_time,step,value
1658338973.33555,1024,1.0
1658338978.4734735,20480,1.0
1658338983.5807302,54272,1.0
1658338988.8707235,107520,1.0
1658338994.080793,160768,1.0
1658338999.3388367,215040,1.0
1658339004.6949432,270336,1.0
1658339010.2110813,325632,1.0
1658339015.673617,381952,1.0
1658339021.2432063,440320,1.0
1658339026.9011922,497664,1.0
1658339032.6211324,556032,1.0
1658339038.3456259,615424,1.0
1658339044.1316001,674816,1.0
1658339050.0038056,735232,1.0
1658339056.0097294,797696,1.0
1658339062.0426867,859136,1.0
1658339068.215759,921600,1.0
1658339074.3336084,984064,1.0
1658339080.604826,1049600,1.0
1658339086.9075289,1114112,1.0
1658339093.245433,1179648,1.0
1658339099.6614337,1246208,1.0
1658339106.1600053,1311744,1.0
1658339112.733405,1380352,1.0
1658339119.41898,1448960,1.0
1658339126.1898184,1517568,1.0
1658339133.0345917,1588224,1.0
1658339139.9905357,1659904,1.0
1658339146.9916623,1730560,1.0
1658339154.2021139,1804288,1.0
1658339161.509985,1881088,1.0
1658339168.7227118,1954816,1.0
1658339176.0380456,2030592,1.0
1658339183.4588065,2106368,1.0
1658339191.0221188,2184192,1.0
1658339198.7060678,2263040,1.0
1658339206.4838593,2341888,1.0
1658339214.2326632,2422784,1.0
1658339222.0899286,2503680,1.0
1658339230.0833178,2585600,1.0
1658339238.1376882,2667520,1.0
1658339246.2601585,2751488,1.0
1658339254.5590305,2836480,1.0
1658339262.8530183,2921472,1.0
1658339271.433449,3010560,1.0
1658339279.943876,3097600,1.0
1658339288.6030662,3185664,1.0
1658339297.3208125,3276800,1.0
1658339306.1260872,3366912,1.0
1658339315.074517,3457024,1.0
1658339324.149015,3550208,1.0
1658339333.2811422,3644416,1.0
1658339342.5100956,3737600,1.0
1658339351.9249399,3834880,1.0
1658339361.4736025,3933184,1.0
1658339371.0597224,4031488,1.0
1658339380.9021547,4132864,1.0
1658339390.7275054,4234240,1.0
1658339400.6581242,4336640,1.0
1658339410.835707,4440064,1.0
1658339421.0956378,4545536,1.0
1658339431.3606496,4651008,1.0
1658339441.7537484,4759552,1.0
1658339452.2547276,4865024,1.0
1658339463.023229,4975616,1.0
1658339473.8325622,5088256,1.0
1658339484.7135546,5200896,1.0
1658339495.7287095,5314560,1.0
1658339506.9850624,5430272,1.0
1658339518.2812262,5545984,1.0
1658339529.8070042,5663744,1.0
1658339541.5312972,5784576,1.0
1658339553.23415,5907456,1.0
1658339565.018991,6027264,1.0
1658339576.9477909,6152192,1.0
1658339589.085582,6275072,1.0
1658339601.350461,6401024,1.0
1658339613.792754,6530048,1.0
1658339626.3181849,6658048,1.0
1658339638.9966493,6789120,1.0
1658339651.829847,6921216,1.0
1658339664.7905266,7054336,1.0
1658339677.8946939,7190528,1.0
1658339691.2168894,7326720,1.0
1658339704.6579816,7464960,1.0
1658339718.2939231,7604224,1.0
1658339732.0902207,7746560,1.0
1658339745.9731736,7889920,1.0
1658339760.1124115,8034304,1.0
1658339774.368262,8180736,1.0
1658339788.7629719,8328192,1.0
1658339803.335198,8478720,1.0
1658339818.0400302,8630272,1.0
1658339832.91811,8782848,1.0
1658339848.0053182,8938496,1.0
1658339863.3047311,9095168,1.0
1658339878.7427983,9253888,1.0
1658339894.4381237,9415680,1.0
1658339910.298584,9579520,1.0
1658339926.2636287,9743360,1.0
1658339942.4762225,9910272,1.0
1658339958.8467853,10079232,1.0
1658339975.5275877,10250240,1.0
1658339992.2684684,10423296,1.0
1658340009.3069115,10596352,1.0
1658340026.4339752,10772480,1.0
1658340043.748443,10950656,1.0
1658340061.3264425,11130880,1.0
1658340079.0704172,11312128,1.0
1658340096.9872491,11496448,1.0
1658340115.2079496,11683840,1.0
1658340133.6859117,11873280,1.0
1658340152.270987,12064768,1.0
1658340171.0540571,12259328,1.0
1658340190.1255975,12454912,1.0
1658340209.3769066,12651520,1.0
1658340228.9179752,12853248,1.0
1658340248.6416726,13056000,1.0
1658340268.545899,13261824,1.0
1658340288.7085934,13468672,1.0
1658340309.1381307,13679616,1.0
1658340329.746203,13890560,1.0
1658340350.6749787,14106624,1.0
1658340371.775885,14324736,1.0
1658340393.1374543,14544896,1.0
1658340414.773863,14768128,1.0
1658340436.6415048,14992384,1.0
1658340458.7790334,15219712,1.0
1658340481.1372414,15451136,1.0
1658340503.8662922,15684608,1.0
1658340526.832677,15921152,1.0
1658340550.0032203,16159744,1.0
1658340573.5667248,16403456,1.0
1658340597.322777,16647168,1.0
1658340621.4128728,16894976,1.0
1658340645.7096732,17144832,1.0
1658340670.2955472,17396736,1.0
1658340695.2215302,17654784,1.0
1658340720.3498263,17912832,1.0
1658340745.8017032,18173952,1.0
1658340771.6281564,18438144,1.0
1658340797.7545023,18707456,1.0
1658340824.1327655,18978816,1.0
1658340850.8480105,19253248,1.0
1658340877.8423693,19529728,1.0
1658340905.1311035,19812352,1.0
1658340932.8058565,20097024,1.0
1658340960.8410852,20383744,1.0
1658340989.1381898,20675584,1.0
1658341017.7006068,20968448,1.0
1658341046.6257105,21266432,1.0
1658341075.909319,21568512,1.0
1658341105.6339788,21873664,1.0
1658341135.7375195,22182912,1.0
1658341166.0344877,22495232,1.0
1658341196.7073095,22811648,1.0
1658341227.7084372,23129088,1.0
1658341259.1563916,23451648,1.0
1658341290.969215,23778304,1.0
1658341323.1043952,24109056,1.0
1658341355.5864542,24442880,1.0
1658341388.472726,24780800,1.0
1658341421.7020423,25123840,1.0
1658341455.3779945,25469952,1.0
1658341489.4332402,25820160,1.0
1658341523.8837187,26173440,1.0
1658341558.6758704,26530816,1.0
1658341593.9062436,26893312,1.0
1658341629.5977952,27260928,1.0
1658341665.6474955,27630592,1.0
1658341702.2183542,28007424,1.0
1658341739.1634574,28386304,1.0
1658341776.5516746,28771328,1.0
1658341814.3206258,29159424,1.0
1658341852.5719416,29553664,1.0
1658341891.2692204,29950976,1.0
1658341930.4203966,30354432,1.0
1658341970.0321531,30760960,1.0
1658342010.0967226,31173632,1.0
1658342050.6607804,31590400,1.0
1658342091.7477522,32012288,1.0
1658342133.3200207,32440320,1.0
1658342175.3335702,32872448,1.0
1658342217.8620648,33310720,1.0
1658342260.88779,33752064,1.0
