wall_time,step,value
1658338973.3428395,1024,0.0
1658338978.4801593,20480,3.181640625
1658338983.5970082,54272,6.49609375
1658338988.8825915,107520,7.099609375
1658338994.0943153,160768,8.07421875
1658338999.3531797,215040,9.63671875
1658339004.7079463,270336,9.287109375
1658339010.2173038,325632,8.67578125
1658339015.6847155,381952,8.185546875
1658339021.2529387,440320,8.767578125
1658339026.9137557,497664,8.431640625
1658339032.6321611,556032,8.552734375
1658339038.354719,615424,8.845703125
1658339044.1460435,674816,9.47265625
1658339050.0169713,735232,8.9453125
1658339056.0220354,797696,10.0078125
1658339062.0515451,859136,9.712890625
1658339068.2221694,921600,8.66015625
1658339074.3426938,984064,8.107421875
1658339080.617603,1049600,9.099609375
1658339086.9187303,1114112,9.087890625
1658339093.2529447,1179648,9.615234375
1658339099.6721408,1246208,9.94140625
1658339106.1678376,1311744,8.109375
1658339112.7419038,1380352,9.626953125
1658339119.4254415,1448960,9.900390625
1658339126.2006521,1517568,8.6953125
1658339133.0402243,1588224,9.048828125
1658339140.000413,1659904,9.71484375
1658339147.001479,1730560,9.126953125
1658339154.2082188,1804288,8.8046875
1658339161.514893,1881088,9.751953125
1658339168.7294166,1954816,9.8515625
1658339176.0465875,2030592,8.90234375
1658339183.4715388,2106368,9.03515625
1658339191.0274856,2184192,10.14453125
1658339198.7119775,2263040,8.904296875
1658339206.4926527,2341888,9.10546875
1658339214.2440696,2422784,10.357421875
1658339222.095968,2503680,10.107421875
1658339230.0914938,2585600,10.28125
1658339238.1440418,2667520,9.779296875
1658339246.2721727,2751488,9.642578125
1658339254.568212,2836480,8.7109375
1658339262.864892,2921472,8.81640625
1658339271.444215,3010560,10.560546875
1658339279.9629104,3097600,9.638671875
1658339288.608736,3185664,9.515625
1658339297.3409903,3276800,9.439453125
1658339306.132173,3366912,10.71484375
1658339315.0893013,3457024,8.033203125
1658339324.160358,3550208,8.95703125
1658339333.2873073,3644416,9.81640625
1658339342.515288,3737600,9.017578125
1658339351.9314532,3834880,9.154296875
1658339361.483197,3933184,10.48046875
1658339371.0730562,4031488,9.1875
1658339380.9149187,4132864,9.904296875
1658339390.7330148,4234240,9.80859375
1658339400.667964,4336640,9.7578125
1658339410.8421757,4440064,9.171875
1658339421.1049247,4545536,8.712890625
1658339431.3664367,4651008,8.494140625
1658339441.7630596,4759552,10.6875
1658339452.263913,4865024,8.642578125
1658339463.0428424,4975616,9.154296875
1658339473.8491623,5088256,9.4140625
1658339484.7193406,5200896,9.59765625
1658339495.7388883,5314560,9.509765625
1658339506.9909453,5430272,9.1328125
1658339518.2908125,5545984,8.775390625
1658339529.8189616,5663744,8.15234375
1658339541.5379682,5784576,8.064453125
1658339553.2405384,5907456,10.576171875
1658339565.0231528,6027264,8.771484375
1658339576.9522681,6152192,11.140625
1658339589.0921085,6275072,8.552734375
1658339601.3588636,6401024,8.47265625
1658339613.8029265,6530048,9.716796875
1658339626.330406,6658048,8.349609375
1658339639.0026467,6789120,9.416015625
1658339651.8373194,6921216,9.345703125
1658339664.804178,7054336,9.240234375
1658339677.9035022,7190528,8.859375
1658339691.2285275,7326720,8.990234375
1658339704.6648045,7464960,9.4609375
1658339718.3004398,7604224,8.310546875
1658339732.0992346,7746560,8.759765625
1658339745.9827335,7889920,8.87109375
1658339760.1229563,8034304,9.625
1658339774.374053,8180736,8.099609375
1658339788.7783928,8328192,8.080078125
1658339803.3415952,8478720,8.466796875
1658339818.050942,8630272,8.052734375
1658339832.9318867,8782848,8.623046875
1658339848.0176659,8938496,8.400390625
1658339863.3199894,9095168,8.384765625
1658339878.7604613,9253888,8.515625
1658339894.4559033,9415680,9.23828125
1658339910.3163679,9579520,9.109375
1658339926.2692375,9743360,8.568359375
1658339942.484859,9910272,9.544921875
1658339958.8575242,10079232,9.732421875
1658339975.5358832,10250240,10.033203125
1658339992.2748535,10423296,10.087890625
1658340009.3178499,10596352,9.791015625
1658340026.4452615,10772480,9.1875
1658340043.7543073,10950656,9.8984375
1658340061.3405986,11130880,10.91015625
1658340079.0801275,11312128,8.83203125
1658340096.9965491,11496448,8.89453125
1658340115.2215583,11683840,9.212890625
1658340133.6916516,11873280,8.267578125
1658340152.2778625,12064768,8.8125
1658340171.068398,12259328,9.841796875
1658340190.1306899,12454912,9.875
1658340209.3832686,12651520,7.56640625
1658340228.9276624,12853248,8.671875
1658340248.6485865,13056000,7.94921875
1658340268.553696,13261824,9.126953125
1658340288.71481,13468672,7.806640625
1658340309.1508408,13679616,9.95703125
1658340329.7538877,13890560,7.978515625
1658340350.6889553,14106624,8.45703125
1658340371.7847576,14324736,8.314453125
1658340393.1501036,14544896,8.1015625
1658340414.7802076,14768128,9.1328125
1658340436.6479611,14992384,8.41015625
1658340458.7868392,15219712,7.98046875
1658340481.1513631,15451136,9.265625
1658340503.8722932,15684608,9.2734375
1658340526.8445823,15921152,9.09765625
1658340550.009626,16159744,7.779296875
1658340573.5805876,16403456,10.51953125
1658340597.3284621,16647168,9.76171875
1658340621.4247904,16894976,9.578125
1658340645.7150214,17144832,9.095703125
1658340670.3019404,17396736,8.009765625
1658340695.2280605,17654784,9.48046875
1658340720.366006,17912832,9.3828125
1658340745.8081312,18173952,8.416015625
1658340771.6334128,18438144,7.970703125
1658340797.764486,18707456,8.005859375
1658340824.139394,18978816,9.24609375
