wall_time,step,value
1658338973.3429072,1024,0.0
1658338978.4802334,20480,7.0
1658338983.597056,54272,13.0
1658338988.8827107,107520,15.0
1658338994.094359,160768,19.0
1658338999.3532598,215040,20.0
1658339004.7080789,270336,21.0
1658339010.217384,325632,21.0
1658339015.684795,381952,19.0
1658339021.2530107,440320,21.0
1658339026.913856,497664,19.0
1658339032.6327422,556032,20.0
1658339038.3547995,615424,19.0
1658339044.1461158,674816,23.0
1658339050.0170574,735232,20.0
1658339056.0221062,797696,20.0
1658339062.0516114,859136,21.0
1658339068.2222385,921600,20.0
1658339074.3427856,984064,20.0
1658339080.6176648,1049600,20.0
1658339086.9188094,1114112,19.0
1658339093.253042,1179648,21.0
1658339099.6725016,1246208,20.0
1658339106.167911,1311744,19.0
1658339112.741974,1380352,21.0
1658339119.425982,1448960,20.0
1658339126.2007477,1517568,20.0
1658339133.0403106,1588224,20.0
1658339140.0004914,1659904,23.0
1658339147.0015574,1730560,20.0
1658339154.2085845,1804288,20.0
1658339161.5153315,1881088,21.0
1658339168.729459,1954816,21.0
1658339176.0466557,2030592,18.0
1658339183.4716256,2106368,19.0
1658339191.0275621,2184192,20.0
1658339198.712057,2263040,20.0
1658339206.4926958,2341888,20.0
1658339214.2441497,2422784,23.0
1658339222.0960352,2503680,20.0
1658339230.0915725,2585600,22.0
1658339238.144116,2667520,22.0
1658339246.272251,2751488,19.0
1658339254.568283,2836480,20.0
1658339262.8649774,2921472,21.0
1658339271.444336,3010560,24.0
1658339279.9629862,3097600,21.0
1658339288.608778,3185664,21.0
1658339297.3410335,3276800,20.0
1658339306.1325831,3366912,21.0
1658339315.0895178,3457024,19.0
1658339324.1617615,3550208,22.0
1658339333.2873914,3644416,22.0
1658339342.5153296,3737600,20.0
1658339351.9315336,3834880,19.0
1658339361.4832754,3933184,24.0
1658339371.0731294,4031488,21.0
1658339380.9149947,4132864,20.0
1658339390.733057,4234240,23.0
1658339400.6680436,4336640,21.0
1658339410.8422678,4440064,20.0
1658339421.1083248,4545536,19.0
1658339431.3669724,4651008,21.0
1658339441.7632153,4759552,21.0
1658339452.2677653,4865024,19.0
1658339463.0436373,4975616,19.0
1658339473.8492386,5088256,24.0
1658339484.7194214,5200896,20.0
1658339495.738959,5314560,21.0
1658339506.9913244,5430272,20.0
1658339518.2908897,5545984,19.0
1658339529.819741,5663744,20.0
1658339541.53837,5784576,18.0
1658339553.2406065,5907456,21.0
1658339565.0231938,6027264,19.0
1658339576.9523447,6152192,21.0
1658339589.0922084,6275072,21.0
1658339601.3592749,6401024,19.0
1658339613.803005,6530048,20.0
1658339626.3304784,6658048,20.0
1658339639.0027254,6789120,20.0
1658339651.837401,6921216,23.0
1658339664.804249,7054336,22.0
1658339677.903582,7190528,18.0
1658339691.2285712,7326720,19.0
1658339704.6648822,7464960,20.0
1658339718.3005068,7604224,20.0
1658339732.0992785,7746560,20.0
1658339745.9828079,7889920,19.0
1658339760.1247034,8034304,22.0
1658339774.374095,8180736,19.0
1658339788.7784796,8328192,19.0
1658339803.3416767,8478720,19.0
1658339818.0510175,8630272,18.0
1658339832.932456,8782848,19.0
1658339848.0177088,8938496,20.0
1658339863.325757,9095168,19.0
1658339878.760542,9253888,19.0
1658339894.4559896,9415680,21.0
1658339910.3167796,9579520,21.0
1658339926.2693014,9743360,19.0
1658339942.4856477,9910272,20.0
1658339958.8575964,10079232,23.0
1658339975.536224,10250240,22.0
1658339992.2749238,10423296,20.0
1658340009.3179162,10596352,22.0
1658340026.4453382,10772480,19.0
1658340043.7543967,10950656,19.0
1658340061.3406749,11130880,25.0
1658340079.0801938,11312128,19.0
1658340096.9966278,11496448,19.0
1658340115.2216332,11683840,20.0
1658340133.691722,11873280,19.0
1658340152.2779446,12064768,19.0
1658340171.0747142,12259328,21.0
1658340190.1307316,12454912,24.0
1658340209.3833606,12651520,19.0
1658340228.9277399,12853248,19.0
1658340248.648668,13056000,20.0
1658340268.5537739,13261824,20.0
1658340288.7159238,13468672,20.0
1658340309.1509044,13679616,20.0
1658340329.7539632,13890560,19.0
1658340350.6890273,14106624,19.0
1658340371.7848306,14324736,18.0
1658340393.1508195,14544896,18.0
1658340414.7802815,14768128,20.0
1658340436.6480334,14992384,20.0
1658340458.7869182,15219712,20.0
1658340481.1514668,15451136,20.0
1658340503.872373,15684608,19.0
1658340526.8446615,15921152,21.0
1658340550.0096953,16159744,19.0
1658340573.58067,16403456,23.0
1658340597.3285384,16647168,22.0
1658340621.424869,16894976,23.0
1658340645.7150986,17144832,20.0
1658340670.3020103,17396736,20.0
1658340695.2281024,17654784,20.0
1658340720.3660843,17912832,20.0
