wall_time,step,value
1739278397.0586913,337104896,-25.376182556152344
1739278407.0591269,337309696,-24.59210205078125
1739278417.0596805,337571840,-24.67641830444336
1739278427.0588686,337827840,-24.712858200073242
1739278437.0619342,338036736,-24.580141067504883
1739278447.058369,338304000,-25.66959571838379
1739278457.060371,338568192,-25.692373275756836
1739278467.2129993,338786304,-26.134666442871094
1739278477.0629745,339026944,-25.55776596069336
1739278487.0581005,339280896,-24.384557723999023
1739278497.0598283,339534848,-25.952159881591797
1739278507.0599153,339732480,-25.830810546875
1739278517.0611129,339990528,-27.328977584838867
1739278527.0615485,340244480,-25.607223510742188
1739278537.0630682,340444160,-25.331087112426758
1739278547.0594378,340700160,-24.86301612854004
1739278557.0600576,340954112,-26.351776123046875
1739278567.0618382,341201920,-25.28658676147461
1739278577.057868,341406720,-24.913923263549805
1739278587.0598183,341662720,-24.478944778442383
1739278597.0604517,341912576,-24.381410598754883
1739278607.0639033,342109184,-24.236339569091797
1739278617.0596118,342368256,-25.117645263671875
1739278627.060184,342619136,-25.819660186767578
1739278637.1417122,342829056,-25.817352294921875
1739278647.0595064,343084032,-26.16656494140625
1739278657.060964,343347200,-26.23456382751465
1739278667.0625415,343602176,-27.083066940307617
1739278677.0609214,343808000,-26.095531463623047
1739278687.0596154,344075264,-26.26325225830078
1739278697.0610607,344335360,-26.387250900268555
1739278707.0623877,344544256,-27.07959747314453
1739278717.0629227,344803328,-26.001432418823242
1739278727.0607495,345061376,-26.76602554321289
1739278737.0613933,345319424,-27.2913875579834
1739278747.0593836,345533440,-28.508548736572266
1739278757.0616145,345791488,-27.557893753051758
1739278767.0618286,346050560,-26.55820655822754
1739278777.0590897,346268672,-26.325031280517578
1739278787.058767,346526720,-26.700754165649414
1739278797.0614247,346784768,-27.20108985900879
1739278807.13828,346997760,-26.52217674255371
1739278817.059471,347251712,-27.71504020690918
1739278827.0596647,347510784,-27.07486343383789
1739278837.0605412,347771904,-26.52434730529785
1739278847.061414,347984896,-26.040084838867188
1739278857.0625687,348244992,-25.957481384277344
1739278867.0593112,348500992,-26.026132583618164
1739278877.0604339,348717056,-26.195537567138672
1739278887.0595293,348974080,-26.810365676879883
1739278897.0610473,349229056,-27.022632598876953
1739278907.0598888,349487104,-27.191537857055664
1739278917.0603297,349702144,-26.019838333129883
1739278927.062241,349958144,-25.24919319152832
1739278937.059931,350215168,-25.223270416259766
1739278947.0608253,350431232,-25.327804565429688
1739278957.0599663,350689280,-27.252286911010742
1739278967.0620108,350942208,-26.985515594482422
1739278977.0602174,351160320,-26.999950408935547
1739278987.0591073,351418368,-26.24513816833496
1739278997.0588377,351676416,-26.468629837036133
1739279007.0599437,351936512,-26.388469696044922
1739279017.0599077,352151552,-26.539932250976562
1739279027.0593207,352412672,-25.809589385986328
1739279037.0621648,352671744,-27.290019989013672
1739279047.0618372,352889856,-26.71503448486328
1739279057.0604253,353147904,-26.209993362426758
1739279067.0604792,353409024,-25.81227684020996
1739279078.7678194,353668096,-26.00776481628418
1739279087.0612059,353885184,-26.306726455688477
1739279097.0619094,354144256,-26.75355339050293
1739279107.0582175,354400256,-26.314502716064453
1739279117.061737,354613248,-26.382047653198242
1739279127.059348,354874368,-25.61090850830078
1739279137.058968,355129344,-25.90020751953125
1739279147.061504,355342336,-26.70737075805664
1739279157.0610209,355602432,-28.403228759765625
1739279167.0597253,355860480,-27.8660831451416
1739279177.069886,356124672,-26.169137954711914
1739279187.058643,356345856,-25.65983009338379
1739279197.0597222,356608000,-26.205942153930664
1739279207.0598056,356870144,-27.56186294555664
1739279217.060201,357086208,-26.42041778564453
1739279227.0595102,357347328,-26.313894271850586
1739279237.061245,357607424,-27.31447982788086
1739279247.061255,357866496,-28.406597137451172
1739279257.0609653,358115328,-29.902240753173828
1739279267.059556,358282240,-28.73093605041504
1739279277.05927,358529024,-27.72295379638672
1739279287.0634096,358789120,-27.053401947021484
1739279298.4773424,359034880,-27.882553100585938
1739279307.0611463,359262208,-28.330265045166016
1739279317.0611906,359522304,-28.938232421875
1739279327.0608013,359782400,-28.29596710205078
1739279337.0627415,359995392,-27.9721622467041
1739279347.0602503,360246272,-27.67811393737793
1739279357.0587988,360483840,-27.61564064025879
1739279367.0604746,360698880,-27.326740264892578
1739279377.061578,360954880,-27.430578231811523
1739279387.0616362,361221120,-27.344921112060547
1739279397.0597017,361479168,-27.582408905029297
1739279407.0626202,361693184,-28.98129653930664
1739279417.0586653,361948160,-30.425554275512695
1739279427.0613089,362199040,-30.535707473754883
1739279437.059849,362394624,-28.387046813964844
1739279447.060883,362629120,-28.055545806884766
1739279457.062048,362880000,-27.830198287963867
1739279468.1327775,363114496,-28.268476486206055
1739279477.058862,363343872,-27.99803924560547
1739279487.0611303,363600896,-28.39144515991211
1739279497.0605767,363853824,-27.67844009399414
1739279507.0606356,364065792,-28.483015060424805
1739279517.0592768,364315648,-28.399831771850586
1739279527.0597622,364571648,-29.034988403320312
1739279537.0603094,364779520,-29.080245971679688
1739279547.0607615,365034496,-29.222042083740234
1739279557.0599687,365292544,-28.65420913696289
1739279567.0617774,365553664,-28.044050216674805
1739279577.0616353,365766656,-27.158239364624023
1739279587.060435,366025728,-27.831796646118164
1739279597.0605624,366284800,-29.65826416015625
1739279607.0602796,366495744,-29.831195831298828
1739279617.0605798,366748672,-28.69266128540039
1739279627.060293,367011840,-27.47764015197754
1739279637.8960392,367248384,-26.433433532714844
1739279647.0644124,367478784,-26.06650733947754
1739279657.0597143,367737856,-27.578840255737305
1739279667.0623713,367998976,-28.18320655822754
1739279677.0596557,368210944,-28.586912155151367
1739279687.060863,368467968,-26.968603134155273
1739279697.0619717,368731136,-27.06207275390625
1739279707.0586483,368944128,-26.79098892211914
1739279717.0609999,369200128,-26.759471893310547
1739279727.0599604,369460224,-27.67466926574707
1739279737.061189,369723392,-27.06884002685547
1739279747.060184,369938432,-27.688838958740234
1739279757.0610466,370201600,-27.233583450317383
1739279767.0597014,370460672,-27.926250457763672
1739279777.058133,370665472,-28.61933135986328
1739279787.0594695,370932736,-27.92644500732422
1739279797.0611167,371194880,-28.398080825805664
1739279807.7382102,371421184,-27.38300323486328
1739279817.0619662,371649536,-28.364727020263672
1739279827.0625808,371898368,-27.21964454650879
1739279837.0611045,372145152,-27.90922737121582
1739279847.060165,372343808,-28.210927963256836
1739279857.0596933,372613120,-28.361604690551758
1739279867.0634675,372878336,-28.39386558532715
1739279877.062279,373086208,-28.011383056640625
1739279887.0587597,373348352,-28.378358840942383
1739279897.0605118,373609472,-28.9526424407959
1739279907.060547,373866496,-29.19439697265625
1739279917.0611966,374065152,-28.529842376708984
1739279927.065032,374322176,-27.731203079223633
1739279937.0635867,374562816,-27.77919578552246
1739279947.061515,374771712,-27.529085159301758
1739279957.0566027,375038976,-27.652687072753906
1739279967.0593522,375300096,-27.387310028076172
1739279977.8562,375528448,-27.635082244873047
1739279987.0596442,375768064,-28.317546844482422
1739279997.0612597,376033280,-28.737916946411133
1739280007.060116,376288256,-29.81382179260254
1739280017.0614915,376492032,-29.614486694335938
1739280027.0601504,376753152,-28.280967712402344
1739280037.0598912,377009152,-28.612913131713867
1739280047.060721,377214976,-28.711530685424805
1739280057.0605142,377479168,-29.770423889160156
1739280067.059731,377741312,-30.10309600830078
1739280077.0606322,377989120,-29.81549835205078
1739280087.0624893,378195968,-29.373859405517578
1739280097.0620148,378458112,-29.065954208374023
1739280107.0609663,378719232,-28.988279342651367
1739280117.059667,378920960,-28.228984832763672
1739280127.0605485,379174912,-28.569326400756836
1739280137.0580056,379428864,-28.393129348754883
1739280147.851216,379658240,-28.97427749633789
1739280157.0584106,379893760,-30.184219360351562
1739280167.0618021,380144640,-29.427623748779297
1739280177.0576775,380399616,-29.79253387451172
1739280187.061559,380610560,-29.066051483154297
1739280197.0609562,380866560,-28.8250789642334
1739280207.0586586,381127680,-29.67502784729004
1739280217.0586424,381342720,-30.67598533630371
1739280227.0608673,381599744,-29.934062957763672
1739280237.0604558,381856768,-28.703189849853516
1739280247.0610998,382099456,-28.400714874267578
1739280257.0627553,382297088,-28.00801658630371
1739280267.0607715,382551040,-28.1900691986084
1739280277.0578215,382809088,-28.571115493774414
1739280287.0587883,383029248,-29.61684799194336
1739280297.0603285,383295488,-28.95682716369629
1739280307.0603685,383555584,-29.27774429321289
1739280317.5507174,383784960,-28.45088768005371
1739280327.0611866,384031744,-29.624746322631836
1739280337.0617082,384274432,-29.521087646484375
1739280347.060986,384527360,-29.355073928833008
1739280357.059894,384742400,-28.79583740234375
1739280367.065947,384990208,-30.195964813232422
1739280377.061457,385226752,-29.90816879272461
1739280387.0595956,385428480,-30.868148803710938
1739280397.0621376,385688576,-30.593284606933594
1739280407.060606,385945600,-30.176958084106445
1739280417.0609882,386203648,-29.775419235229492
1739280427.0601678,386420736,-29.642213821411133
1739280437.0575004,386680832,-29.82964324951172
1739280447.0594535,386940928,-30.046363830566406
1739280457.0597458,387156992,-30.015506744384766
1739280467.0614204,387414016,-31.027509689331055
1739280477.0600133,387663872,-30.87174415588379
1739280487.2735503,387870720,-31.380849838256836
1739280497.0619626,388115456,-30.832111358642578
1739280507.059704,388363264,-31.27943992614746
1739280517.0656097,388596736,-31.04970932006836
1739280527.05967,388810752,-30.251148223876953
1739280537.0615265,389074944,-29.41215705871582
1739280547.05969,389335040,-28.069509506225586
1739280557.061099,389544960,-27.597837448120117
