wall_time,step,value
1739278387.0572255,336854016,-25.50399398803711
1739278397.0586548,337104896,-25.65215492248535
1739278407.0587912,337309696,-26.244993209838867
1739278417.0596526,337571840,-26.726259231567383
1739278427.0581121,337827840,-25.791603088378906
1739278437.0611312,338036736,-25.30137062072754
1739278447.0582983,338304000,-25.41218376159668
1739278457.0602927,338568192,-26.135908126831055
1739278467.2129724,338786304,-26.9796085357666
1739278477.0625885,339026944,-26.505088806152344
1739278487.0580351,339280896,-25.70240020751953
1739278497.0596135,339534848,-24.678457260131836
1739278507.0592613,339732480,-24.155521392822266
1739278517.0607164,339990528,-25.15753936767578
1739278527.0612984,340244480,-25.799236297607422
1739278537.062087,340444160,-25.12912368774414
1739278547.0590196,340700160,-25.682361602783203
1739278557.0599833,340954112,-26.068038940429688
1739278567.0618086,341201920,-26.048870086669922
1739278577.0577888,341406720,-27.190170288085938
1739278587.0597963,341662720,-25.75682258605957
1739278597.0604093,341912576,-25.672313690185547
1739278607.0638733,342109184,-25.58690643310547
1739278617.0595582,342368256,-27.02463150024414
1739278627.0596397,342619136,-25.488967895507812
1739278637.1416843,342829056,-25.212549209594727
1739278647.0590765,343084032,-25.84623908996582
1739278657.060813,343347200,-27.079029083251953
1739278667.061992,343602176,-26.125789642333984
1739278677.0608983,343808000,-26.168432235717773
1739278687.0595853,344075264,-25.231586456298828
1739278697.0610342,344335360,-25.416912078857422
1739278707.0620072,344544256,-25.58698844909668
1739278717.0628383,344803328,-26.265697479248047
1739278727.0601435,345061376,-27.45298194885254
1739278737.0605834,345319424,-27.797475814819336
1739278747.0593612,345533440,-27.52027130126953
1739278757.0607765,345791488,-25.8345890045166
1739278767.0615225,346050560,-24.887393951416016
1739278777.058673,346268672,-24.548736572265625
1739278787.0583322,346526720,-26.607473373413086
1739278797.0606265,346784768,-27.128318786621094
1739278807.1382136,346997760,-27.978742599487305
1739278817.0589626,347251712,-27.640029907226562
1739278827.0586998,347510784,-28.36540412902832
1739278837.060507,347771904,-27.525630950927734
1739278847.0611918,347984896,-27.62574577331543
1739278857.062028,348244992,-27.6395320892334
1739278867.0592344,348500992,-28.299152374267578
1739278877.0602353,348717056,-28.470104217529297
1739278887.0594978,348974080,-28.032329559326172
1739278897.061022,349229056,-27.02225112915039
1739278907.0594988,349487104,-26.629085540771484
1739278917.059614,349702144,-26.19713592529297
1739278927.061745,349958144,-26.475584030151367
1739278937.059907,350215168,-26.50365447998047
1739278947.060801,350431232,-27.836591720581055
1739278957.0598955,350689280,-27.738080978393555
1739278967.0619256,350942208,-27.505678176879883
1739278977.0601928,351160320,-26.673355102539062
1739278987.0586915,351418368,-25.294902801513672
1739278997.0583656,351676416,-25.02544593811035
1739279007.0591056,351936512,-26.22986602783203
1739279017.0594783,352151552,-27.46833038330078
1739279027.0592628,352412672,-27.50037956237793
1739279037.0614705,352671744,-28.084409713745117
1739279047.0611591,352889856,-28.15399169921875
1739279057.0603938,353147904,-27.442338943481445
1739279067.0604122,353409024,-26.636022567749023
1739279078.767744,353668096,-26.682329177856445
1739279087.0611362,353885184,-27.582828521728516
1739279097.0618238,354144256,-27.190195083618164
1739279107.058167,354400256,-26.81191062927246
1739279117.0616891,354613248,-26.11600685119629
1739279127.0593085,354874368,-26.76373863220215
1739279137.0589345,355129344,-27.345975875854492
1739279147.0608175,355342336,-27.312850952148438
1739279157.0609956,355602432,-27.366594314575195
1739279167.0592546,355860480,-27.58404541015625
1739279177.0695562,356124672,-27.501920700073242
1739279187.0584066,356345856,-28.085308074951172
1739279197.0592778,356608000,-27.765527725219727
1739279207.059779,356870144,-28.13766098022461
1739279217.0601754,357086208,-28.18825340270996
1739279227.0591395,357347328,-27.958871841430664
1739279237.0608935,357607424,-26.534753799438477
1739279247.0611815,357866496,-27.335844039916992
1739279257.060939,358115328,-26.993350982666016
1739279267.0590854,358282240,-27.303892135620117
1739279277.058947,358529024,-27.362159729003906
1739279287.063324,358789120,-26.2165584564209
1739279298.476931,359034880,-27.302082061767578
1739279307.0605755,359262208,-27.61293601989746
1739279317.06038,359522304,-27.651073455810547
1739279327.0605412,359782400,-27.542421340942383
1739279337.062672,359995392,-27.6500186920166
1739279347.0601773,360246272,-28.12880516052246
1739279357.0587556,360483840,-27.912744522094727
1739279367.060259,360698880,-27.909374237060547
1739279377.0614932,360954880,-27.731433868408203
1739279387.0610607,361221120,-28.387557983398438
1739279397.0594015,361479168,-27.770870208740234
1739279407.0625372,361693184,-28.237777709960938
1739279417.0581567,361948160,-27.609045028686523
1739279427.0612335,362199040,-28.825054168701172
1739279437.0597725,362394624,-28.20134162902832
1739279447.0608587,362629120,-27.570707321166992
1739279457.0620105,362880000,-27.75956916809082
1739279468.131908,363114496,-27.485437393188477
1739279477.0588276,363343872,-27.033693313598633
1739279487.060567,363600896,-27.322206497192383
1739279497.0605533,363853824,-28.399534225463867
1739279507.0605931,364065792,-29.614206314086914
1739279517.0592484,364315648,-28.693748474121094
1739279527.0597377,364571648,-28.947952270507812
1739279537.0599189,364779520,-28.414777755737305
1739279547.0607364,365034496,-29.085594177246094
1739279557.0595334,365292544,-29.52216339111328
1739279567.0611286,365553664,-28.512563705444336
1739279577.061565,365766656,-26.894651412963867
1739279587.0603964,366025728,-25.83493995666504
1739279597.0605145,366284800,-26.31991195678711
1739279607.0601006,366495744,-28.882911682128906
1739279617.0604265,366748672,-29.33902359008789
1739279627.0602186,367011840,-28.839618682861328
1739279637.895659,367248384,-28.012052536010742
1739279647.0635545,367478784,-28.943225860595703
1739279657.0596619,367737856,-28.597978591918945
1739279667.061943,367998976,-29.063053131103516
1739279677.059629,368210944,-28.66097068786621
1739279687.060496,368467968,-30.267356872558594
1739279697.061728,368731136,-29.07813835144043
1739279707.0586236,368944128,-28.435012817382812
1739279717.060964,369200128,-28.507978439331055
1739279727.0595257,369460224,-27.577543258666992
1739279737.0608788,369723392,-27.623350143432617
1739279747.0598156,369938432,-27.149682998657227
1739279757.0604992,370201600,-26.974369049072266
1739279767.0596683,370460672,-27.11896514892578
1739279777.0577667,370665472,-27.283334732055664
1739279787.0594404,370932736,-27.353376388549805
1739279797.0608592,371194880,-27.47464370727539
1739279807.7377293,371421184,-27.968870162963867
1739279817.0615313,371649536,-28.789031982421875
1739279827.0624826,371898368,-28.987802505493164
1739279837.0605636,372145152,-28.684322357177734
1739279847.0600266,372343808,-27.827312469482422
1739279857.059392,372613120,-27.250991821289062
1739279867.0632732,372878336,-26.870595932006836
1739279877.06185,373086208,-26.833728790283203
1739279887.0587306,373348352,-27.333213806152344
1739279897.0600379,373609472,-27.596418380737305
1739279907.0604699,373866496,-28.323776245117188
1739279917.0611613,374065152,-27.9941349029541
1739279927.0650089,374322176,-29.206253051757812
1739279937.0635242,374562816,-28.88364601135254
1739279947.061479,374771712,-28.55916976928711
1739279957.0565212,375038976,-28.533538818359375
1739279967.058757,375300096,-27.97610855102539
1739279977.85574,375528448,-27.844362258911133
1739279987.0595734,375768064,-28.423255920410156
1739279997.0612211,376033280,-29.68405532836914
1739280007.0600855,376288256,-30.09599494934082
1739280017.0613015,376492032,-29.835790634155273
1739280027.0597482,376753152,-29.144393920898438
1739280037.059811,377009152,-30.19925308227539
1739280047.060286,377214976,-28.74933624267578
1739280057.0602236,377479168,-28.082738876342773
1739280067.0596385,377741312,-27.23204803466797
1739280077.0598745,377989120,-27.400409698486328
1739280087.062128,378195968,-27.802873611450195
1739280097.0619414,378458112,-28.146949768066406
1739280107.0606537,378719232,-28.289791107177734
1739280117.0594687,378920960,-28.19205665588379
1739280127.060257,379174912,-27.741321563720703
1739280137.057942,379428864,-29.087268829345703
1739280147.8510363,379658240,-29.16534996032715
1739280157.0583344,379893760,-29.884735107421875
1739280167.061748,380144640,-28.39203453063965
1739280177.0575933,380399616,-28.244230270385742
1739280187.0611758,380610560,-29.390317916870117
1739280197.0609255,380866560,-30.15706443786621
1739280207.0586338,381127680,-29.138351440429688
1739280217.0584307,381342720,-28.578323364257812
1739280227.0604026,381599744,-29.409833908081055
1739280237.0597208,381856768,-29.83616828918457
1739280247.060862,382099456,-30.113679885864258
1739280257.0624537,382297088,-29.5368709564209
1739280267.0603476,382551040,-29.042760848999023
1739280277.0577974,382809088,-28.214771270751953
1739280287.0587432,383029248,-28.992769241333008
1739280297.0602446,383295488,-30.08802032470703
1739280307.0598717,383555584,-30.012386322021484
1739280317.5506873,383784960,-29.906024932861328
1739280327.0611072,384031744,-28.084917068481445
1739280337.061558,384274432,-28.47612762451172
1739280347.0609546,384527360,-28.930418014526367
1739280357.059867,384742400,-29.57473373413086
1739280367.0655441,384990208,-30.598987579345703
1739280377.0614324,385226752,-30.534305572509766
1739280387.0595262,385428480,-31.464580535888672
1739280397.0615613,385688576,-31.98127555847168
1739280407.0598261,385945600,-30.38088035583496
1739280417.0605755,386203648,-30.797815322875977
1739280427.059116,386420736,-30.73477554321289
1739280437.0573015,386680832,-31.05523681640625
1739280447.0593793,386940928,-28.6408748626709
1739280457.0588248,387156992,-28.22655487060547
1739280467.0604901,387414016,-29.51482582092285
1739280477.0595608,387663872,-30.54975128173828
1739280487.2733715,387870720,-30.890052795410156
1739280497.0619316,388115456,-29.13460350036621
1739280507.0593214,388363264,-29.36568260192871
1739280517.0637753,388596736,-29.259782791137695
1739280527.058623,388810752,-30.521711349487305
1739280537.0610244,389074944,-28.99646759033203
1739280547.0595996,389335040,-29.915035247802734
1739280557.0607986,389544960,-30.350372314453125
1739280567.0658777,389801984,-32.33619689941406
1739280577.061141,390056960,-31.833097457885742
1739280587.0601106,390309888,-31.047000885009766
1739280597.0598388,390529024,-29.926406860351562
1739280607.0577881,390789120,-28.578218460083008
1739280617.05954,391044096,-27.47382354736328
1739280627.0590858,391244800,-28.238033294677734
1739280637.0599844,391491584,-29.324615478515625
1739280647.0580273,391744512,-29.42308807373047
1739280657.077914,391956480,-29.98534393310547
1739280667.0590384,392210432,-28.804338455200195
1739280677.0594084,392466432,-28.682262420654297
1739280687.0605083,392718336,-28.717205047607422
1739280697.059823,392934400,-28.644031524658203
1739280707.0600088,393189376,-28.758779525756836
1739280717.0612736,393444352,-29.6046199798584
1739280727.0588698,393652224,-29.36701202392578
1739280737.0627422,393906176,-29.28389549255371
1739280747.0630045,394160128,-29.724454879760742
1739280757.0625718,394416128,-30.036893844604492
1739280767.0593019,394627072,-29.488901138305664
1739280777.0602803,394895360,-28.490421295166016
1739280787.058913,395154432,-29.52433967590332
1739280797.0598507,395367424,-29.138626098632812
1739280807.0630887,395632640,-28.92649269104004
1739280817.0608232,395894784,-29.029796600341797
1739280827.0613418,396107776,-30.626996994018555
1739280837.0615711,396362752,-30.341753005981445
1739280847.059108,396624896,-30.825401306152344
1739280857.0597773,396879872,-30.315746307373047
1739280867.0613317,397090816,-30.52426528930664
1739280877.0604239,397346816,-30.51755142211914
1739280887.0617106,397603840,-30.12978172302246
1739280897.0613139,397810688,-29.99078369140625
1739280907.0606666,398065664,-29.841278076171875
1739280917.0575175,398327808,-30.450162887573242
1739280927.0624392,398578688,-29.558595657348633
1739280937.0600607,398790656,-30.582788467407227
1739280947.0596974,399053824,-31.298725128173828
1739280957.0605993,399313920,-32.00640869140625
1739280967.0613043,399527936,-31.719518661499023
1739280977.0604534,399793152,-30.329269409179688
1739280987.0618494,400059392,-30.325504302978516
1739280997.0618036,400272384,-30.4442195892334
1739281007.0583384,400532480,-28.89166259765625
1739281017.0650814,400797696,-27.739032745361328
1739281027.061499,401054720,-28.72394561767578
1739281037.0599244,401256448,-30.60942268371582
1739281047.058415,401526784,-31.20554542541504
1739281057.0599139,401787904,-30.426889419555664
1739281067.0609906,401994752,-30.403690338134766
1739281077.0605404,402259968,-29.933408737182617
1739281087.0603578,402525184,-31.039596557617188
1739281097.0594058,402781184,-31.040122985839844
1739281107.0578759,402990080,-32.09507751464844
1739281117.0610766,403257344,-31.759016036987305
1739281127.05996,403518464,-31.79574203491211
1739281137.0596178,403723264,-30.973230361938477
1739281147.0613902,403988480,-31.188587188720703
1739281157.0595973,404253696,-30.97378921508789
1739281167.0694933,404460544,-32.03001403808594
1739281177.057203,404724736,-33.62920379638672
1739281187.0596454,404984832,-32.73072814941406
1739281197.0622258,405243904,-32.332237243652344
1739281207.0639355,405457920,-31.179895401000977
1739281217.0614882,405716992,-31.16822052001953
1739281227.059051,405976064,-30.746313095092773
1739281237.061749,406191104,-30.27914810180664
1739281247.0584195,406449152,-31.161386489868164
1739281257.0626152,406705152,-29.237735748291016
1739281267.0599482,406964224,-30.052457809448242
1739281277.0621219,407180288,-29.91117286682129
1739281287.0599387,407439360,-29.662399291992188
1739281297.0604217,407695360,-30.635290145874023
1739281307.0609708,407915520,-29.716306686401367
1739281317.062198,408173568,-31.1804141998291
1739281327.060568,408432640,-30.2752742767334
1739281337.0981572,408651776,-29.5390567779541
1739281347.0596368,408909824,-28.260427474975586
1739281357.0596972,409168896,-30.69948387145996
1739281367.0633612,409424896,-30.955503463745117
1739281377.057276,409635840,-31.23941421508789
1739281387.0591695,409892864,-30.585744857788086
1739281397.0597923,410149888,-29.493192672729492
1739281407.0610168,410358784,-30.05544090270996
1739281417.061125,410616832,-29.531824111938477
1739281427.0602133,410872832,-30.282285690307617
1739281437.0627065,411129856,-29.327768325805664
1739281447.0637817,411341824,-29.80265998840332
1739281457.0613675,411599872,-29.379301071166992
1739281467.0597897,411858944,-29.283870697021484
1739281477.0589244,412071936,-29.590518951416016
1739281487.0613751,412331008,-30.73461151123047
1739281497.0608604,412585984,-30.94189453125
1739281507.0586972,412801024,-31.060749053955078
1739281517.0694556,413057024,-30.746231079101562
1739281527.0690117,413312000,-32.310890197753906
1739281537.0606577,413564928,-32.071434020996094
1739281547.0589168,413780992,-32.34053039550781
1739281557.0609148,414041088,-32.59130096435547
1739281567.0590446,414300160,-31.662145614624023
1739281577.0610938,414512128,-31.37047576904297
1739281587.0602868,414770176,-29.663368225097656
1739281597.061347,415029248,-30.73684310913086
1739281607.0586305,415287296,-29.270463943481445
1739281617.059926,415500288,-29.68503189086914
1739281627.0623307,415758336,-30.24701499938965
1739281637.0590458,416010240,-31.947649002075195
1739281647.0598185,416216064,-31.089162826538086
1739281657.0619419,416468992,-30.457780838012695
1739281667.0608714,416730112,-30.137144088745117
1739281677.0645437,416946176,-30.531713485717773
1739281687.060235,417210368,-29.96983528137207
1739281697.058874,417465344,-30.659255981445312
1739281707.0626726,417720320,-30.70062255859375
1739281717.0596154,417940480,-31.611919403076172
1739281727.064291,418197504,-31.67439079284668
1739281737.0599487,418452480,-32.99766540527344
1739281747.0585864,418670592,-33.164398193359375
1739281757.0594702,418931712,-33.628658294677734
1739281767.059893,419187712,-32.60341262817383
1739281778.7703762,419447808,-31.834701538085938
1739281787.0607033,419659776,-31.74402618408203
1739281797.0597,419918848,-32.1917724609375
1739281807.061927,420176896,-32.69932174682617
1739281817.0621374,420393984,-32.10477066040039
1739281827.0637102,420644864,-30.29034996032715
1739281837.061464,420903936,-29.059234619140625
1739281847.0600214,421121024,-28.556476593017578
1739281857.0621595,421383168,-28.67313003540039
1739281867.0625582,421643264,-28.594573974609375
1739281877.0704672,421901312,-29.85863494873047
1739281887.0612001,422117376,-29.816539764404297
1739281897.0588522,422375424,-31.53911590576172
1739281907.057914,422636544,-32.11811065673828
