wall_time,step,value
1739278387.0527513,336854016,-6.809999942779541
1739278397.0540748,337104896,-6.791999816894531
1739278407.0541654,337309696,-6.773600101470947
1739278417.0545988,337571840,-6.727399826049805
1739278427.0537887,337827840,-6.683050155639648
1739278437.055312,338036736,-6.631700038909912
1739278447.0528293,338304000,-6.573750019073486
1739278457.054623,338568192,-6.542900085449219
1739278467.2051446,338786304,-6.525750160217285
1739278477.0556898,339026944,-6.499149799346924
1739278487.0538766,339280896,-6.458700180053711
1739278497.0552766,339534848,-6.388500213623047
1739278507.0530658,339732480,-6.339900016784668
1739278517.0545454,339990528,-6.272049903869629
1739278527.055381,340244480,-6.201399803161621
1739278537.057462,340444160,-6.16165018081665
1739278547.0548062,340700160,-6.067550182342529
1739278557.0549278,340954112,-6.034800052642822
1739278567.0556378,341201920,-5.966599941253662
1739278577.053174,341406720,-5.92110013961792
1739278587.0547287,341662720,-5.804150104522705
1739278597.0549576,341912576,-5.729899883270264
1739278607.0557582,342109184,-5.676400184631348
1739278617.0549183,342368256,-5.611350059509277
1739278627.0548954,342619136,-5.534850120544434
1739278637.1354535,342829056,-5.450850009918213
1739278647.0540152,343084032,-5.404049873352051
1739278657.0569139,343347200,-5.344649791717529
1739278667.0555198,343602176,-5.272449970245361
1739278677.0536942,343808000,-5.160799980163574
1739278687.0538251,344075264,-5.109600067138672
1739278697.0551484,344335360,-5.010700225830078
1739278707.0551126,344544256,-4.967100143432617
1739278717.055942,344803328,-4.823750019073486
1739278727.054339,345061376,-4.750100135803223
1739278737.055712,345319424,-4.6658501625061035
1739278747.0547056,345533440,-4.634250164031982
1739278757.0552406,345791488,-4.5406999588012695
1739278767.0571623,346050560,-4.414949893951416
1739278777.0526304,346268672,-4.342750072479248
1739278787.0534785,346526720,-4.221149921417236
1739278797.054434,346784768,-4.153049945831299
1739278807.1329825,346997760,-4.08144998550415
1739278817.0530386,347251712,-4.048999786376953
1739278827.054153,347510784,-4.021349906921387
1739278837.053836,347771904,-3.9243500232696533
1739278847.0563498,347984896,-3.830399990081787
1739278857.0564055,348244992,-3.7435998916625977
1739278867.0530589,348500992,-3.651400089263916
1739278877.0534031,348717056,-3.5676000118255615
1739278887.0537343,348974080,-3.5493500232696533
1739278897.0557973,349229056,-3.479249954223633
1739278907.054774,349487104,-3.446549892425537
1739278917.0541818,349702144,-3.3933000564575195
1739278927.0550196,349958144,-3.3550000190734863
1739278937.0532842,350215168,-3.299799919128418
1739278947.0563207,350431232,-3.2172999382019043
1739278957.0538208,350689280,-3.1698999404907227
1739278967.0558517,350942208,-3.126499891281128
1739278977.0551796,351160320,-3.113800048828125
1739278987.054825,351418368,-3.042099952697754
1739278997.0540767,351676416,-2.985300064086914
1739279007.053402,351936512,-2.9402499198913574
1739279017.0547054,352151552,-2.8893001079559326
1739279027.052928,352412672,-2.8550500869750977
1739279037.055451,352671744,-2.82135009765625
1739279047.0540683,352889856,-2.7863500118255615
1739279057.0540137,353147904,-2.763849973678589
1739279067.0539765,353409024,-2.7172000408172607
1739279078.7611034,353668096,-2.6513500213623047
1739279087.0557003,353885184,-2.6184000968933105
1739279097.0549,354144256,-2.595550060272217
1739279107.0547383,354400256,-2.5712499618530273
1739279117.0540936,354613248,-2.5508999824523926
1739279127.0535183,354874368,-2.5192999839782715
1739279137.0538926,355129344,-2.487950086593628
1739279147.0543234,355342336,-2.442349910736084
1739279157.0552397,355602432,-2.4115500450134277
1739279167.0547233,355860480,-2.408600091934204
1739279177.063818,356124672,-2.3923499584198
1739279187.0533264,356345856,-2.3714001178741455
1739279197.05404,356608000,-2.3652501106262207
1739279207.0543678,356870144,-2.3573999404907227
1739279217.0543153,357086208,-2.3340001106262207
1739279227.0545855,357347328,-2.3007500171661377
1739279237.0552082,357607424,-2.2767999172210693
1739279247.054689,357866496,-2.2544000148773193
1739279257.055746,358115328,-2.2243499755859375
1739279267.0541768,358282240,-2.2060000896453857
1739279277.0537102,358529024,-2.178149938583374
1739279287.0569582,358789120,-2.1756999492645264
1739279298.4719334,359034880,-2.156450033187866
1739279307.0545325,359262208,-2.156399965286255
1739279317.0545135,359522304,-2.1464500427246094
1739279327.0548315,359782400,-2.115499973297119
1739279337.0565612,359995392,-2.0917999744415283
1739279347.0557945,360246272,-2.0506999492645264
1739279357.0531511,360483840,-2.051300048828125
1739279367.0553296,360698880,-2.0341498851776123
1739279377.054587,360954880,-2.0246999263763428
1739279387.0549765,361221120,-2.0161499977111816
1739279397.0535412,361479168,-2.004499912261963
1739279407.0554013,361693184,-2.002000093460083
1739279417.054029,361948160,-2.0107500553131104
1739279427.0567305,362199040,-1.9912999868392944
1739279437.0548592,362394624,-1.9834500551223755
1739279447.05427,362629120,-1.9803999662399292
1739279457.054308,362880000,-1.9630500078201294
1739279468.125629,363114496,-1.9570000171661377
1739279477.0521624,363343872,-1.9363000392913818
1739279487.0561764,363600896,-1.944100022315979
1739279497.054574,363853824,-1.9393999576568604
1739279507.0535157,364065792,-1.9264500141143799
1739279517.053633,364315648,-1.9045499563217163
1739279527.0530975,364571648,-1.8905999660491943
1739279537.053765,364779520,-1.891800045967102
1739279547.0548742,365034496,-1.8776999711990356
1739279557.054517,365292544,-1.8671499490737915
1739279567.0557444,365553664,-1.8581000566482544
1739279577.0552566,365766656,-1.8666000366210938
1739279587.0551257,366025728,-1.8566999435424805
1739279597.0541666,366284800,-1.8375500440597534
1739279607.053697,366495744,-1.8237500190734863
1739279617.0549085,366748672,-1.8126499652862549
1739279627.0545876,367011840,-1.795799970626831
1739279637.8900597,367248384,-1.7894999980926514
1739279647.0560286,367478784,-1.7825499773025513
1739279657.0536032,367737856,-1.7549500465393066
1739279667.0556195,367998976,-1.7594000101089478
1739279677.0545666,368210944,-1.7417500019073486
1739279687.0557957,368467968,-1.7375999689102173
1739279697.0544682,368731136,-1.7242499589920044
1739279707.0532186,368944128,-1.71875
1739279717.0534232,369200128,-1.724850058555603
1739279727.0536005,369460224,-1.7302000522613525
1739279737.0549054,369723392,-1.7339999675750732
1739279747.0543237,369938432,-1.7278000116348267
1739279757.055465,370201600,-1.7142499685287476
1739279767.0540457,370460672,-1.7040499448776245
1739279777.05363,370665472,-1.694849967956543
1739279787.052861,370932736,-1.6910500526428223
1739279797.0555005,371194880,-1.6952999830245972
1739279807.7300174,371421184,-1.6845500469207764
1739279817.055761,371649536,-1.6804499626159668
1739279827.0555062,371898368,-1.6655000448226929
1739279837.0549934,372145152,-1.6603000164031982
1739279847.0548875,372343808,-1.6619000434875488
1739279857.0539696,372613120,-1.6611499786376953
1739279867.0556686,372878336,-1.6664999723434448
1739279877.0547779,373086208,-1.669800043106079
1739279887.0541093,373348352,-1.6570500135421753
1739279897.053083,373609472,-1.6303499937057495
1739279907.0545971,373866496,-1.6160500049591064
1739279917.057367,374065152,-1.5960999727249146
1739279927.0564835,374322176,-1.6035000085830688
1739279937.0560672,374562816,-1.5986499786376953
1739279947.0569096,374771712,-1.6056499481201172
1739279957.0525393,375038976,-1.5839500427246094
1739279967.053749,375300096,-1.5750499963760376
1739279977.8491757,375528448,-1.5625
1739279987.0540516,375768064,-1.5756499767303467
1739279997.0552425,376033280,-1.5773500204086304
1739280007.0546746,376288256,-1.5852999687194824
1739280017.0544155,376492032,-1.5671000480651855
1739280027.0549257,376753152,-1.561900019645691
1739280037.053985,377009152,-1.548200011253357
1739280047.05411,377214976,-1.5433000326156616
1739280057.0557284,377479168,-1.531000018119812
1739280067.0550356,377741312,-1.524549961090088
1739280077.0567195,377989120,-1.5318000316619873
1739280087.0562868,378195968,-1.534749984741211
1739280097.053987,378458112,-1.5233999490737915
1739280107.0543513,378719232,-1.4943499565124512
1739280117.0534978,378920960,-1.4870500564575195
1739280127.0546584,379174912,-1.485550045967102
1739280137.0530655,379428864,-1.4893499612808228
1739280147.8460383,379658240,-1.4944000244140625
1739280157.0541844,379893760,-1.5023499727249146
1739280167.0551305,380144640,-1.4780499935150146
1739280177.0533116,380399616,-1.4896999597549438
1739280187.055732,380610560,-1.4817999601364136
1739280197.0564785,380866560,-1.4844499826431274
1739280207.0529637,381127680,-1.4949500560760498
1739280217.0534136,381342720,-1.4975999593734741
1739280227.0551593,381599744,-1.500849962234497
1739280237.055617,381856768,-1.5024499893188477
1739280247.054982,382099456,-1.4914499521255493
1739280257.0536616,382297088,-1.4843000173568726
1739280267.0529528,382551040,-1.4832500219345093
1739280277.053067,382809088,-1.4733999967575073
1739280287.0543475,383029248,-1.4696500301361084
1739280297.0540428,383295488,-1.4562499523162842
1739280307.0544918,383555584,-1.457200050354004
1739280317.542884,383784960,-1.451799988746643
1739280327.0559719,384031744,-1.454200029373169
1739280337.055714,384274432,-1.4369499683380127
1739280347.05506,384527360,-1.4223500490188599
1739280357.054532,384742400,-1.4106999635696411
1739280367.0552645,384990208,-1.3960000276565552
1739280377.0537596,385226752,-1.3961000442504883
1739280387.0543225,385428480,-1.4021999835968018
1739280397.054618,385688576,-1.4012000560760498
1739280407.0557299,385945600,-1.405900001525879
1739280417.0544865,386203648,-1.4012000560760498
