wall_time,step,value
1739278387.052715,336854016,-24.917327880859375
1739278397.0540457,337104896,-24.575828552246094
1739278407.0538783,337309696,-24.398540496826172
1739278417.0543947,337571840,-24.364622116088867
1739278427.0532048,337827840,-24.53535270690918
1739278437.0552542,338036736,-24.9663028717041
1739278447.0528178,338304000,-25.115304946899414
1739278457.0546012,338568192,-25.71907615661621
1739278467.2048054,338786304,-26.867618560791016
1739278477.0554204,339026944,-26.952028274536133
1739278487.0538323,339280896,-27.020692825317383
1739278497.0552511,339534848,-25.641864776611328
1739278507.0527868,339732480,-24.702909469604492
1739278517.0545113,339990528,-24.23489761352539
1739278527.0553463,340244480,-25.120471954345703
1739278537.0574396,340444160,-25.953271865844727
1739278547.0541577,340700160,-27.349355697631836
1739278557.0547023,340954112,-26.512540817260742
1739278567.055612,341201920,-26.338903427124023
1739278577.0529792,341406720,-25.559539794921875
1739278587.0546367,341662720,-25.062612533569336
1739278597.0549119,341912576,-24.334184646606445
1739278607.0557234,342109184,-24.938570022583008
1739278617.054902,342368256,-25.94049072265625
1739278627.0548549,342619136,-25.798864364624023
1739278637.1354296,342829056,-27.07149314880371
1739278647.0537248,343084032,-26.718887329101562
1739278657.0568855,343347200,-26.146921157836914
1739278667.055494,343602176,-25.809127807617188
1739278677.0535426,343808000,-25.50762939453125
1739278687.0535064,344075264,-25.518217086791992
1739278697.055122,344335360,-26.071147918701172
1739278707.0546646,344544256,-26.207275390625
1739278717.0559015,344803328,-26.56022834777832
1739278727.0543172,345061376,-25.807376861572266
1739278737.0556824,345319424,-25.720346450805664
1739278747.0546837,345533440,-26.557870864868164
1739278757.0546136,345791488,-25.9836368560791
1739278767.05713,346050560,-25.663410186767578
1739278777.052605,346268672,-25.286731719970703
1739278787.05327,346526720,-24.922386169433594
1739278797.0544214,346784768,-25.82833480834961
1739278807.1329665,346997760,-26.502071380615234
1739278817.0530174,347251712,-26.50644874572754
1739278827.054132,347510784,-25.97767448425293
1739278837.0537894,347771904,-24.88640022277832
1739278847.0563128,347984896,-24.475072860717773
1739278857.0563684,348244992,-25.275157928466797
1739278867.0530348,348500992,-26.72907066345215
1739278877.0533814,348717056,-27.101219177246094
1739278887.0534863,348974080,-26.37998390197754
1739278897.0557668,349229056,-25.95358657836914
1739278907.054728,349487104,-26.2513370513916
1739278917.0541615,349702144,-26.796588897705078
1739278927.05463,349958144,-27.7811222076416
1739278937.053271,350215168,-26.298768997192383
1739278947.0560994,350431232,-26.313735961914062
1739278957.0536487,350689280,-27.672988891601562
1739278967.0554895,350942208,-28.65464210510254
1739278977.0548527,351160320,-29.329214096069336
1739278987.0548043,351418368,-27.6046085357666
1739278997.054062,351676416,-28.87386703491211
1739279007.0530448,351936512,-28.127403259277344
1739279017.054692,352151552,-27.23021697998047
1739279027.0529165,352412672,-26.182674407958984
1739279037.054885,352671744,-25.72637939453125
1739279047.0540473,352889856,-26.261734008789062
1739279057.0539756,353147904,-26.042617797851562
1739279067.0536885,353409024,-25.326000213623047
1739279078.7610657,353668096,-25.5343017578125
1739279087.055679,353885184,-26.16256332397461
1739279097.0548759,354144256,-27.389036178588867
1739279107.054021,354400256,-26.33501625061035
1739279117.054078,354613248,-27.381406784057617
1739279127.0534856,354874368,-27.5775203704834
1739279137.0538259,355129344,-28.719318389892578
1739279147.0541546,355342336,-28.672443389892578
1739279157.0552225,355602432,-27.43942642211914
1739279167.0546775,355860480,-28.148761749267578
