wall_time,step,value
1739278387.0570855,336854016,-25.141117095947266
1739278397.0580213,337104896,-26.415767669677734
1739278407.0585282,337309696,-26.531957626342773
1739278417.0596166,337571840,-26.210994720458984
1739278427.0577679,337827840,-26.686647415161133
1739278437.060661,338036736,-26.561006546020508
1739278447.0582237,338304000,-27.341419219970703
1739278457.0602052,338568192,-27.8786563873291
1739278467.2129397,338786304,-27.54141616821289
1739278477.0621274,339026944,-26.85097885131836
1739278487.0579658,339280896,-26.592180252075195
1739278497.059313,339534848,-26.046201705932617
1739278507.0589163,339732480,-26.34955596923828
1739278517.060645,339990528,-25.643709182739258
1739278527.0608842,340244480,-25.275861740112305
1739278537.0620382,340444160,-25.230548858642578
1739278547.058733,340700160,-27.210262298583984
1739278557.0598977,340954112,-27.57949447631836
1739278567.0617673,341201920,-28.25393295288086
1739278577.0574257,341406720,-26.65333366394043
1739278587.0597727,341662720,-26.747610092163086
1739278597.060363,341912576,-26.044235229492188
1739278607.0635018,342109184,-26.29476547241211
1739278617.0592813,342368256,-25.8966064453125
1739278627.059367,342619136,-25.228221893310547
1739278637.1416514,342829056,-25.162321090698242
1739278647.0588946,343084032,-26.294109344482422
1739278657.06045,343347200,-26.422607421875
1739278667.0619333,343602176,-26.845129013061523
1739278677.060872,343808000,-26.850339889526367
1739278687.0587814,344075264,-27.261821746826172
1739278697.0610015,344335360,-28.158586502075195
1739278707.0617642,344544256,-27.656831741333008
1739278717.0620635,344803328,-27.231714248657227
1739278727.0599163,345061376,-27.178144454956055
1739278737.060323,345319424,-26.54768943786621
1739278747.0593371,345533440,-25.936664581298828
1739278757.0607297,345791488,-25.487268447875977
1739278767.0614805,346050560,-25.223264694213867
1739278777.0586207,346268672,-25.568817138671875
1739278787.0582783,346526720,-27.89284896850586
1739278797.060602,346784768,-28.244998931884766
1739278807.1381454,346997760,-28.144710540771484
1739278817.0587277,347251712,-28.11562728881836
1739278827.058654,347510784,-27.42469024658203
1739278837.0598452,347771904,-28.06043243408203
1739278847.0610235,347984896,-26.680334091186523
1739278857.0613794,348244992,-26.31000518798828
1739278867.0585823,348500992,-25.9204044342041
1739278877.0598595,348717056,-27.59783172607422
1739278887.0594645,348974080,-27.208141326904297
1739278897.0609918,349229056,-27.621797561645508
1739278907.0594265,349487104,-28.069772720336914
1739278917.0591776,349702144,-27.66912269592285
1739278927.0610611,349958144,-27.07157325744629
1739278937.059879,350215168,-25.855161666870117
1739278947.0607738,350431232,-25.866729736328125
1739278957.0598195,350689280,-27.04048728942871
1739278967.0612133,350942208,-27.438257217407227
1739278977.0601647,351160320,-28.39415740966797
1739278987.0584972,351418368,-27.570043563842773
1739278997.0583398,351676416,-27.145721435546875
1739279007.0590653,351936512,-26.507246017456055
1739279017.05944,352151552,-27.564783096313477
1739279027.058416,352412672,-28.656774520874023
1739279037.0612233,352671744,-29.738506317138672
1739279047.0609512,352889856,-28.064722061157227
1739279057.0599174,353147904,-27.563251495361328
1739279067.0603426,353409024,-25.52144432067871
1739279078.7672877,353668096,-27.270601272583008
1739279087.0610642,353885184,-27.717578887939453
1739279097.0608974,354144256,-28.54804801940918
1739279107.057947,354400256,-28.313705444335938
1739279117.0616407,354613248,-27.536535263061523
1739279127.058293,354874368,-26.881065368652344
1739279137.0588841,355129344,-26.957197189331055
1739279147.0606248,355342336,-26.60758399963379
1739279157.0609648,355602432,-27.632566452026367
1739279167.058946,355860480,-27.97406768798828
1739279177.0692003,356124672,-27.97096061706543
1739279187.0583794,356345856,-28.061695098876953
1739279197.0587392,356608000,-28.291461944580078
1739279207.0597398,356870144,-27.38836097717285
1739279217.060144,357086208,-26.44574546813965
1739279227.0589,357347328,-25.498933792114258
1739279237.0601065,357607424,-26.093687057495117
1739279247.061104,357866496,-26.86480140686035
