wall_time,step,value
1739278387.0558567,336854016,-26.697589874267578
1739278397.0567162,337104896,-27.483678817749023
1739278407.0572844,337309696,-26.58224868774414
1739278417.0580146,337571840,-26.213150024414062
1739278427.0569353,337827840,-25.231334686279297
1739278437.0596843,338036736,-25.690216064453125
1739278447.0562017,338304000,-26.323978424072266
1739278457.0585163,338568192,-26.674135208129883
1739278467.2103434,338786304,-27.221187591552734
1739278477.0605342,339026944,-27.88450813293457
1739278487.0563655,339280896,-27.318321228027344
1739278497.0580347,339534848,-26.64958381652832
1739278507.0570474,339732480,-26.036945343017578
1739278517.0590622,339990528,-25.291940689086914
1739278527.0600572,340244480,-26.909494400024414
1739278537.0608692,340444160,-25.922372817993164
1739278547.056698,340700160,-25.93816375732422
1739278557.0579698,340954112,-25.766658782958984
1739278567.0585134,341201920,-25.048940658569336
1739278577.056306,341406720,-24.94343376159668
1739278587.058293,341662720,-26.07048988342285
1739278597.058365,341912576,-27.08072280883789
1739278607.0616884,342109184,-27.753917694091797
1739278617.0572853,342368256,-26.615814208984375
1739278627.0584674,342619136,-26.041484832763672
1739278637.139501,342829056,-26.03694725036621
1739278647.0573943,343084032,-25.802871704101562
1739278657.0594919,343347200,-26.66901397705078
1739278667.0595095,343602176,-27.32254409790039
1739278677.0587695,343808000,-27.057615280151367
1739278687.0574665,344075264,-27.788007736206055
1739278697.059465,344335360,-26.895750045776367
1739278707.0594988,344544256,-26.6975040435791
1739278717.059575,344803328,-26.27849578857422
1739278727.0589757,345061376,-25.942171096801758
1739278737.059134,345319424,-26.65253448486328
1739278747.05827,345533440,-27.779863357543945
1739278757.0588188,345791488,-27.018827438354492
1739278767.0603902,346050560,-27.080440521240234
1739278777.0563786,346268672,-27.0340518951416
1739278787.0569005,346526720,-26.85291290283203
1739278797.059417,346784768,-25.8592586517334
1739278807.1363702,346997760,-25.8349552154541
1739278817.0575163,347251712,-26.08279800415039
1739278827.0573308,347510784,-26.225236892700195
1739278837.0583165,347771904,-25.314897537231445
1739278847.0596378,347984896,-24.389347076416016
1739278857.0603836,348244992,-25.308378219604492
1739278867.056856,348500992,-26.727697372436523
1739278877.0584397,348717056,-28.168827056884766
1739278887.0580564,348974080,-27.931602478027344
1739278897.0590177,349229056,-27.94474220275879
1739278907.0576966,349487104,-27.097360610961914
1739278917.0567102,349702144,-27.209842681884766
1739278927.0594492,349958144,-27.282236099243164
1739278937.0574222,350215168,-28.300018310546875
1739278947.0594096,350431232,-28.314428329467773
1739278957.0576544,350689280,-27.122291564941406
1739278967.0601318,350942208,-26.7911319732666
1739278977.058763,351160320,-26.027751922607422
1739278987.0571282,351418368,-25.400653839111328
1739278997.056542,351676416,-25.96651840209961
1739279007.0572922,351936512,-27.596826553344727
1739279017.0578904,352151552,-27.310989379882812
1739279027.056957,352412672,-26.831315994262695
1739279037.059759,352671744,-26.70073890686035
1739279047.0587394,352889856,-28.086048126220703
1739279057.0574732,353147904,-27.58762550354004
1739279067.0589237,353409024,-26.836856842041016
1739279078.7651622,353668096,-26.10712242126465
1739279087.0590143,353885184,-25.32337760925293
1739279097.0585847,354144256,-27.310579299926758
1739279107.0567563,354400256,-28.041479110717773
1739279117.057906,354613248,-28.248550415039062
1739279127.0568554,354874368,-26.035219192504883
1739279137.0575426,355129344,-25.502243041992188
1739279147.0590568,355342336,-25.40709114074707
1739279157.0592043,355602432,-26.52082633972168
1739279167.0570247,355860480,-27.081016540527344
1739279177.0674903,356124672,-27.80788230895996
1739279187.0563092,356345856,-27.352771759033203
1739279197.0575502,356608000,-28.21344566345215
1739279207.0577915,356870144,-26.668779373168945
1739279217.0578353,357086208,-26.650936126708984
1739279227.0580997,357347328,-25.721954345703125
1739279237.0589223,357607424,-26.389205932617188
1739279247.059227,357866496,-25.662195205688477
1739279257.0592883,358115328,-26.578317642211914
1739279267.0576086,358282240,-25.82795524597168
1739279277.0568836,358529024,-26.260744094848633
1739279287.0610116,358789120,-27.049030303955078
1739279298.4752636,359034880,-27.883888244628906
1739279307.0583062,359262208,-27.124147415161133
1739279317.0579174,359522304,-27.002090454101562
1739279327.057961,359782400,-27.22098731994629
1739279337.061455,359995392,-27.74687957763672
1739279347.0585608,360246272,-28.11085319519043
1739279357.056868,360483840,-28.42926025390625
1739279367.058702,360698880,-28.652700424194336
1739279377.0590894,360954880,-29.771305084228516
1739279387.0591502,361221120,-29.00579261779785
1739279397.057951,361479168,-26.720081329345703
1739279407.0605314,361693184,-26.539798736572266
1739279417.0562294,361948160,-26.791471481323242
1739279427.060419,362199040,-27.167665481567383
1739279437.0580575,362394624,-28.077735900878906
1739279447.058357,362629120,-28.571575164794922
1739279457.0587988,362880000,-28.681575775146484
1739279468.1310067,363114496,-27.957176208496094
1739279477.0558848,363343872,-27.492542266845703
1739279487.0594985,363600896,-27.518714904785156
1739279497.0586765,363853824,-28.902616500854492
1739279507.0592752,364065792,-29.78118896484375
1739279517.0569232,364315648,-28.74176597595215
1739279527.0579314,364571648,-28.633193969726562
1739279537.0582001,364779520,-29.163681030273438
1739279547.0583441,365034496,-28.207090377807617
1739279557.0580704,365292544,-26.688093185424805
1739279567.0593731,365553664,-26.27895164489746
1739279577.0601244,365766656,-27.5169620513916
1739279587.0587175,366025728,-28.189659118652344
1739279597.0584853,366284800,-28.668962478637695
1739279607.05725,366495744,-27.083192825317383
1739279617.0592663,366748672,-26.58660125732422
1739279627.0576143,367011840,-25.7763614654541
1739279637.8941011,367248384,-25.44135284423828
1739279647.0617995,367478784,-25.695079803466797
1739279657.0557742,367737856,-27.289682388305664
1739279667.0601115,367998976,-28.160924911499023
1739279677.0578165,368210944,-28.35833740234375
1739279687.0588603,368467968,-28.57155418395996
1739279697.058612,368731136,-29.092891693115234
1739279707.0564742,368944128,-29.112178802490234
1739279717.0585065,369200128,-27.99230194091797
1739279727.0580447,369460224,-27.123600006103516
1739279737.0596013,369723392,-26.53693389892578
1739279747.0583396,369938432,-26.686111450195312
1739279757.0585105,370201600,-26.746028900146484
1739279767.0576305,370460672,-28.31400489807129
1739279777.056731,370665472,-28.12751579284668
1739279787.0566256,370932736,-27.826417922973633
1739279797.0592995,371194880,-28.240310668945312
1739279807.7346516,371421184,-27.439273834228516
1739279817.0599713,371649536,-28.8925724029541
1739279827.0590546,371898368,-26.815332412719727
1739279837.0592542,372145152,-27.731016159057617
1739279847.058127,372343808,-28.195894241333008
1739279857.058066,372613120,-28.494535446166992
1739279867.0621164,372878336,-27.481731414794922
1739279877.0605483,373086208,-26.439950942993164
1739279887.0568538,373348352,-25.758493423461914
1739279897.058856,373609472,-28.23696517944336
1739279907.0581534,373866496,-30.695096969604492
1739279917.0600717,374065152,-31.315603256225586
1739279927.0630908,374322176,-30.7714786529541
1739279937.0609703,374562816,-29.632949829101562
1739279947.059471,374771712,-29.788148880004883
1739279957.055036,375038976,-29.208126068115234
1739279967.0568948,375300096,-27.908573150634766
1739279977.853401,375528448,-27.62914276123047
