wall_time,step,value
1739278347.0470097,335958016,0.0
1739278357.047446,336125952,16793.37109375
1739278367.0472791,336337920,21196.92578125
1739278377.0472598,336589824,25190.435546875
1739278387.0470147,336854016,26419.404296875
1739278397.0471983,337104896,25087.8515625
1739278407.0470297,337309696,20480.1328125
1739278417.0470617,337571840,26214.369140625
1739278427.0469666,337827840,25600.142578125
1739278437.0470402,338036736,20889.458984375
1739278447.047011,338304000,26726.443359375
1739278457.0471368,338568192,26419.05859375
1739278467.1977725,338786304,21487.947265625
1739278477.0471332,339026944,24431.677734375
1739278487.0471072,339280896,25395.171875
1739278497.047035,339534848,25395.20703125
1739278507.0470805,339732480,19763.20703125
1739278517.0472028,339990528,25804.642578125
1739278527.0470152,340244480,25395.34765625
1739278537.0473337,340444160,19967.810546875
1739278547.0473456,340700160,25600.138671875
1739278557.0469997,340954112,25395.3203125
1739278567.0471356,341201920,24780.6015625
1739278577.0471635,341406720,20480.107421875
1739278587.047015,341662720,25600.048828125
1739278597.047168,341912576,24985.55859375
1739278607.0473142,342109184,19660.6328125
1739278617.0470672,342368256,25907.37109375
1739278627.047259,342619136,25087.892578125
1739278637.1285398,342829056,20822.677734375
1739278647.0472558,343084032,25706.609375
1739278657.0472507,343347200,26316.91796875
1739278667.0470595,343602176,25497.6484375
1739278677.0471067,343808000,20582.404296875
1739278687.0470355,344075264,26726.443359375
1739278697.0469985,344335360,26009.671875
1739278707.0470238,344544256,20889.544921875
1739278717.0470376,344803328,25907.138671875
1739278727.0470026,345061376,25804.884765625
1739278737.0472908,345319424,25804.591796875
1739278747.047068,345533440,21401.693359375
1739278757.047254,345791488,25804.712890625
1739278767.0472214,346050560,25907.203125
1739278777.047207,346268672,21811.185546875
1739278787.0470238,346526720,25805.01171875
1739278797.0470376,346784768,25804.80078125
1739278807.1229396,346997760,21138.87890625
1739278817.0472033,347251712,25589.095703125
1739278827.0470154,347510784,25907.380859375
1739278837.0470076,347771904,26112.025390625
1739278847.0473607,347984896,21298.91015625
1739278857.0472674,348244992,26009.755859375
1739278867.0472863,348500992,25599.919921875
1739278877.0469592,348717056,21606.71875
1739278887.0470223,348974080,25702.2421875
1739278897.047026,349229056,25497.630859375
1739278907.0470827,349487104,25804.8515625
1739278917.047161,349702144,21503.8828125
1739278927.0472856,349958144,25599.8671875
1739278937.0471866,350215168,25702.55078125
1739278947.047243,350431232,21606.26953125
1739278957.0470269,350689280,25804.97265625
1739278967.0472443,350942208,25292.701171875
1739278977.047012,351160320,21811.337890625
1739278987.0469897,351418368,25804.826171875
1739278997.0469706,351676416,25804.8515625
1739279007.0469873,351936512,26009.5859375
1739279017.0478096,352151552,21503.46484375
1739279027.0470653,352412672,26112.5703125
1739279037.047284,352671744,25907.0234375
1739279047.0471427,352889856,21811.271484375
1739279057.046995,353147904,25804.9453125
1739279067.0472574,353409024,26111.78125
1739279078.752821,353668096,22132.203125
1739279087.0470998,353885184,26173.244140625
1739279097.0472667,354144256,25906.96875
1739279107.0471654,354400256,25600.158203125
1739279117.0472608,354613248,21299.09375
1739279127.047451,354874368,26112.119140625
1739279137.047009,355129344,25497.671875
1739279147.047176,355342336,21299.0625
1739279157.0474155,355602432,26009.826171875
1739279167.0476468,355860480,25804.3828125
1739279177.0559049,356124672,26419.58203125
1739279187.0469866,356345856,22118.443359375
1739279197.0469935,356608000,26214.435546875
1739279207.0470223,356870144,26214.255859375
1739279217.0470166,357086208,21606.43359375
1739279227.0470037,357347328,26112.037109375
