wall_time,step,value
1739278347.047067,335958016,0.0
1739278357.047677,336125952,7881.14892578125
1739278367.0473752,336337920,11582.2392578125
1739278377.0474708,336589824,14183.279296875
1739278387.047131,336854016,19659.021484375
1739278397.047414,337104896,24160.349609375
1739278407.047114,337309696,23406.806640625
1739278417.0471594,337571840,24691.912109375
1739278427.0470529,337827840,24647.5546875
1739278437.047125,338036736,23510.78515625
1739278447.047091,338304000,24885.515625
1739278457.0472229,338568192,25048.234375
1739278467.1978676,338786304,24947.6328125
1739278477.0472524,339026944,24477.134765625
1739278487.0471916,339280896,24758.6953125
1739278497.0475576,339534848,24433.31640625
1739278507.04753,339732480,23033.310546875
1739278517.0487778,339990528,24142.041015625
1739278527.0480278,340244480,24260.947265625
1739278537.0481346,340444160,23096.21875
1739278547.0479655,340700160,23563.412109375
1739278557.0479763,340954112,24282.712890625
1739278567.0477026,341201920,24120.69921875
1739278577.0477312,341406720,22986.568359375
1739278587.047519,341662720,24285.533203125
1739278597.047766,341912576,24140.873046875
1739278607.048102,342109184,22978.955078125
1739278617.0476866,342368256,23989.64453125
1739278627.0478535,342619136,24087.673828125
1739278637.1290486,342829056,23970.708984375
1739278647.048094,343084032,23637.67578125
1739278657.0480995,343347200,24673.455078125
1739278667.0476153,343602176,24630.955078125
1739278677.047755,343808000,23573.857421875
1739278687.0476012,344075264,25066.83203125
1739278697.0475597,344335360,24860.80078125
1739278707.0486157,344544256,24353.513671875
1739278717.0474405,344803328,24874.482421875
1739278727.049542,345061376,24932.853515625
1739278737.0478065,345319424,24777.5703125
1739278747.047794,345533440,23717.404296875
1739278757.0479717,345791488,24844.767578125
1739278767.048144,346050560,24862.89453125
1739278777.0477817,346268672,23955.509765625
1739278787.0477207,346526720,24972.51953125
1739278797.0479767,346784768,24948.2734375
1739278807.123723,346997760,23089.716796875
1739278817.047623,347251712,24412.669921875
1739278827.0475438,347510784,24715.693359375
1739278837.047789,347771904,24720.24609375
1739278847.048778,347984896,23790.525390625
1739278857.047823,348244992,24856.08984375
1739278867.0480406,348500992,24935.666015625
1739278877.0476751,348717056,23930.07421875
1739278887.0478468,348974080,23903.712890625
1739278897.047602,349229056,24751.87890625
1739278907.0479155,349487104,24744.2578125
1739278917.047644,349702144,23798.3828125
1739278927.0479207,349958144,24689.150390625
1739278937.047758,350215168,24708.271484375
1739278947.047682,350431232,23843.1875
1739278957.0476556,350689280,24813.265625
1739278967.0479155,350942208,24771.40625
1739278977.0481138,351160320,24845.19921875
1739278987.0476193,351418368,24359.939453125
1739278997.047509,351676416,24763.435546875
1739279007.0474803,351936512,24841.087890625
1739279017.0484502,352151552,23945.716796875
1739279027.0477164,352412672,24950.5234375
1739279037.0478787,352671744,25001.64453125
1739279047.0477955,352889856,24099.728515625
1739279057.047441,353147904,24678.0
1739279067.0479417,353409024,25094.57421875
1739279078.7536068,353668096,24141.677734375
1739279087.047684,353885184,24065.373046875
1739279097.0480282,354144256,24946.5546875
1739279107.047791,354400256,24897.453125
1739279117.048202,354613248,23916.146484375
1739279127.0479536,354874368,24922.298828125
1739279137.0477226,355129344,24794.666015625
1739279147.048111,355342336,24649.95703125
1739279157.047927,355602432,24155.205078125
1739279167.048063,355860480,24794.509765625
1739279177.0566378,356124672,24974.4296875
1739279187.0477676,356345856,24094.615234375
1739279197.0474424,356608000,25237.251953125
1739279207.0477304,356870144,25218.748046875
1739279217.0481532,357086208,24496.56640625
1739279227.0480037,357347328,25175.701171875
