wall_time,step,value
1739278367.0505397,336337920,-11.047245979309082
1739278377.0508058,336589824,-10.637494087219238
1739278387.0513437,336854016,-10.351129531860352
1739278397.053091,337104896,-10.098801612854004
1739278407.0523329,337309696,-9.582657814025879
1739278417.0522907,337571840,-9.229585647583008
1739278427.0510807,337827840,-8.791844367980957
1739278437.0538478,338036736,-8.629097938537598
1739278447.0519693,338304000,-8.154109001159668
1739278457.053596,338568192,-7.964807033538818
1739278467.2027304,338786304,-7.896103382110596
1739278477.0546246,339026944,-7.564001560211182
1739278487.052167,339280896,-7.250011920928955
1739278497.0532482,339534848,-7.019193172454834
1739278507.0512333,339732480,-6.842385292053223
1739278517.0530894,339990528,-6.491953372955322
1739278527.0534403,340244480,-6.3582658767700195
1739278537.0554597,340444160,-6.266571044921875
1739278547.0527086,340700160,-6.064969062805176
1739278557.0537076,340954112,-5.946499347686768
1739278567.0538998,341201920,-5.921426773071289
1739278577.0515654,341406720,-5.745387554168701
1739278587.0538716,341662720,-5.650908946990967
1739278597.0534096,341912576,-5.589134216308594
1739278607.0543444,342109184,-5.4207892417907715
1739278617.0534527,342368256,-5.262138843536377
1739278627.0531154,342619136,-5.326131820678711
1739278637.1335688,342829056,-5.18453311920166
1739278647.0527456,343084032,-5.190018653869629
1739278657.0549467,343347200,-5.1191558837890625
1739278667.0534277,343602176,-5.169609069824219
1739278677.051854,343808000,-4.976680755615234
1739278687.0528672,344075264,-4.873509883880615
1739278697.0534174,344335360,-4.8804826736450195
1739278707.0527363,344544256,-4.865790367126465
1739278717.0531356,344803328,-4.712559223175049
1739278727.0534089,345061376,-4.789246082305908
1739278737.0544436,345319424,-4.751541614532471
1739278747.0529752,345533440,-4.775241851806641
1739278757.0531049,345791488,-4.735273838043213
1739278767.0550804,346050560,-4.783613681793213
1739278777.0517783,346268672,-4.735692501068115
1739278787.05189,346526720,-4.774677753448486
1739278797.0533454,346784768,-4.80134916305542
1739278807.1294549,346997760,-4.7950639724731445
1739278817.052137,347251712,-4.797767639160156
1739278827.0518346,347510784,-4.7957258224487305
1739278837.0515966,347771904,-4.796760082244873
1739278847.0528898,347984896,-4.799071788787842
1739278857.053313,348244992,-4.7592291831970215
1739278867.051751,348500992,-4.786204814910889
1739278877.0510077,348717056,-4.799182891845703
1739278887.0516741,348974080,-4.914276123046875
1739278897.053717,349229056,-4.821000576019287
1739278907.0522132,349487104,-4.886519432067871
1739278917.0527956,349702144,-4.90036678314209
1739278927.0536344,349958144,-4.924448490142822
1739278937.0524716,350215168,-4.9485063552856445
1739278947.0535424,350431232,-4.978521347045898
1739278957.0523396,350689280,-4.965473651885986
1739278967.053747,350942208,-4.9650444984436035
1739278977.0534115,351160320,-5.024313926696777
1739278987.0524085,351418368,-5.057326793670654
1739278997.0527546,351676416,-5.030130863189697
1739279007.052303,351936512,-5.019552707672119
1739279017.0534995,352151552,-5.078583717346191
1739279027.052133,352412672,-5.07343864440918
1739279037.053589,352671744,-5.127372741699219
1739279047.0529299,352889856,-5.225410461425781
1739279057.052491,353147904,-5.170987129211426
1739279067.052084,353409024,-5.111534118652344
1739279078.7602944,353668096,-5.154044151306152
1739279087.0536413,353885184,-5.239073753356934
1739279097.0516157,354144256,-5.180534839630127
1739279107.0523398,354400256,-5.195875644683838
1739279117.0522275,354613248,-5.259083271026611
1739279127.0524437,354874368,-5.246373176574707
1739279137.051889,355129344,-5.256781101226807
1739279147.052937,355342336,-5.248987197875977
1739279157.05259,355602432,-5.3314056396484375
1739279167.0529907,355860480,-5.325079441070557
1739279177.0621572,356124672,-5.377030372619629
1739279187.0523295,356345856,-5.3226728439331055
1739279197.052725,356608000,-5.292479515075684
1739279207.0523987,356870144,-5.295022487640381
1739279217.0529628,357086208,-5.350687026977539
1739279227.0521853,357347328,-5.4012346267700195
1739279237.0533562,357607424,-5.463949203491211
1739279247.052193,357866496,-5.350667476654053
1739279257.0532458,358115328,-5.410016059875488
1739279267.0526645,358282240,-5.439387321472168
1739279277.0523927,358529024,-5.421874523162842
1739279287.0541346,358789120,-5.409677028656006
1739279298.4701352,359034880,-5.513224124908447
1739279307.0531776,359262208,-5.381500244140625
1739279317.0523994,359522304,-5.439942359924316
1739279327.0524073,359782400,-5.410865783691406
1739279337.054622,359995392,-5.41655969619751
1739279347.0534031,360246272,-5.416285037994385
1739279357.0523305,360483840,-5.4050493240356445
1739279367.05374,360698880,-5.477510452270508
1739279377.0530806,360954880,-5.620085716247559
1739279387.052744,361221120,-5.473539352416992
1739279397.0517983,361479168,-5.46039342880249
1739279407.053495,361693184,-5.562699317932129
1739279417.0520167,361948160,-5.509809970855713
1739279427.0547347,362199040,-5.530633449554443
1739279437.051945,362394624,-5.518962860107422
1739279447.0521128,362629120,-5.515811443328857
1739279457.052222,362880000,-5.5236029624938965
1739279468.1247308,363114496,-5.486374855041504
1739279477.0511463,363343872,-5.51539421081543
