wall_time,step,value
1739278367.0521402,336337920,-13.875429153442383
1739278377.051451,336589824,-14.072731971740723
1739278387.0518987,336854016,-14.062044143676758
1739278397.0532131,337104896,-14.055882453918457
1739278407.0530212,337309696,-14.011771202087402
1739278417.053439,337571840,-13.997908592224121
1739278427.0520983,337827840,-13.984987258911133
1739278437.0542986,338036736,-13.97364616394043
1739278447.052091,338304000,-13.946365356445312
1739278457.0541492,338568192,-13.918865203857422
1739278467.204681,338786304,-13.908942222595215
1739278477.0546672,339026944,-13.89483642578125
1739278487.0528882,339280896,-13.888348579406738
1739278497.0539768,339534848,-13.887765884399414
1739278507.0515385,339732480,-13.864046096801758
1739278517.0534446,339990528,-13.854864120483398
1739278527.0544,340244480,-13.821303367614746
1739278537.0563526,340444160,-13.825865745544434
1739278547.0533316,340700160,-13.83144474029541
1739278557.0538275,340954112,-13.83793830871582
1739278567.0539386,341201920,-13.858073234558105
1739278577.0521643,341406720,-13.823863983154297
1739278587.0539079,341662720,-13.82967758178711
1739278597.0540307,341912576,-13.795680046081543
1739278607.055413,342109184,-13.815093040466309
1739278617.0538623,342368256,-13.803716659545898
1739278627.0532227,342619136,-13.755583763122559
1739278637.134431,342829056,-13.810687065124512
1739278647.0528574,343084032,-13.771507263183594
1739278657.055066,343347200,-13.780588150024414
1739278667.0539362,343602176,-13.726034164428711
1739278677.0532308,343808000,-13.720595359802246
1739278687.0529177,344075264,-13.736897468566895
1739278697.0534523,344335360,-13.708769798278809
1739278707.0530894,344544256,-13.721306800842285
1739278717.0537755,344803328,-13.701526641845703
1739278727.0539758,345061376,-13.680405616760254
1739278737.0545335,345319424,-13.696822166442871
1739278747.0532746,345533440,-13.678706169128418
1739278757.0537884,345791488,-13.687442779541016
1739278767.0553887,346050560,-13.698463439941406
1739278777.0518544,346268672,-13.70322036743164
1739278787.051998,346526720,-13.668642044067383
1739278797.0535233,346784768,-13.663881301879883
1739278807.1302636,346997760,-13.645920753479004
1739278817.0528038,347251712,-13.640583992004395
1739278827.0528126,347510784,-13.644527435302734
1739278837.052209,347771904,-13.652095794677734
1739278847.0553088,347984896,-13.657622337341309
1739278857.0551143,348244992,-13.648664474487305
1739278867.0521176,348500992,-13.636698722839355
1739278877.05183,348717056,-13.629472732543945
1739278887.0518057,348974080,-13.661064147949219
1739278897.0544808,349229056,-13.689181327819824
1739278907.0523305,349487104,-13.686100959777832
1739278917.0534492,349702144,-13.705421447753906
1739278927.0540667,349958144,-13.711159706115723
1739278937.0525208,350215168,-13.689072608947754
1739278947.0542753,350431232,-13.708697319030762
1739278957.052379,350689280,-13.683836936950684
1739278967.054569,350942208,-13.668920516967773
1739278977.0535183,351160320,-13.68551254272461
1739278987.0530472,351418368,-13.710798263549805
1739278997.0528567,351676416,-13.727949142456055
1739279007.0523355,351936512,-13.69825267791748
1739279017.0535686,352151552,-13.700797080993652
1739279027.052799,352412672,-13.696295738220215
1739279037.0541334,352671744,-13.659835815429688
1739279047.0530417,352889856,-13.668611526489258
1739279057.0528812,353147904,-13.672739028930664
1739279067.052261,353409024,-13.670970916748047
1739279078.760366,353668096,-13.672530174255371
1739279087.054096,353885184,-13.682909965515137
1739279097.0517225,354144256,-13.672618865966797
1739279107.0524044,354400256,-13.643506050109863
1739279117.052987,354613248,-13.655292510986328
1739279127.0524786,354874368,-13.651728630065918
1739279137.051996,355129344,-13.636887550354004
1739279147.0533497,355342336,-13.661206245422363
1739279157.052851,355602432,-13.64144515991211
1739279167.0533621,355860480,-13.692288398742676
1739279177.0625362,356124672,-13.662179946899414
1739279187.052369,356345856,-13.668257713317871
1739279197.0528388,356608000,-13.682103157043457
1739279207.0525067,356870144,-13.66064167022705
1739279217.052999,357086208,-13.680000305175781
1739279227.0527573,357347328,-13.67452621459961
1739279237.0534644,357607424,-13.677154541015625
1739279247.0530055,357866496,-13.679722785949707
1739279257.0542274,358115328,-13.704715728759766
1739279267.0531645,358282240,-13.682662963867188
1739279277.0524292,358529024,-13.71804141998291
1739279287.0553174,358789120,-13.698256492614746
1739279298.4705603,359034880,-13.674363136291504
1739279307.0532863,359262208,-13.670516967773438
1739279317.0524352,359522304,-13.644088745117188
1739279327.0531297,359782400,-13.644375801086426
1739279337.0547297,359995392,-13.638106346130371
1739279347.0537426,360246272,-13.660552978515625
1739279357.0523841,360483840,-13.664971351623535
1739279367.0543084,360698880,-13.66706371307373
1739279377.0531185,360954880,-13.677694320678711
1739279387.0527797,361221120,-13.66511058807373
1739279397.0526764,361479168,-13.668827056884766
1739279407.0542147,361693184,-13.656682014465332
1739279417.0528033,361948160,-13.646552085876465
1739279427.0555887,362199040,-13.666891098022461
1739279437.0522516,362394624,-13.6268310546875
1739279447.0528696,362629120,-13.6293306350708
1739279457.0528102,362880000,-13.617069244384766
1739279468.1249766,363114496,-13.63632869720459
1739279477.0515118,363343872,-13.653836250305176
1739279487.054444,363600896,-13.612903594970703
1739279497.0534937,363853824,-13.636151313781738
1739279507.0529127,364065792,-13.624124526977539
1739279517.0523522,364315648,-13.619827270507812
1739279527.0518255,364571648,-13.631390571594238
1739279537.0532963,364779520,-13.614594459533691
1739279547.053712,365034496,-13.629070281982422
1739279557.0525389,365292544,-13.641490936279297
1739279567.0551088,365553664,-13.612944602966309
1739279577.0542538,365766656,-13.59652042388916
1739279587.053048,366025728,-13.621011734008789
1739279597.0526152,366284800,-13.602437019348145
1739279607.0522807,366495744,-13.618504524230957
1739279617.0529351,366748672,-13.611030578613281
1739279627.0528533,367011840,-13.601363182067871
1739279637.8883216,367248384,-13.599231719970703
1739279647.0548701,367478784,-13.62706470489502
1739279657.0529337,367737856,-13.600544929504395
1739279667.0536325,367998976,-13.599334716796875
1739279677.052808,368210944,-13.600038528442383
1739279687.0546393,368467968,-13.635004997253418
1739279697.0541842,368731136,-13.594412803649902
1739279707.0523036,368944128,-13.598745346069336
1739279717.0524554,369200128,-13.60392951965332
1739279727.0532475,369460224,-13.619253158569336
1739279737.053242,369723392,-13.605975151062012
1739279747.0529394,369938432,-13.63683795928955
1739279757.0542839,370201600,-13.634500503540039
1739279767.0530298,370460672,-13.593661308288574
1739279777.052388,370665472,-13.59866714477539
1739279787.0518048,370932736,-13.578001976013184
1739279797.054866,371194880,-13.59738826751709
1739279807.728823,371421184,-13.595307350158691
1739279817.055012,371649536,-13.601726531982422
1739279827.0534441,371898368,-13.59605598449707
1739279837.0538602,372145152,-13.576651573181152
1739279847.0525742,372343808,-13.60873031616211
1739279857.0527303,372613120,-13.61262321472168
1739279867.0540185,372878336,-13.58565616607666
1739279877.0532115,373086208,-13.598588943481445
1739279887.0531485,373348352,-13.575197219848633
1739279897.0522313,373609472,-13.619138717651367
1739279907.053717,373866496,-13.572324752807617
1739279917.055327,374065152,-13.615601539611816
1739279927.0543125,374322176,-13.600866317749023
1739279937.055247,374562816,-13.607873916625977
1739279947.0547647,374771712,-13.587542533874512
1739279957.051397,375038976,-13.591548919677734
1739279967.053122,375300096,-13.58345890045166
1739279977.8477917,375528448,-13.577089309692383
1739279987.0532236,375768064,-13.590665817260742
1739279997.0534215,376033280,-13.589954376220703
1739280007.0531092,376288256,-13.58634090423584
1739280017.0530348,376492032,-13.577122688293457
1739280027.0529668,376753152,-13.58296012878418
1739280037.052295,377009152,-13.599591255187988
1739280047.0527823,377214976,-13.570694923400879
1739280057.054156,377479168,-13.553683280944824
1739280067.0540836,377741312,-13.564128875732422
1739280077.0553427,377989120,-13.547186851501465
1739280087.0540202,378195968,-13.541115760803223
1739280097.0532398,378458112,-13.514140129089355
1739280107.0528092,378719232,-13.544886589050293
1739280117.0531409,378920960,-13.546940803527832
1739280127.0528917,379174912,-13.52995777130127
1739280137.0518796,379428864,-13.524802207946777
1739280147.8446226,379658240,-13.547378540039062
1739280157.0528045,379893760,-13.516190528869629
1739280167.0540605,380144640,-13.512807846069336
1739280177.052411,380399616,-13.523200988769531
1739280187.0548007,380610560,-13.542201042175293
1739280197.0552292,380866560,-13.526063919067383
1739280207.0520825,381127680,-13.529653549194336
1739280217.0528593,381342720,-13.539698600769043
1739280227.0533779,381599744,-13.552290916442871
1739280237.0537038,381856768,-13.54719352722168
1739280247.053342,382099456,-13.558821678161621
1739280257.0525804,382297088,-13.568324089050293
1739280267.0521638,382551040,-13.542258262634277
1739280277.0518546,382809088,-13.5380277633667
1739280287.053097,383029248,-13.534171104431152
1739280297.0526326,383295488,-13.540056228637695
1739280307.0529711,383555584,-13.526956558227539
1739280317.5416903,383784960,-13.529313087463379
1739280327.0553365,384031744,-13.502965927124023
1739280337.0545187,384274432,-13.535510063171387
1739280347.0530257,384527360,-13.523488998413086
1739280357.052423,384742400,-13.494182586669922
1739280367.0534554,384990208,-13.50130844116211
1739280377.0534134,385226752,-13.512044906616211
1739280387.0538123,385428480,-13.502906799316406
1739280397.0532289,385688576,-13.51066780090332
1739280407.0544791,385945600,-13.484464645385742
1739280417.0532484,386203648,-13.481988906860352
1739280427.053167,386420736,-13.461116790771484
1739280437.0515466,386680832,-13.465764045715332
1739280447.0525236,386940928,-13.472092628479004
1739280457.0537145,387156992,-13.490025520324707
1739280467.0533051,387414016,-13.50405502319336
1739280477.053277,387663872,-13.486043930053711
1739280487.2663612,387870720,-13.47921371459961
1739280497.0539656,388115456,-13.491717338562012
1739280507.0531843,388363264,-13.508017539978027
1739280517.054917,388596736,-13.493029594421387
1739280527.0523791,388810752,-13.500073432922363
1739280537.054927,389074944,-13.494229316711426
1739280547.0535285,389335040,-13.490218162536621
1739280557.0540938,389544960,-13.49510669708252
1739280567.0568335,389801984,-13.482010841369629
1739280577.0523272,390056960,-13.495136260986328
1739280587.0542629,390309888,-13.490595817565918
1739280597.0534415,390529024,-13.50063705444336
1739280607.0522926,390789120,-13.500114440917969
1739280617.0524166,391044096,-13.506124496459961
1739280627.0538857,391244800,-13.506462097167969
1739280637.0540247,391491584,-13.481537818908691
1739280647.0516927,391744512,-13.507583618164062
1739280657.070352,391956480,-13.459487915039062
1739280667.0525033,392210432,-13.464356422424316
1739280677.0537827,392466432,-13.473150253295898
1739280687.0541017,392718336,-13.4557466506958
1739280697.0532115,392934400,-13.442002296447754
1739280707.0529382,393189376,-13.43782901763916
1739280717.0544467,393444352,-13.451172828674316
1739280727.0530457,393652224,-13.449984550476074
1739280737.054122,393906176,-13.441904067993164
1739280747.0536857,394160128,-13.468159675598145
1739280757.0523925,394416128,-13.450989723205566
1739280767.0527463,394627072,-13.4995698928833
1739280777.0531914,394895360,-13.465773582458496
1739280787.0522099,395154432,-13.470653533935547
1739280797.0526938,395367424,-13.464648246765137
1739280807.0553834,395632640,-13.45732307434082
1739280817.05335,395894784,-13.459491729736328
1739280827.0542903,396107776,-13.465693473815918
1739280837.054276,396362752,-13.438901901245117
1739280847.0531545,396624896,-13.465378761291504
1739280857.0545633,396879872,-13.451025009155273
1739280867.0542185,397090816,-13.468175888061523
1739280877.0537045,397346816,-13.46898365020752
1739280887.0521452,397603840,-13.472412109375
1739280897.0527475,397810688,-13.474884033203125
1739280907.0534854,398065664,-13.46098518371582
1739280917.053034,398327808,-13.460967063903809
1739280927.054117,398578688,-13.462751388549805
1739280937.0524342,398790656,-13.445755958557129
1739280947.052566,399053824,-13.4594087600708
1739280957.0538514,399313920,-13.436479568481445
1739280967.053901,399527936,-13.48001480102539
1739280977.0536773,399793152,-13.474554061889648
1739280987.0557358,400059392,-13.479157447814941
1739280997.0538957,400272384,-13.47106647491455
1739281007.0521882,400532480,-13.44744873046875
1739281017.0551813,400797696,-13.43893814086914
1739281027.0536344,401054720,-13.466761589050293
1739281037.0541153,401256448,-13.49694538116455
1739281047.051567,401526784,-13.479317665100098
1739281057.0540025,401787904,-13.483850479125977
1739281067.0536773,401994752,-13.48923110961914
1739281077.0535884,402259968,-13.464068412780762
1739281087.0527158,402525184,-13.468669891357422
1739281097.0525532,402781184,-13.47786808013916
1739281107.0519896,402990080,-13.456073760986328
1739281117.0522175,403257344,-13.46811294555664
1739281127.05347,403518464,-13.470824241638184
1739281137.0537708,403723264,-13.465042114257812
1739281147.0530908,403988480,-13.470230102539062
1739281157.052289,404253696,-13.45724868774414
1739281167.0628617,404460544,-13.432746887207031
1739281177.0512438,404724736,-13.46759033203125
1739281187.0523589,404984832,-13.456899642944336
1739281197.0546453,405243904,-13.486125946044922
1739281207.0519912,405457920,-13.449990272521973
1739281217.0548756,405716992,-13.462300300598145
1739281227.0526803,405976064,-13.46291446685791
1739281237.0532327,406191104,-13.453612327575684
1739281247.052253,406449152,-13.448535919189453
1739281257.0539834,406705152,-13.478852272033691
1739281267.0529268,406964224,-13.480270385742188
1739281277.053727,407180288,-13.440669059753418
1739281287.052823,407439360,-13.4732666015625
1739281297.0543158,407695360,-13.47474479675293
1739281307.0548775,407915520,-13.473413467407227
1739281317.055995,408173568,-13.470572471618652
1739281327.0527203,408432640,-13.458001136779785
1739281337.0925908,408651776,-13.469345092773438
1739281347.0517623,408909824,-13.449807167053223
1739281357.0537884,409168896,-13.475677490234375
1739281367.0551527,409424896,-13.455737113952637
1739281377.0513847,409635840,-13.47206974029541
1739281387.0533912,409892864,-13.466517448425293
1739281397.0533164,410149888,-13.467227935791016
1739281407.053299,410358784,-13.468438148498535
1739281417.0547862,410616832,-13.490606307983398
1739281427.0528052,410872832,-13.493605613708496
1739281437.054204,411129856,-13.473154067993164
1739281447.0568542,411341824,-13.4779691696167
1739281457.054102,411599872,-13.468149185180664
1739281467.0537355,411858944,-13.432212829589844
1739281477.051973,412071936,-13.432463645935059
1739281487.0536351,412331008,-13.460956573486328
1739281497.052468,412585984,-13.441892623901367
1739281507.05202,412801024,-13.4405517578125
1739281517.062273,413057024,-13.460003852844238
1739281527.0616574,413312000,-13.44819164276123
1739281537.0525308,413564928,-13.436136245727539
1739281547.0536032,413780992,-13.4002046585083
1739281557.0543246,414041088,-13.411429405212402
1739281567.0529032,414300160,-13.40930461883545
1739281577.054035,414512128,-13.425034523010254
1739281587.0536387,414770176,-13.422384262084961
1739281597.0541518,415029248,-13.402881622314453
1739281607.0537086,415287296,-13.410666465759277
1739281617.0528972,415500288,-13.387341499328613
1739281627.053262,415758336,-13.381600379943848
1739281637.0523727,416010240,-13.347199440002441
1739281647.05262,416216064,-13.338618278503418
1739281657.05423,416468992,-13.325702667236328
1739281667.0543358,416730112,-13.324809074401855
1739281677.0543396,416946176,-13.308135986328125
1739281687.0525813,417210368,-13.337323188781738
1739281697.0521948,417465344,-13.347929954528809
1739281707.0544038,417720320,-13.333734512329102
1739281717.053482,417940480,-13.344362258911133
1739281727.05592,418197504,-13.340678215026855
1739281737.0535884,418452480,-13.356002807617188
1739281747.052142,418670592,-13.338431358337402
1739281757.0531015,418931712,-13.346528053283691
1739281767.0541255,419187712,-13.339866638183594
1739281778.7637808,419447808,-13.3269624710083
1739281787.054466,419659776,-13.331075668334961
1739281797.0537062,419918848,-13.317473411560059
1739281807.0541146,420176896,-13.330307960510254
1739281817.0544932,420393984,-13.314675331115723
1739281827.0557594,420644864,-13.297697067260742
1739281837.052833,420903936,-13.322131156921387
1739281847.0542622,421121024,-13.309684753417969
1739281857.054785,421383168,-13.33438491821289
1739281867.0544877,421643264,-13.334009170532227
1739281877.0633638,421901312,-13.327007293701172
1739281887.051491,422117376,-13.313413619995117
1739281897.0529842,422375424,-13.323406219482422
1739281907.0523121,422636544,-13.305015563964844
1739281917.0534794,422851584,-13.293842315673828
1739281927.0528903,423109632,-13.30148696899414
1739281937.0519927,423370752,-13.268468856811523
1739281948.7923682,423627776,-13.315812110900879
1739281957.0539293,423842816,-13.272039413452148
1739281967.0525835,424103936,-13.289192199707031
1739281977.0534518,424366080,-13.273981094360352
1739281987.0539944,424578048,-13.265115737915039
1739281997.053765,424839168,-13.254035949707031
1739282007.053552,425099264,-13.260756492614746
1739282017.0517075,425308160,-13.256967544555664
1739282027.0539477,425562112,-13.279928207397461
1739282037.0537097,425827328,-13.271040916442871
1739282047.053335,426087424,-13.278053283691406
1739282057.0522783,426298368,-13.294906616210938
1739282067.0517843,426559488,-13.298185348510742
1739282077.0543706,426823680,-13.272863388061523
1739282087.0534902,427035648,-13.290878295898438
1739282097.0518754,427295744,-13.32039737701416
1739282107.052459,427556864,-13.30143928527832
1739282117.0537145,427814912,-13.293405532836914
1739282127.0527146,428014592,-13.295449256896973
1739282137.054165,428277760,-13.296365737915039
1739282147.0528858,428540928,-13.295949935913086
1739282157.0531385,428737536,-13.265350341796875
1739282167.0551815,428983296,-13.302001953125
1739282177.0529478,429250560,-13.255367279052734
1739282187.0540814,429427712,-13.277941703796387
1739282197.0562866,429681664,-13.29111099243164
1739282207.0526345,429950976,-13.28707504272461
1739282217.0532644,430218240,-13.246797561645508
1739282227.0523317,430424064,-13.250514030456543
1739282237.0522735,430698496,-13.24279499053955
1739282247.0537362,430957568,-13.247489929199219
1739282257.053684,431166464,-13.242758750915527
1739282267.0527215,431429632,-13.249591827392578
1739282277.054242,431695872,-13.237839698791504
1739282287.0521648,431956992,-13.22111988067627
1739282297.053543,432166912,-13.255797386169434
1739282307.053429,432435200,-13.247097969055176
1739282317.0537136,432688128,-13.258156776428223
1739282327.053771,432893952,-13.236194610595703
1739282337.0513237,433159168,-13.235394477844238
1739282347.0557015,433426432,-13.214311599731445
1739282357.5290353,433645568,-13.214510917663574
1739282367.0512,433881088,-13.217660903930664
1739282377.0529926,434137088,-13.231424331665039
1739282387.0525367,434377728,-13.239639282226562
1739282397.054165,434578432,-13.245657920837402
1739282407.052313,434789376,-13.228917121887207
1739282417.052901,435041280,-13.246935844421387
1739282427.053234,435245056,-13.232223510742188
1739282437.0524523,435501056,-13.217620849609375
1739282447.051726,435762176,-13.207286834716797
1739282457.0527189,436024320,-13.234466552734375
1739282467.0514266,436229120,-13.210402488708496
1739282477.0522742,436491264,-13.196743965148926
1739282487.0524876,436752384,-13.218544006347656
1739282497.055753,436954112,-13.222871780395508
1739282507.051718,437225472,-13.222336769104004
1739282517.0538306,437486592,-13.188780784606934
1739282527.8981967,437710848,-13.181893348693848
1739282537.052701,437946368,-13.171614646911621
1739282547.0514953,438201344,-13.163055419921875
1739282557.0528727,438454272,-13.184167861938477
1739282567.0536067,438626304,-13.172334671020508
1739282577.0525732,438890496,-13.168011665344238
1739282587.0535982,439150592,-13.16324234008789
1739282597.0540218,439361536,-13.160314559936523
1739282607.052723,439627776,-13.149795532226562
1739282617.0529,439901184,-13.142297744750977
1739282627.0614445,440166400,-13.166789054870605
1739282637.053099,440369152,-13.193338394165039
1739282647.0537949,440628224,-13.186376571655273
1739282657.0552175,440890368,-13.168710708618164
1739282667.0532875,441105408,-13.18837833404541
1739282677.053642,441367552,-13.20063304901123
1739282687.0528204,441628672,-13.235678672790527
1739282698.6539428,441882624,-13.211766242980957
1739282707.0539293,442099712,-13.196816444396973
1739282717.0523856,442358784,-13.210066795349121
1739282727.0530975,442617856,-13.18079662322998
1739282737.0514007,442830848,-13.186368942260742
1739282747.0518725,443094016,-13.185653686523438
1739282757.053224,443339776,-13.181138038635254
1739282767.0548723,443516928,-13.193346977233887
1739282777.0524287,443772928,-13.199886322021484
1739282787.053112,444036096,-13.186909675598145
