wall_time,step,value
1739278367.0507543,336337920,-25.381725311279297
1739278377.05125,336589824,-24.62640380859375
1739278387.0516214,336854016,-24.135360717773438
1739278397.053175,337104896,-26.36391258239746
1739278407.0528245,337309696,-24.84591293334961
1739278417.0525565,337571840,-24.95828628540039
1739278427.0517783,337827840,-25.604503631591797
1739278437.053921,338036736,-25.677968978881836
1739278447.0520513,338304000,-26.299339294433594
1739278457.0541303,338568192,-26.005048751831055
1739278467.2046525,338786304,-26.961193084716797
1739278477.0546548,339026944,-26.166831970214844
1739278487.0528438,339280896,-24.159494400024414
1739278497.0538032,339534848,-24.07459259033203
1739278507.0512571,339732480,-25.947202682495117
1739278517.0531137,339990528,-26.810367584228516
1739278527.0541048,340244480,-26.47319793701172
1739278537.0563087,340444160,-24.93851089477539
1739278547.053291,340700160,-28.020198822021484
1739278557.053791,340954112,-27.192176818847656
1739278567.0539267,341201920,-24.933012008666992
1739278577.0521464,341406720,-25.7056827545166
1739278587.0538967,341662720,-25.386579513549805
1739278597.0540056,341912576,-26.46109962463379
1739278607.0548913,342109184,-25.50071907043457
1739278617.0538385,342368256,-26.13370704650879
1739278627.0531876,342619136,-23.534339904785156
1739278637.1344135,342829056,-25.93849754333496
1739278647.0528224,343084032,-27.974384307861328
1739278657.0550292,343347200,-25.556655883789062
1739278667.0534859,343602176,-26.584941864013672
1739278677.0528028,343808000,-26.391454696655273
1739278687.0529041,344075264,-27.460662841796875
1739278697.053441,344335360,-26.541851043701172
1739278707.0530725,344544256,-25.247312545776367
1739278717.0535982,344803328,-27.95877456665039
1739278727.0534866,345061376,-27.893007278442383
1739278737.0545065,345319424,-26.416963577270508
1739278747.0531292,345533440,-28.221975326538086
1739278757.0537665,345791488,-24.783218383789062
1739278767.0553694,346050560,-24.93985939025879
1739278777.05183,346268672,-26.885046005249023
1739278787.0519626,346526720,-26.73699951171875
1739278797.0533822,346784768,-27.36219024658203
1739278807.1302414,346997760,-26.35147476196289
1739278817.052206,347251712,-27.85311508178711
1739278827.0527925,347510784,-25.985815048217773
1739278837.0520737,347771904,-26.23232650756836
1739278847.0533018,347984896,-25.855178833007812
1739278857.0537183,348244992,-26.056089401245117
1739278867.0518203,348500992,-28.138010025024414
1739278877.0516632,348717056,-27.668363571166992
1739278887.0517783,348974080,-25.61079978942871
1739278897.0541213,349229056,-26.46983528137207
1739278907.0522928,349487104,-28.042930603027344
1739278917.0534096,349702144,-26.375972747802734
1739278927.0540462,349958144,-26.350522994995117
1739278937.0525064,350215168,-26.38129997253418
1739278947.0542295,350431232,-27.4460506439209
1739278957.0523672,350689280,-28.386165618896484
1739278967.0542328,350942208,-26.120275497436523
1739278977.0534828,351160320,-26.370512008666992
1739278987.0530078,351418368,-25.87206268310547
1739278997.0528233,351676416,-26.80082130432129
1739279007.052325,351936512,-27.002763748168945
1739279017.0535457,352151552,-26.322452545166016
1739279027.0521913,352412672,-27.091026306152344
1739279037.0541058,352671744,-28.554418563842773
1739279047.0530062,352889856,-27.680683135986328
1739279057.0528545,353147904,-26.892976760864258
1739279067.052205,353409024,-25.659414291381836
1739279078.760343,353668096,-26.039989471435547
1739279087.053697,353885184,-27.22578239440918
1739279097.0516868,354144256,-27.424734115600586
1739279107.0523825,354400256,-26.69206428527832
1739279117.0529475,354613248,-25.614160537719727
1739279127.0524669,354874368,-25.439451217651367
1739279137.0519614,355129344,-27.763721466064453
1739279147.0533283,355342336,-26.454879760742188
1739279157.052823,355602432,-27.350555419921875
1739279167.0533376,355860480,-28.627193450927734
1739279177.0625114,356124672,-27.34665870666504
1739279187.0523574,356345856,-27.425504684448242
1739279197.0527978,356608000,-28.2623291015625
1739279207.0524714,356870144,-28.517070770263672
1739279217.052987,357086208,-25.733463287353516
1739279227.0523884,357347328,-25.11847686767578
1739279237.053429,357607424,-29.235958099365234
1739279247.0527408,357866496,-28.071157455444336
1739279257.053665,358115328,-28.198835372924805
1739279267.053138,358282240,-26.995464324951172
1739279277.0524178,358529024,-27.079835891723633
1739279287.0547783,358789120,-26.36403465270996
1739279298.4705403,359034880,-28.69932746887207
1739279307.0532498,359262208,-27.662168502807617
1739279317.0524237,359522304,-29.069021224975586
1739279327.052838,359782400,-28.27617835998535
1739279337.0546942,359995392,-27.89780044555664
1739279347.053725,360246272,-27.52989387512207
1739279357.0523689,360483840,-26.93718719482422
1739279367.054264,360698880,-27.3006649017334
1739279377.053106,360954880,-28.610456466674805
1739279387.052768,361221120,-28.55693244934082
1739279397.0526433,361479168,-28.452699661254883
1739279407.0541852,361693184,-27.944120407104492
1739279417.0520556,361948160,-28.990293502807617
1739279427.054812,362199040,-28.785219192504883
1739279437.0521052,362394624,-26.382844924926758
1739279447.0527344,362629120,-27.39542007446289
1739279457.0525477,362880000,-28.681318283081055
1739279468.1248455,363114496,-26.537567138671875
1739279477.051169,363343872,-28.38772964477539
1739279487.0542603,363600896,-28.48227310180664
1739279497.0533764,363853824,-27.350141525268555
1739279507.05259,364065792,-30.45243263244629
1739279517.0523384,364315648,-26.80512237548828
1739279527.0517302,364571648,-28.76893424987793
1739279537.0532775,364779520,-29.319503784179688
1739279547.0534174,365034496,-28.728103637695312
1739279557.0521345,365292544,-26.932723999023438
1739279567.0546834,365553664,-27.00031280517578
1739279577.054218,365766656,-27.98390769958496
1739279587.0530336,366025728,-29.189071655273438
1739279597.0522966,366284800,-28.710445404052734
1739279607.0522616,366495744,-29.244300842285156
1739279617.0529017,366748672,-26.78958511352539
1739279627.052841,367011840,-27.38101577758789
1739279637.8882911,367248384,-27.182363510131836
1739279647.0548398,367478784,-28.882631301879883
1739279657.0529099,367737856,-28.86395835876465
1739279667.0536082,367998976,-29.079374313354492
1739279677.0527933,368210944,-28.620105743408203
1739279687.0545099,368467968,-27.77391815185547
1739279697.0535722,368731136,-28.163631439208984
1739279707.052283,368944128,-29.507587432861328
1739279717.0521238,369200128,-27.530061721801758
1739279727.0525222,369460224,-27.43259620666504
1739279737.0532227,369723392,-27.035995483398438
1739279747.0529215,369938432,-26.209753036499023
1739279757.0542674,370201600,-28.487144470214844
1739279767.0529857,370460672,-28.303495407104492
1739279777.0523612,370665472,-28.736549377441406
1739279787.051791,370932736,-26.899808883666992
1739279797.0541701,371194880,-28.465087890625
1739279807.7287967,371421184,-27.49846649169922
1739279817.054991,371649536,-30.38075065612793
1739279827.053016,371898368,-27.6361083984375
1739279837.0537097,372145152,-27.38348388671875
1739279847.052562,372343808,-29.070537567138672
1739279857.0519762,372613120,-27.105060577392578
1739279867.0534358,372878336,-27.811349868774414
1739279877.0528255,373086208,-28.133562088012695
1739279887.0531304,373348352,-28.53550148010254
1739279897.0516007,373609472,-29.350872039794922
1739279907.053674,373866496,-30.311033248901367
1739279917.055281,374065152,-28.135589599609375
1739279927.0542903,374322176,-29.713869094848633
1739279937.0552347,374562816,-27.177473068237305
1739279947.0541034,374771712,-28.49921989440918
1739279957.0513742,375038976,-30.01682472229004
1739279967.053101,375300096,-28.685338973999023
1739279977.8474967,375528448,-28.215070724487305
1739279987.0529292,375768064,-28.038660049438477
1739279997.0534058,376033280,-30.729263305664062
1739280007.0530686,376288256,-29.475290298461914
1739280017.053015,376492032,-28.052804946899414
1739280027.0528502,376753152,-28.141971588134766
1739280037.0522816,377009152,-28.50693702697754
1739280047.0525315,377214976,-29.49857521057129
1739280057.0536103,377479168,-29.865493774414062
1739280067.0540698,377741312,-29.8281307220459
1739280077.0553217,377989120,-26.794307708740234
1739280087.0539987,378195968,-28.58489990234375
1739280097.053198,378458112,-31.252357482910156
1739280107.0526016,378719232,-29.488061904907227
1739280117.0524466,378920960,-28.43695068359375
1739280127.0528789,379174912,-30.02317237854004
1739280137.0513093,379428864,-29.276029586791992
1739280147.8445868,379658240,-29.115131378173828
1739280157.0527704,379893760,-29.954023361206055
1739280167.0540307,380144640,-26.63712501525879
1739280177.051838,380399616,-30.86183738708496
1739280187.054754,380610560,-27.152996063232422
1739280197.0551832,380866560,-29.35720443725586
1739280207.0517712,381127680,-29.651565551757812
1739280217.052527,381342720,-28.530038833618164
1739280227.0533507,381599744,-29.005823135375977
1739280237.0535665,381856768,-28.27838134765625
1739280247.052885,382099456,-29.193702697753906
1739280257.0525594,382297088,-29.370075225830078
1739280267.0521514,382551040,-28.791454315185547
1739280277.051838,382809088,-27.75577735900879
1739280287.0528579,383029248,-29.574413299560547
1739280297.0522277,383295488,-28.569156646728516
1739280307.0528593,383555584,-27.8746337890625
1739280317.5416515,383784960,-29.848060607910156
1739280327.0548391,384031744,-27.95431900024414
1739280337.0545,384274432,-29.710073471069336
1739280347.0529878,384527360,-29.680692672729492
1739280357.052117,384742400,-28.43255043029785
1739280367.0532546,384990208,-31.791778564453125
1739280377.0527055,385226752,-29.819974899291992
1739280387.053374,385428480,-29.35418128967285
1739280397.05297,385688576,-30.86735725402832
1739280407.0537796,385945600,-29.284631729125977
1739280417.05321,386203648,-29.372995376586914
1739280427.053133,386420736,-29.590843200683594
1739280437.05117,386680832,-31.905000686645508
1739280447.0525017,386940928,-28.234638214111328
1739280457.053279,387156992,-28.127906799316406
1739280467.053288,387414016,-31.021137237548828
1739280477.052843,387663872,-30.01554298400879
1739280487.2663283,387870720,-30.53644561767578
1739280497.053794,388115456,-28.081146240234375
1739280507.052877,388363264,-29.95859146118164
1739280517.05451,388596736,-28.96497344970703
1739280527.0523396,388810752,-30.175687789916992
1739280537.0549061,389074944,-27.518226623535156
1739280547.0535161,389335040,-29.679887771606445
1739280557.0540743,389544960,-29.904008865356445
1739280567.0568132,389801984,-31.27164649963379
1739280577.0523155,390056960,-30.076923370361328
1739280587.054249,390309888,-28.53363609313965
1739280597.0534072,390529024,-29.79454803466797
1739280607.0522547,390789120,-28.947370529174805
1739280617.0524,391044096,-31.165576934814453
1739280627.0533812,391244800,-28.690654754638672
1739280637.054001,391491584,-29.419696807861328
1739280647.0514665,391744512,-29.67238998413086
1739280657.0703137,391956480,-29.995689392089844
1739280667.0524683,392210432,-30.025226593017578
1739280677.0537612,392466432,-29.63894271850586
1739280687.0532773,392718336,-29.620506286621094
1739280697.053174,392934400,-30.239667892456055
1739280707.0529146,393189376,-29.459793090820312
1739280717.0544143,393444352,-32.37226867675781
1739280727.0529468,393652224,-30.243417739868164
1739280737.0536053,393906176,-28.62718391418457
1739280747.0536478,394160128,-30.333913803100586
1739280757.0523689,394416128,-30.80079460144043
1739280767.052712,394627072,-27.987930297851562
1739280777.0531569,394895360,-29.58945083618164
1739280787.051991,395154432,-28.58992576599121
1739280797.0526574,395367424,-29.791051864624023
1739280807.05537,395632640,-29.0098876953125
1739280817.0533125,395894784,-31.317419052124023
1739280827.0538664,396107776,-30.972379684448242
1739280837.054257,396362752,-29.737211227416992
1739280847.0531335,396624896,-28.52889060974121
1739280857.0538678,396879872,-30.859790802001953
1739280867.0541422,397090816,-30.3629150390625
1739280877.0536807,397346816,-29.789562225341797
1739280887.0521336,397603840,-28.99169921875
1739280897.0525362,397810688,-30.48526382446289
1739280907.0530558,398065664,-29.922834396362305
1739280917.0530114,398327808,-31.142822265625
1739280927.0540776,398578688,-31.100696563720703
1739280937.0521755,398790656,-30.402647018432617
1739280947.0522285,399053824,-30.529001235961914
1739280957.0538378,399313920,-32.11921310424805
1739280967.0533094,399527936,-31.578388214111328
1739280977.0532677,399793152,-31.393779754638672
1739280987.0554917,400059392,-29.018875122070312
1739280997.0538719,400272384,-30.423383712768555
1739281007.0521493,400532480,-30.54622459411621
1739281017.055168,400797696,-30.01339340209961
1739281027.0536137,401054720,-31.537887573242188
1739281037.0540938,401256448,-30.373456954956055
1739281047.0514665,401526784,-30.62831687927246
1739281057.0538156,401787904,-30.960018157958984
1739281067.0536664,401994752,-32.06793975830078
1739281077.0535672,402259968,-30.202091217041016
1739281087.052694,402525184,-31.75383758544922
1739281097.0525112,402781184,-31.37725830078125
1739281107.05169,402990080,-30.06326675415039
1739281117.052196,403257344,-29.56035041809082
1739281127.052746,403518464,-29.525386810302734
1739281137.0537581,403723264,-30.193017959594727
1739281147.0530784,403988480,-29.953914642333984
1739281157.0522532,404253696,-30.254610061645508
1739281167.0628347,404460544,-30.982263565063477
1739281177.0512233,404724736,-32.5688591003418
1739281187.0523431,404984832,-29.030282974243164
1739281197.0546238,405243904,-31.683143615722656
1739281207.0517933,405457920,-31.870059967041016
1739281217.0548434,405716992,-28.585525512695312
1739281227.0526648,405976064,-29.249549865722656
1739281237.0531065,406191104,-29.93671226501465
1739281247.051987,406449152,-29.9237060546875
1739281257.0539613,406705152,-29.900972366333008
1739281267.0528908,406964224,-32.812103271484375
1739281277.0535421,407180288,-30.223846435546875
1739281287.052805,407439360,-30.081382751464844
1739281297.0542946,407695360,-28.996591567993164
1739281307.0548618,407915520,-30.864789962768555
1739281317.0559752,408173568,-31.823179244995117
1739281327.0525236,408432640,-30.174856185913086
1739281337.092452,408651776,-30.289554595947266
1739281347.051628,408909824,-30.07822036743164
1739281357.0537539,409168896,-31.74361801147461
1739281367.054587,409424896,-30.32902717590332
1739281377.0513692,409635840,-32.89309310913086
1739281387.05327,409892864,-30.37479019165039
1739281397.0532715,410149888,-29.544431686401367
1739281407.0532851,410358784,-31.434677124023438
1739281417.0547707,410616832,-30.10887908935547
1739281427.0527864,410872832,-32.292030334472656
1739281437.052826,411129856,-30.78853416442871
1739281447.0568395,411341824,-29.724842071533203
1739281457.053536,411599872,-32.42577362060547
1739281467.0533075,411858944,-32.138919830322266
1739281477.051953,412071936,-29.524410247802734
1739281487.0536191,412331008,-32.57033157348633
1739281497.0524554,412585984,-29.99022102355957
1739281507.0519857,412801024,-31.620410919189453
1739281517.0620022,413057024,-31.345882415771484
1739281527.0616443,413312000,-30.75547981262207
1739281537.0525036,413564928,-32.138763427734375
1739281547.053526,413780992,-30.784000396728516
1739281557.0542805,414041088,-31.6685848236084
1739281567.0528696,414300160,-32.093807220458984
1739281577.0539956,414512128,-30.730817794799805
1739281587.0534701,414770176,-29.598979949951172
1739281597.054136,415029248,-30.775590896606445
1739281607.053118,415287296,-30.148616790771484
1739281617.0525086,415500288,-31.944129943847656
1739281627.052913,415758336,-32.02913284301758
1739281637.0523508,416010240,-31.39327621459961
1739281647.0525844,416216064,-29.23511505126953
1739281657.0542011,416468992,-30.597076416015625
1739281667.0542974,416730112,-31.083492279052734
1739281677.0543196,416946176,-30.73055648803711
1739281687.0525672,417210368,-31.459758758544922
1739281697.0521839,417465344,-31.094337463378906
1739281707.054302,417720320,-32.06616973876953
1739281717.053444,417940480,-32.31532287597656
1739281727.0558813,418197504,-31.46623992919922
1739281737.053567,418452480,-32.0208740234375
1739281747.0521305,418670592,-32.41541290283203
1739281757.0530643,418931712,-31.88566017150879
1739281767.0537817,419187712,-31.691574096679688
1739281778.7630677,419447808,-29.70985221862793
1739281787.0544538,419659776,-32.55485534667969
1739281797.053685,419918848,-31.305755615234375
1739281807.0540786,420176896,-33.32768630981445
1739281817.0544684,420393984,-30.549942016601562
1739281827.0557241,420644864,-31.321090698242188
1739281837.052808,420903936,-30.40960121154785
1739281847.0542278,421121024,-30.87027359008789
1739281857.054759,421383168,-30.808265686035156
1739281867.0544753,421643264,-30.522037506103516
1739281877.0633247,421901312,-32.04949951171875
1739281887.0514784,422117376,-31.322816848754883
1739281897.0529392,422375424,-32.04428482055664
1739281907.0519621,422636544,-30.413490295410156
1739281917.0534601,422851584,-31.90610122680664
1739281927.052849,423109632,-31.860124588012695
1739281937.0519814,423370752,-32.79703140258789
1739281948.792356,423627776,-31.009944915771484
1739281957.0532074,423842816,-31.570606231689453
1739281967.052569,424103936,-31.661251068115234
1739281977.0534177,424366080,-30.8891544342041
