wall_time,step,value
1739278367.055073,336337920,-49.15409851074219
1739278377.0537844,336589824,-49.212276458740234
1739278387.0542235,336854016,-48.26551055908203
1739278397.0553794,337104896,-50.197322845458984
1739278407.0559366,337309696,-48.04804229736328
1739278417.0563335,337571840,-47.6987419128418
1739278427.0553324,337827840,-47.761661529541016
1739278437.0577447,338036736,-47.600189208984375
1739278447.0539489,338304000,-47.57645034790039
1739278457.0567002,338568192,-46.989376068115234
1739278467.2082722,338786304,-47.844207763671875
1739278477.058142,339026944,-46.45507049560547
1739278487.054862,339280896,-43.98870849609375
1739278497.056699,339534848,-43.531494140625
1739278507.0548737,339732480,-45.09096908569336
1739278517.0566106,339990528,-45.393341064453125
1739278527.057165,340244480,-44.663394927978516
1739278537.0589118,340444160,-42.98241424560547
1739278547.0555685,340700160,-45.5822868347168
1739278557.056763,340954112,-44.52613067626953
1739278567.0578017,341201920,-42.122135162353516
1739278577.0543616,341406720,-42.491111755371094
1739278587.0567508,341662720,-41.79426574707031
1739278597.0564215,341912576,-42.603675842285156
1739278607.06,342109184,-41.38645553588867
1739278617.0560083,342368256,-41.555049896240234
1739278627.0563855,342619136,-38.8511848449707
1739278637.1369221,342829056,-41.03810501098633
1739278647.0553493,343084032,-42.82725143432617
1739278657.058433,343347200,-39.96603775024414
1739278667.0577552,343602176,-41.00069808959961
1739278677.0565658,343808000,-40.308528900146484
1739278687.0558429,344075264,-41.11715316772461
1739278697.0576665,344335360,-39.89113235473633
1739278707.057124,344544256,-38.37986373901367
1739278717.0576007,344803328,-40.628787994384766
1739278727.0569863,345061376,-40.42552947998047
1739278737.0568566,345319424,-38.74030303955078
1739278747.0565348,345533440,-40.446144104003906
1739278757.056949,345791488,-36.68178939819336
1739278767.0595756,346050560,-36.719600677490234
1739278777.054234,346268672,-38.314823150634766
1739278787.0551178,346526720,-38.02669906616211
1739278797.0564446,346784768,-38.285335540771484
1739278807.1345088,346997760,-37.389930725097656
1739278817.0559402,347251712,-38.60104751586914
