wall_time,step,value
1739278367.0553126,336337920,-74.16930389404297
1739278377.053963,336589824,-75.34890747070312
1739278387.054749,336854016,-80.1086654663086
1739278397.055598,337104896,-79.17044067382812
1739278407.0559492,337309696,-79.0169448852539
1739278417.0563428,337571840,-77.32369232177734
1739278427.0553813,337827840,-71.53553009033203
1739278437.0577564,338036736,-73.41829681396484
1739278447.0542836,338304000,-79.95475006103516
1739278457.0567207,338568192,-74.79014587402344
1739278467.2082818,338786304,-76.24633026123047
1739278477.0584087,339026944,-74.40139770507812
1739278487.055495,339280896,-68.83139038085938
1739278497.0567086,339534848,-78.88137817382812
1739278507.0548959,339732480,-70.21112060546875
1739278517.0566306,339990528,-72.61553192138672
1739278527.0571845,340244480,-67.8969497680664
1739278537.0589337,340444160,-66.24618530273438
1739278547.0555797,340700160,-72.83087158203125
1739278557.0567768,340954112,-70.79888153076172
1739278567.057812,341201920,-73.64883422851562
1739278577.0546024,341406720,-67.77543640136719
1739278587.0570836,341662720,-65.26043701171875
1739278597.0567267,341912576,-69.056640625
1739278607.0600076,342109184,-64.34444427490234
1739278617.056028,342368256,-71.52134704589844
1739278627.0568233,342619136,-72.43573760986328
1739278637.136944,342829056,-67.6559829711914
1739278647.0553684,343084032,-71.70223236083984
1739278657.0584445,343347200,-69.64520263671875
1739278667.0579267,343602176,-69.78398132324219
1739278677.0565736,343808000,-71.47809600830078
1739278687.0558643,344075264,-70.4109878540039
1739278697.0576844,344335360,-65.29297637939453
1739278707.057145,344544256,-64.6046371459961
1739278717.0581787,344803328,-68.09199523925781
1739278727.056997,345061376,-68.17005920410156
1739278737.056865,345319424,-62.26372146606445
1739278747.0565429,345533440,-67.48859405517578
1739278757.0571215,345791488,-63.48588943481445
1739278767.0595837,346050560,-65.99359893798828
1739278777.0542467,346268672,-60.90909194946289
1739278787.055138,346526720,-57.62028884887695
1739278797.0567086,346784768,-67.83472442626953
1739278807.1350071,346997760,-62.45491409301758
1739278817.0559623,347251712,-65.80069732666016
1739278827.0554361,347510784,-61.17654037475586
1739278837.0559344,347771904,-64.24430847167969
1739278847.058344,347984896,-61.51951217651367
1739278857.0591304,348244992,-61.4453010559082
1739278867.0543633,348500992,-61.61610412597656
1739278877.056126,348717056,-66.48484802246094
1739278887.0564873,348974080,-60.89100646972656
1739278897.056877,349229056,-60.44924545288086
1739278907.0565615,349487104,-66.78736877441406
1739278917.0550723,349702144,-65.29010009765625
1739278927.0574734,349958144,-60.128726959228516
1739278937.0559812,350215168,-64.33157348632812
1739278947.058432,350431232,-68.80352020263672
1739278957.056075,350689280,-65.2432861328125
1739278967.058416,350942208,-63.78712463378906
1739278977.057229,351160320,-62.47114944458008
1739278987.0562751,351418368,-58.657257080078125
1739278997.0552888,351676416,-68.4781265258789
1739279007.0561562,351936512,-64.29119110107422
1739279017.0567455,352151552,-65.82928466796875
1739279027.0556548,352412672,-59.30537033081055
1739279037.0582285,352671744,-70.37751007080078
1739279047.056499,352889856,-61.52375411987305
1739279057.055786,353147904,-65.17488861083984
1739279067.055557,353409024,-63.252471923828125
1739279078.763819,353668096,-61.37807083129883
1739279087.0574105,353885184,-63.027408599853516
1739279097.0568867,354144256,-67.85942840576172
1739279107.0558746,354400256,-61.23035430908203
1739279117.056031,354613248,-60.81895446777344
1739279127.0555675,354874368,-55.268470764160156
1739279137.055632,355129344,-59.315731048583984
1739279147.0570247,355342336,-57.64874267578125
1739279157.0563784,355602432,-61.52244186401367
1739279167.0557568,355860480,-65.37869262695312
1739279177.0654757,356124672,-64.95792388916016
1739279187.054575,356345856,-59.126338958740234
1739279197.0558288,356608000,-63.574981689453125
1739279207.0559325,356870144,-64.524658203125
1739279217.055782,357086208,-58.19956970214844
1739279227.056122,357347328,-58.1691780090332
1739279237.0569074,357607424,-65.57318115234375
1739279247.0566964,357866496,-69.8949203491211
1739279257.0576477,358115328,-63.79508972167969
1739279267.0556877,358282240,-61.34529495239258
1739279277.056067,358529024,-72.40479278564453
1739279287.0587974,358789120,-56.520721435546875
1739279298.4739048,359034880,-67.37972259521484
1739279307.0566258,359262208,-75.87794494628906
1739279317.0564659,359522304,-69.90782928466797
1739279327.0565968,359782400,-61.75291442871094
1739279337.058603,359995392,-61.68009567260742
1739279347.057492,360246272,-60.550636291503906
1739279357.0550036,360483840,-58.282833099365234
1739279367.0573335,360698880,-61.67942428588867
1739279377.056898,360954880,-62.941314697265625
1739279387.057511,361221120,-64.15847778320312
1739279397.05618,361479168,-56.16304397583008
1739279407.0588422,361693184,-58.73155975341797
1739279417.055478,361948160,-60.89140701293945
1739279427.0587418,362199040,-67.3103256225586
1739279437.056525,362394624,-57.93385696411133
1739279447.055967,362629120,-57.945526123046875
1739279457.055722,362880000,-62.79523849487305
1739279468.1273534,363114496,-60.12205123901367
1739279477.055,363343872,-63.87276840209961
1739279487.0573506,363600896,-65.78882598876953
1739279497.057143,363853824,-65.98771667480469
1739279507.0584447,364065792,-61.4228401184082
1739279517.0555234,364315648,-65.82962036132812
1739279527.0561516,364571648,-56.23175811767578
1739279537.0560436,364779520,-67.14726257324219
1739279547.0560665,365034496,-63.09638977050781
1739279557.0562334,365292544,-58.296199798583984
1739279567.0577748,365553664,-59.35843276977539
1739279577.0577555,365766656,-62.54410934448242
1739279587.0562804,366025728,-57.073081970214844
1739279597.057017,366284800,-58.99373245239258
1739279607.056037,366495744,-71.6305160522461
1739279617.0572248,366748672,-63.04866027832031
1739279627.055853,367011840,-62.38981628417969
1739279637.8918078,367248384,-62.64323806762695
1739279647.0591242,367478784,-58.16929244995117
1739279657.0546844,367737856,-61.00363540649414
1739279667.0584383,367998976,-57.62331771850586
1739279677.0568633,368210944,-81.22518920898438
1739279687.0579257,368467968,-61.67166519165039
1739279697.0568137,368731136,-61.57566833496094
1739279707.055411,368944128,-60.723968505859375
1739279717.0559542,369200128,-64.5914306640625
1739279727.0564268,369460224,-62.88316345214844
1739279737.057255,369723392,-62.216060638427734
1739279747.0561447,369938432,-65.7240219116211
