wall_time,step,value
1739278367.0544975,336337920,0.09478510916233063
1739278377.0528421,336589824,6.06488868015731e-08
1739278387.0536022,336854016,6.634741822608703e-08
1739278397.05485,337104896,5.088746490855556e-08
1739278407.0551784,337309696,7.156748438319482e-08
1739278417.0556223,337571840,6.584450318314339e-08
1739278427.0542388,337827840,5.392357849132168e-08
1739278437.0567684,338036736,7.476657515326224e-08
1739278447.0534616,338304000,6.404705032991842e-08
1739278457.055208,338568192,6.51553264674476e-08
1739278467.2066948,338786304,5.8487056975309315e-08
1739278477.0574105,339026944,6.830319421169406e-08
1739278487.054643,339280896,6.256625084688494e-08
1739278497.0560777,339534848,5.6216958199684086e-08
1739278507.0538094,339732480,6.429851140410392e-08
1739278517.0557995,339990528,7.068738483440029e-08
1739278527.0569384,340244480,5.5618585292904754e-08
1739278537.0580432,340444160,6.743240987816534e-08
1739278547.054906,340700160,7.27735454120193e-08
1739278557.0558665,340954112,5.566515071109279e-08
1739278567.0563529,341201920,6.418675013719621e-08
1739278577.0539815,341406720,6.228918181250265e-08
1739278587.0555022,341662720,7.010996228018485e-08
1739278597.055216,341912576,7.33253529006106e-08
1739278607.0571756,342109184,6.10249131227647e-08
1739278617.0553324,342368256,6.523216455889269e-08
1739278627.0562468,342619136,8.381903171539307e-08
1739278637.1366582,342829056,5.953013726411882e-08
1739278647.05514,343084032,6.146728992462158e-08
1739278657.0570676,343347200,7.487833642016994e-08
1739278667.0567281,343602176,6.288289711164907e-08
1739278677.0554326,343808000,5.894573362752453e-08
1739278687.05516,344075264,6.411224262592441e-08
1739278697.0561094,344335360,6.102956717768393e-08
1739278707.056084,344544256,6.295740462292088e-08
1739278717.0561895,344803328,6.045680578381507e-08
1739278727.0551429,345061376,5.967915228666243e-08
1739278737.0558598,345319424,7.182359951229955e-08
1739278747.0556314,345533440,6.57420571315015e-08
1739278757.0558164,345791488,6.292015086728497e-08
1739278767.0579708,346050560,6.64405490624631e-08
1739278777.0527942,346268672,5.946494496811283e-08
1739278787.054891,346526720,5.695037685882198e-08
1739278797.0555737,346784768,7.290626058420457e-08
1739278807.1340017,346997760,5.8487056975309315e-08
1739278817.05475,347251712,5.859881468950334e-08
1739278827.0543892,347510784,6.591901069441519e-08
1739278837.054958,347771904,5.254521795450273e-08
1739278847.0573094,347984896,5.31971444672763e-08
1739278857.0581515,348244992,5.550682402599705e-08
1739278867.0539255,348500992,5.677342329590829e-08
1739278877.0546641,348717056,4.626810579111407e-08
1739278887.054884,348974080,5.971640604229833e-08
1739278897.0566385,349229056,6.698071786104265e-08
1739278907.0556056,349487104,5.975365979793423e-08
1739278917.0549638,349702144,7.572118221332858e-08
1739278927.0561721,349958144,6.611458758243316e-08
1739278937.0538635,350215168,9.458511840421124e-08
1739278947.0571008,350431232,6.180256661991734e-08
1739278957.0553224,350689280,7.851049588225578e-08
1739278967.056958,350942208,6.04987135943702e-08
1739278977.0562544,351160320,5.256384483232068e-08
1739278987.0554209,351418368,6.429851140410392e-08
1739278997.054163,351676416,6.865710133752145e-08
1739279007.0546136,351936512,5.98747291746804e-08
1739279017.05565,352151552,6.88433630102736e-08
1739279027.054472,352412672,6.64405490624631e-08
1739279037.056133,352671744,6.05359673500061e-08
1739279047.0546842,352889856,5.957670623502054e-08
1739279057.0548759,353147904,6.521120354818777e-08
1739279067.0552948,353409024,5.3125258858699453e-08
1739279078.7625048,353668096,6.565824151039124e-08
1739279087.056535,353885184,5.748123044213571e-08
1739279097.0560777,354144256,6.668269492138279e-08
1739279107.0549018,354400256,5.98747291746804e-08
1739279117.054533,354613248,6.825197829130047e-08
1739279127.0547013,354874368,5.770591116061041e-08
1739279137.0545948,355129344,6.303191213419268e-08
1739279147.0550666,355342336,6.228685123232935e-08
1739279157.0553482,355602432,5.874782971204695e-08
1739279167.055558,355860480,6.279442743561958e-08
1739279177.0644767,356124672,8.005648766129525e-08
1739279187.0538192,356345856,6.095505966641213e-08
1739279197.054801,356608000,6.567686483549551e-08
1739279207.055141,356870144,5.8971345140435005e-08
1739279217.0556645,357086208,6.470829561067148e-08
1739279227.0548296,357347328,6.176531286428144e-08
1739279237.0557857,357607424,6.19888282926695e-08
1739279247.0555303,357866496,5.433394179021889e-08
1739279257.055844,358115328,5.976296790777269e-08
1739279267.0547903,358282240,5.963258331576071e-08
1739279277.0544968,358529024,4.9863011497564e-08
1739279287.057944,358789120,4.895962746331861e-08
1739279298.472778,359034880,5.915761036590084e-08
1739279307.056181,359262208,5.920184875662926e-08
1739279317.0547614,359522304,7.769092746912065e-08
1739279327.055683,359782400,6.102025196241811e-08
1739279337.0570197,359995392,5.406327474588579e-08
1739279347.055975,360246272,6.446148859140521e-08
1739279357.0540988,360483840,6.50528804158057e-08
1739279367.056395,360698880,5.677342329590829e-08
1739279377.056117,360954880,5.78910110959896e-08
1739279387.0563138,361221120,6.319023526657475e-08
1739279397.054411,361479168,5.4817647310301254e-08
1739279407.0573063,361693184,6.59562644500511e-08
1739279417.0547667,361948160,7.063383122840605e-08
1739279427.0576503,362199040,6.722286371996233e-08
1739279437.0557103,362394624,6.243586625487296e-08
1739279447.0555725,362629120,7.007270852454894e-08
1739279457.054553,362880000,6.711110245305463e-08
1739279468.126891,363114496,6.139278241334978e-08
1739279477.0533412,363343872,6.253831230651485e-08
1739279487.056264,363600896,6.295740462292088e-08
1739279497.055754,363853824,6.483868020268346e-08
1739279507.0570133,364065792,7.191673034867563e-08
1739279517.0537162,364315648,6.476417269141166e-08
1739279527.054607,364571648,4.857778534983481e-08
1739279537.0548825,364779520,7.294118375966718e-08
1739279547.0559742,365034496,6.712973288358626e-08
1739279557.0554852,365292544,7.227994558434148e-08
1739279567.0566695,365553664,5.297362903888825e-08
1739279577.056861,365766656,6.267102747870013e-08
1739279587.055222,366025728,6.813090180912695e-08
1739279597.0556047,366284800,5.995854479579066e-08
1739279607.054174,366495744,6.400048846444406e-08
1739279617.0553558,366748672,5.9455633305560696e-08
1739279627.0552866,367011840,7.253139955309962e-08
1739279637.8908017,367248384,5.3832774682405216e-08
1739279647.0568957,367478784,5.0163361464683476e-08
1739279657.054584,367737856,5.8939331637475334e-08
1739279667.0561771,367998976,7.253139955309962e-08
1739279677.0554082,368210944,5.550682402599705e-08
1739279687.0573137,368467968,5.997717522632229e-08
1739279697.055661,368731136,6.318092005130893e-08
1739279707.0546944,368944128,4.959292709827423e-08
1739279717.0548375,369200128,6.012618314343854e-08
1739279727.0549629,369460224,6.817280961968208e-08
1739279737.0562363,369723392,6.122980522604848e-08
1739279747.05534,369938432,5.699694227701002e-08
1739279757.056424,370201600,7.333233753570312e-08
1739279767.0547729,370460672,6.319955048184056e-08
1739279777.0541184,370665472,5.302950611962842e-08
1739279787.0533392,370932736,7.287133740874197e-08
1739279797.056375,371194880,6.396323470880816e-08
1739279807.7314084,371421184,8.482486180128035e-08
1739279817.0569346,371649536,7.228926079960729e-08
1739279827.0555959,371898368,5.8002768810183625e-08
1739279837.0565739,372145152,6.461515766886805e-08
1739279847.0555043,372343808,6.989110090671602e-08
1739279857.0556347,372613120,5.2123795057923417e-08
1739279867.057154,372878336,6.280839670580463e-08
1739279877.0550475,373086208,6.247312001050886e-08
1739279887.0549433,373348352,5.621463117222447e-08
1739279897.0545514,373609472,6.04242060830984e-08
1739279907.0555108,373866496,6.422400389283212e-08
1739279917.0585518,374065152,8.571893062025993e-08
1739279927.0577137,374322176,5.9418379549924794e-08
1739279937.057815,374562816,6.285495857127898e-08
1739279947.057175,374771712,8.992850553113385e-08
1739279957.0527666,375038976,6.102025196241811e-08
1739279967.054849,375300096,7.651746614101285e-08
1739279977.8505697,375528448,5.93159334982829e-08
1739279987.0552974,375768064,6.822054388067045e-08
1739279997.0564117,376033280,7.022172354709255e-08
1739280007.05612,376288256,6.784219408473291e-08
1739280017.0551925,376492032,5.804002256581953e-08
1739280027.0551636,376753152,6.739050206761021e-08
1739280037.0547152,377009152,6.457790391323215e-08
1739280047.0549037,377214976,6.394461138370389e-08
1739280057.056673,377479168,5.089678012382137e-08
1739280067.0556912,377741312,7.253139955309962e-08
1739280077.0568666,377989120,5.774199962615967e-08
1739280087.0573559,378195968,8.061527978497907e-08
1739280097.0556083,378458112,5.584210072129281e-08
1739280107.0558589,378719232,5.651265411188433e-08
1739280117.0545084,378920960,8.963048259147399e-08
1739280127.0555422,379174912,6.029382149108642e-08
1739280137.0537534,379428864,7.542082869349542e-08
1739280147.8465323,379658240,7.167458448975594e-08
1739280157.0555444,379893760,5.654990786752023e-08
1739280167.0561144,380144640,5.684793080718009e-08
1739280177.0538647,380399616,5.5767596762734684e-08
1739280187.0563414,380610560,5.811453007709133e-08
1739280197.0567303,380866560,5.573034300709878e-08
1739280207.0537374,381127680,5.954876414193677e-08
1739280217.0545325,381342720,5.744397668649981e-08
1739280227.0560248,381599744,7.280148395238939e-08
1739280237.0570836,381856768,7.119029987734393e-08
1739280247.0561981,382099456,6.709247912795036e-08
1739280257.0553985,382297088,6.84335859091334e-08
1739280267.0545092,382551040,6.295740462292088e-08
1739280277.0531566,382809088,7.101334631443024e-08
1739280287.055223,383029248,8.203089407743391e-08
1739280297.055211,383295488,6.124377449623353e-08
1739280307.0554059,383555584,6.847083255934194e-08
1739280317.54329,383784960,6.731599455633841e-08
1739280327.0571241,384031744,6.12996515769737e-08
1739280337.0565317,384274432,5.0067900048134106e-08
1739280347.0559685,384527360,6.977468558488908e-08
1739280357.054636,384742400,6.200745872320113e-08
1739280367.0561624,384990208,6.670132535191442e-08
1739280377.055347,385226752,6.640330241225456e-08
1739280387.055626,385428480,5.79282648516255e-08
1739280397.0558562,385688576,6.110407468895573e-08
1739280407.0564241,385945600,6.476417269141166e-08
1739280417.0547194,386203648,5.8002768810183625e-08
1739280427.0549803,386420736,5.641020806024244e-08
1739280437.05358,386680832,6.205402058867548e-08
1739280447.054149,386940928,5.431473226735761e-08
1739280457.0550117,387156992,6.716698663922216e-08
1739280467.0556912,387414016,6.549991837800917e-08
1739280477.0554955,387663872,5.637295430460654e-08
1739280487.2691948,387870720,6.090849780093777e-08
1739280497.056123,388115456,6.51553264674476e-08
1739280507.0558474,388363264,7.019378500672246e-08
