wall_time,step,value
1739278367.0546975,336337920,5.0
1739278377.053296,336589824,10.0
1739278387.0541973,336854016,10.0
1739278397.0549033,337104896,10.0
1739278407.0552773,337309696,10.0
1739278417.055817,337571840,10.0
1739278427.0547993,337827840,10.0
1739278437.057698,338036736,10.0
1739278447.0537093,338304000,10.0
1739278457.0557632,338568192,10.0
1739278467.2076774,338786304,10.0
1739278477.0579224,339026944,10.0
1739278487.054793,339280896,10.0
1739278497.0563173,339534848,10.0
1739278507.053973,339732480,10.0
1739278517.0565383,339990528,10.0
1739278527.0570939,340244480,10.0
1739278537.0588322,340444160,10.0
1739278547.055536,340700160,10.0
1739278557.0559175,340954112,10.0
1739278567.057331,341201920,10.0
1739278577.0540314,341406720,10.0
1739278587.0562196,341662720,10.0
1739278597.0563755,341912576,10.0
1739278607.0599737,342109184,10.0
1739278617.0559382,342368256,10.0
1739278627.0563421,342619136,10.0
1739278637.1368427,342829056,10.0
1739278647.0552824,343084032,10.0
1739278657.0579634,343347200,10.0
1739278667.0573084,343602176,10.0
1739278677.0565286,343808000,10.0
1739278687.0553095,344075264,10.0
1739278697.0568607,344335360,10.0
1739278707.0570443,344544256,10.0
1739278717.0570047,344803328,10.0
1739278727.0560794,345061376,10.0
1739278737.056819,345319424,10.0
1739278747.0565064,345533440,10.0
1739278757.056594,345791488,10.0
1739278767.059538,346050560,10.0
1739278777.0537524,346268672,10.0
1739278787.0550456,346526720,10.0
1739278797.056184,346784768,10.0
1739278807.1342692,346997760,10.0
1739278817.055853,347251712,10.0
1739278827.055373,347510784,10.0
1739278837.0551114,347771904,10.0
1739278847.058298,347984896,10.0
1739278857.05862,348244992,10.0
1739278867.0540726,348500992,10.0
1739278877.055455,348717056,10.0
1739278887.05584,348974080,10.0
1739278897.0567884,349229056,10.0
1739278907.0560887,349487104,10.0
1739278917.0550315,349702144,10.0
1739278927.0567744,349958144,10.0
1739278937.0550547,350215168,10.0
1739278947.0575652,350431232,10.0
1739278957.0559754,350689280,10.0
1739278967.0579782,350942208,10.0
1739278977.057134,351160320,10.0
1739278987.056182,351418368,10.0
1739278997.054766,351676416,10.0
1739279007.0551798,351936512,10.0
1739279017.0566933,352151552,10.0
1739279027.055561,352412672,10.0
1739279037.0579855,352671744,10.0
1739279047.0555663,352889856,10.0
1739279057.055715,353147904,10.0
1739279067.0554898,353409024,10.0
1739279078.763193,353668096,10.0
1739279087.0573087,353885184,10.0
1739279097.0567908,354144256,10.0
1739279107.0553057,354400256,10.0
1739279117.0559173,354613248,10.0
1739279127.055192,354874368,10.0
1739279137.0547433,355129344,10.0
1739279147.0565407,355342336,10.0
1739279157.0563216,355602432,10.0
1739279167.055697,355860480,10.0
1739279177.0654128,356124672,10.0
1739279187.054537,356345856,10.0
1739279197.0553544,356608000,10.0
1739279207.0552397,356870144,10.0
1739279217.0557492,357086208,10.0
1739279227.055627,357347328,10.0
1739279237.0568185,357607424,10.0
1739279247.0566573,357866496,10.0
1739279257.056789,358115328,10.0
1739279267.0555935,358282240,10.0
1739279277.055345,358529024,10.0
1739279287.058013,358789120,10.0
1739279298.4729283,359034880,10.0
1739279307.0562823,359262208,10.0
1739279317.0557113,359522304,10.0
1739279327.0565243,359782400,10.0
1739279337.0573616,359995392,10.0
1739279347.0569415,360246272,10.0
1739279357.0547051,360483840,10.0
1739279367.0568361,360698880,10.0
1739279377.0568578,360954880,10.0
1739279387.0574152,361221120,10.0
1739279397.055162,361479168,10.0
1739279407.0587409,361693184,10.0
1739279417.0554311,361948160,10.0
1739279427.0578809,362199040,10.0
1739279437.0564241,362394624,10.0
1739279447.0559213,362629120,10.0
1739279457.0555348,362880000,10.0
1739279468.1269457,363114496,10.0
1739279477.0542057,363343872,10.0
1739279487.057252,363600896,10.0
1739279497.0568118,363853824,10.0
1739279507.0578778,364065792,10.0
1739279517.0547392,364315648,10.0
1739279527.0557265,364571648,10.0
1739279537.0560071,364779520,10.0
1739279547.056034,365034496,10.0
1739279557.0556552,365292544,10.0
1739279567.0572727,365553664,10.0
1739279577.0577111,365766656,10.0
1739279587.0555968,366025728,10.0
1739279597.0565672,366284800,10.0
1739279607.0551274,366495744,10.0
1739279617.0560389,366748672,10.0
1739279627.0558064,367011840,10.0
1739279637.891726,367248384,10.0
1739279647.0579176,367478784,10.0
1739279657.054653,367737856,10.0
1739279667.0562274,367998976,10.0
1739279677.0561285,368210944,10.0
1739279687.0578864,368467968,10.0
1739279697.0560863,368731136,10.0
1739279707.0553641,368944128,10.0
1739279717.0557878,369200128,10.0
1739279727.055461,369460224,10.0
1739279737.0568402,369723392,10.0
1739279747.055723,369938432,10.0
1739279757.0568154,370201600,10.0
1739279767.0553448,370460672,10.0
1739279777.0545883,370665472,10.0
1739279787.0543404,370932736,10.0
1739279797.0569487,371194880,10.0
1739279807.7321339,371421184,10.0
1739279817.0575342,371649536,10.0
1739279827.0567517,371898368,10.0
1739279837.056867,372145152,10.0
1739279847.0560272,372343808,10.0
1739279857.0561895,372613120,10.0
1739279867.0584435,372878336,10.0
1739279877.0567398,373086208,10.0
1739279887.0550492,373348352,10.0
1739279897.0551703,373609472,10.0
1739279907.0561247,373866496,10.0
1739279917.0586495,374065152,10.0
1739279927.0587704,374322176,10.0
1739279937.0585644,374562816,10.0
1739279947.0578222,374771712,10.0
1739279957.0537999,375038976,10.0
1739279967.0549505,375300096,10.0
1739279977.8522463,375528448,10.0
1739279987.056055,375768064,10.0
1739279997.0574796,376033280,10.0
1739280007.0561814,376288256,10.0
1739280017.055987,376492032,10.0
1739280027.0558157,376753152,10.0
1739280037.0556092,377009152,10.0
1739280047.0558183,377214976,10.0
1739280057.0568242,377479168,10.0
1739280067.056492,377741312,10.0
1739280077.0574198,377989120,10.0
1739280087.057634,378195968,10.0
1739280097.055698,378458112,10.0
1739280107.056256,378719232,10.0
1739280117.0555027,378920960,10.0
1739280127.0557547,379174912,10.0
1739280137.0543625,379428864,10.0
1739280147.8471065,379658240,10.0
1739280157.0556457,379893760,10.0
1739280167.0563354,380144640,10.0
1739280177.0543454,380399616,10.0
1739280187.057454,380610560,10.0
1739280197.0577471,380866560,10.0
1739280207.0553591,381127680,10.0
1739280217.0551295,381342720,10.0
1739280227.056798,381599744,10.0
1739280237.057604,381856768,10.0
1739280247.0562675,382099456,10.0
1739280257.0564275,382297088,10.0
1739280267.0555887,382551040,10.0
1739280277.0540767,382809088,10.0
1739280287.0557415,383029248,10.0
1739280297.0553586,383295488,10.0
1739280307.0555656,383555584,10.0
1739280317.5442948,383784960,10.0
1739280327.0578537,384031744,10.0
1739280337.057337,384274432,10.0
1739280347.056532,384527360,10.0
1739280357.056136,384742400,10.0
1739280367.0569675,384990208,10.0
1739280377.0559096,385226752,10.0
1739280387.0567434,385428480,10.0
1739280397.0559099,385688576,10.0
1739280407.0580544,385945600,10.0
1739280417.0558863,386203648,10.0
1739280427.0559216,386420736,10.0
1739280437.0544362,386680832,10.0
1739280447.0550566,386940928,10.0
1739280457.0554926,387156992,10.0
1739280467.0566554,387414016,10.0
1739280477.0560308,387663872,10.0
1739280487.269838,387870720,10.0
1739280497.0567882,388115456,10.0
1739280507.0559037,388363264,10.0
1739280517.0602834,388596736,10.0
1739280527.0555725,388810752,10.0
1739280537.057185,389074944,10.0
1739280547.0559871,389335040,10.0
1739280557.0567381,389544960,10.0
1739280567.059779,389801984,10.0
1739280577.0565717,390056960,10.0
1739280587.056787,390309888,10.0
1739280597.0559576,390529024,10.0
1739280607.053938,390789120,10.0
1739280617.0553222,391044096,10.0
1739280627.0549927,391244800,10.0
1739280637.0561676,391491584,10.0
1739280647.0549939,391744512,10.0
1739280657.0724387,391956480,10.0
1739280667.055352,392210432,10.0
1739280677.056201,392466432,10.0
1739280687.0552788,392718336,10.0
1739280697.0554075,392934400,10.0
1739280707.0562797,393189376,10.0
1739280717.0570195,393444352,10.0
1739280727.0566597,393652224,10.0
1739280737.058217,393906176,10.0
1739280747.0573173,394160128,10.0
1739280757.0550458,394416128,10.0
1739280767.0549781,394627072,10.0
1739280777.0552893,394895360,10.0
1739280787.0556526,395154432,10.0
1739280797.0559754,395367424,10.0
1739280807.0589118,395632640,10.0
1739280817.0565894,395894784,10.0
1739280827.056831,396107776,10.0
1739280837.0577178,396362752,10.0
1739280847.0556924,396624896,10.0
1739280857.055915,396879872,10.0
1739280867.0580018,397090816,10.0
1739280877.0563426,397346816,10.0
1739280887.056029,397603840,10.0
1739280897.0562623,397810688,10.0
1739280907.0567346,398065664,10.0
1739280917.0549057,398327808,10.0
1739280927.0572994,398578688,10.0
1739280937.055708,398790656,10.0
1739280947.0550473,399053824,10.0
1739280957.055449,399313920,10.0
1739280967.056329,399527936,10.0
1739280977.0561948,399793152,10.0
1739280987.0581,400059392,10.0
1739280997.0567384,400272384,10.0
1739281007.0550113,400532480,10.0
1739281017.0604713,400797696,10.0
1739281027.0566866,401054720,10.0
1739281037.0570128,401256448,10.0
1739281047.0552845,401526784,10.0
1739281057.0566497,401787904,10.0
1739281067.0559847,401994752,10.0
1739281077.0561523,402259968,10.0
1739281087.0556035,402525184,10.0
1739281097.0552328,402781184,10.0
1739281107.053754,402990080,10.0
1739281117.0565853,403257344,10.0
1739281127.0559986,403518464,10.0
1739281137.0559611,403723264,10.0
1739281147.0569735,403988480,10.0
1739281157.0550895,404253696,10.0
1739281167.065452,404460544,10.0
1739281177.053728,404724736,10.0
1739281187.0542958,404984832,10.0
1739281197.0579174,405243904,10.0
1739281207.0587673,405457920,10.0
1739281217.0572362,405716992,10.0
1739281227.0556118,405976064,10.0
1739281237.0579371,406191104,10.0
1739281247.054441,406449152,10.0
1739281257.056589,406705152,10.0
1739281267.0555515,406964224,10.0
1739281277.0576484,407180288,10.0
1739281287.055219,407439360,10.0
1739281297.056138,407695360,10.0
1739281307.0573273,407915520,10.0
1739281317.0577724,408173568,10.0
1739281327.0564175,408432640,10.0
1739281337.0945022,408651776,10.0
1739281347.0556247,408909824,10.0
1739281357.0566847,409168896,10.0
1739281367.058731,409424896,10.0
1739281377.0549386,409635840,10.0
1739281387.055662,409892864,10.0
1739281397.0559208,410149888,10.0
1739281407.0573096,410358784,10.0
1739281417.0577643,410616832,10.0
1739281427.0559158,410872832,10.0
1739281437.058374,411129856,10.0
1739281447.059005,411341824,10.0
1739281457.0574677,411599872,10.0
1739281467.056473,411858944,10.0
1739281477.0542731,412071936,10.0
1739281487.056757,412331008,10.0
1739281497.0553973,412585984,10.0
1739281507.0546956,412801024,10.0
1739281517.064978,413057024,10.0
1739281527.0642383,413312000,10.0
1739281537.0544548,413564928,10.0
1739281547.055465,413780992,10.0
1739281557.0564313,414041088,10.0
1739281567.0554724,414300160,10.0
1739281577.0573134,414512128,10.0
1739281587.0569115,414770176,10.0
1739281597.0570712,415029248,10.0
1739281607.0554278,415287296,10.0
1739281617.0552008,415500288,10.0
1739281627.0554712,415758336,10.0
1739281637.054987,416010240,10.0
1739281647.0558825,416216064,10.0
1739281657.0573232,416468992,10.0
1739281667.0580974,416730112,10.0
1739281677.059718,416946176,10.0
1739281687.0571637,417210368,10.0
1739281697.0544598,417465344,10.0
1739281707.057288,417720320,10.0
1739281717.055858,417940480,10.0
1739281727.0588264,418197504,10.0
1739281737.0555372,418452480,10.0
1739281747.0546355,418670592,10.0
1739281757.055612,418931712,10.0
1739281767.0568738,419187712,10.0
1739281778.7660623,419447808,10.0
1739281787.0563264,419659776,10.0
1739281797.0563645,419918848,10.0
1739281807.0577545,420176896,10.0
1739281817.0578628,420393984,10.0
1739281827.0588844,420644864,10.0
1739281837.0561686,420903936,10.0
1739281847.0577383,421121024,10.0
1739281857.0579135,421383168,10.0
1739281867.05782,421643264,10.0
1739281877.0660977,421901312,10.0
1739281887.0558622,422117376,10.0
1739281897.0553136,422375424,10.0
1739281907.054297,422636544,10.0
1739281917.0562055,422851584,10.0
1739281927.0550854,423109632,10.0
1739281937.0556662,423370752,10.0
1739281948.7951102,423627776,10.0
1739281957.0561776,423842816,10.0
1739281967.0549746,424103936,10.0
1739281977.056688,424366080,10.0
1739281987.056434,424578048,10.0
1739281997.056183,424839168,10.0
1739282007.0556307,425099264,10.0
1739282017.0544612,425308160,10.0
1739282027.0562613,425562112,10.0
1739282037.0562472,425827328,10.0
1739282047.055898,426087424,10.0
1739282057.0562959,426298368,10.0
1739282067.0548327,426559488,10.0
1739282077.0571187,426823680,10.0
1739282087.0563748,427035648,10.0
1739282097.0551093,427295744,10.0
1739282107.054072,427556864,10.0
1739282117.0568044,427814912,10.0
1739282127.0547302,428014592,10.0
1739282137.0574932,428277760,10.0
1739282147.0553062,428540928,10.0
1739282157.0565639,428737536,10.0
1739282167.0582044,428983296,10.0
1739282177.0560527,429250560,10.0
1739282187.0585334,429427712,10.0
1739282197.058252,429681664,10.0
1739282207.0549989,429950976,10.0
1739282217.0564156,430218240,10.0
1739282227.0557024,430424064,10.0
1739282237.0542748,430698496,10.0
1739282247.055417,430957568,10.0
1739282257.056133,431166464,10.0
1739282267.0550413,431429632,10.0
1739282277.0586696,431695872,10.0
1739282287.0561101,431956992,10.0
1739282297.0550003,432166912,10.0
1739282307.0556524,432435200,10.0
1739282317.0573943,432688128,10.0
1739282327.0567806,432893952,10.0
1739282337.0541024,433159168,10.0
1739282347.0579567,433426432,10.0
1739282357.5313458,433645568,10.0
1739282367.0541017,433881088,10.0
1739282377.0560842,434137088,10.0
