wall_time,step,value
1739278367.047401,336337920,-49.15409851074219
1739278377.0475092,336589824,-49.212276458740234
1739278387.0471663,336854016,-48.26551055908203
1739278397.0474534,337104896,-50.197322845458984
1739278407.0471356,337309696,-48.04804229736328
1739278417.0471835,337571840,-47.6987419128418
1739278427.0470743,337827840,-47.761661529541016
1739278437.0471468,338036736,-47.600189208984375
1739278447.0471103,338304000,-47.57645034790039
1739278457.0472457,338568192,-46.989376068115234
1739278467.197897,338786304,-47.844207763671875
1739278477.0472834,339026944,-46.45507049560547
1739278487.0472136,339280896,-43.98870849609375
1739278497.0476797,339534848,-43.531494140625
1739278507.0479226,339732480,-45.09096908569336
1739278517.0488372,339990528,-45.393341064453125
1739278527.048088,340244480,-44.663394927978516
1739278537.0483277,340444160,-42.98241424560547
1739278547.0482876,340700160,-45.5822868347168
1739278557.0480342,340954112,-44.52613067626953
1739278567.0479364,341201920,-42.122135162353516
1739278577.047761,341406720,-42.491111755371094
1739278587.0480785,341662720,-41.79426574707031
1739278597.0478039,341912576,-42.603675842285156
1739278607.048575,342109184,-41.38645553588867
1739278617.0480704,342368256,-41.555049896240234
1739278627.0482342,342619136,-38.8511848449707
1739278637.1293974,342829056,-41.03810501098633
1739278647.048136,343084032,-42.82725143432617
1739278657.0481298,343347200,-39.96603775024414
1739278667.0476487,343602176,-41.00069808959961
1739278677.0477884,343808000,-40.308528900146484
1739278687.0476313,344075264,-41.11715316772461
1739278697.0479093,344335360,-39.89113235473633
1739278707.048679,344544256,-38.37986373901367
1739278717.0475538,344803328,-40.628787994384766
1739278727.0495799,345061376,-40.42552947998047
1739278737.0479646,345319424,-38.74030303955078
1739278747.0478508,345533440,-40.446144104003906
1739278757.0480242,345791488,-36.68178939819336
1739278767.0483325,346050560,-36.719600677490234
1739278777.0478125,346268672,-38.314823150634766
1739278787.0477645,346526720,-38.02669906616211
1739278797.048011,346784768,-38.285335540771484
1739278807.1240315,346997760,-37.389930725097656
1739278817.0477493,347251712,-38.60104751586914
1739278827.047568,347510784,-36.57619857788086
1739278837.047822,347771904,-36.57609939575195
1739278847.0488183,347984896,-36.029354095458984
1739278857.0480452,348244992,-35.98451232910156
1739278867.048071,348500992,-37.96493911743164
1739278877.0477357,348717056,-37.37598419189453
1739278887.0478923,348974080,-35.35821533203125
1739278897.047659,349229056,-35.824119567871094
1739278907.0479715,349487104,-37.4627799987793
1739278917.0478873,349702144,-35.71018981933594
1739278927.0481162,349958144,-35.43644714355469
1739278937.0480402,350215168,-35.334712982177734
1739278947.0477314,350431232,-36.35321807861328
1739278957.0479069,350689280,-37.29253005981445
1739278967.0480952,350942208,-34.95117950439453
1739278977.048602,351160320,-35.09292221069336
1739278987.047973,351418368,-34.471622467041016
1739278997.047539,351676416,-35.1407585144043
1739279007.0477202,351936512,-35.31822204589844
1739279017.0484812,352151552,-34.60468673706055
1739279027.0477445,352412672,-35.23656463623047
1739279037.047907,352671744,-36.665287017822266
1739279047.0478277,352889856,-35.896095275878906
1739279057.0476053,353147904,-34.98451232910156
1739279067.0479705,353409024,-33.566322326660156
1739279078.7536385,353668096,-33.92675018310547
1739279087.047728,353885184,-35.097076416015625
1739279097.0480578,354144256,-35.21977996826172
1739279107.0482073,354400256,-34.38726043701172
1739279117.0482953,354613248,-33.42794418334961
1739279127.0482688,354874368,-33.1392707824707
1739279137.0477552,355129344,-35.360267639160156
1739279147.0481615,355342336,-33.94449996948242
1739279157.0482612,355602432,-34.89963912963867
1739279167.0483587,355860480,-36.24029541015625
1739279177.0566685,356124672,-34.862274169921875
1739279187.0478015,356345856,-34.848873138427734
1739279197.047866,356608000,-35.65308380126953
1739279207.047763,356870144,-35.85187911987305
1739279217.0482154,357086208,-33.1099739074707
1739279227.048048,357347328,-32.418460845947266
1739279237.04752,357607424,-36.6597900390625
1739279247.0478895,357866496,-35.272438049316406
1739279257.0484421,358115328,-35.481266021728516
1739279267.0484762,358282240,-34.194488525390625
1739279277.0479262,358529024,-34.25002670288086
1739279287.0478497,358789120,-33.5044059753418
1739279298.464727,359034880,-35.9557991027832
1739279307.0482638,359262208,-34.7098388671875
1739279317.0478904,359522304,-36.10631561279297
1739279327.0475187,359782400,-35.30319595336914
1739279337.0481784,359995392,-34.972312927246094
1739279347.0481353,360246272,-34.47393798828125
1739279357.0481977,360483840,-33.84465408325195
1739279367.0479772,360698880,-34.3320198059082
1739279377.0484376,360954880,-35.648895263671875
1739279387.0477304,361221120,-35.5386848449707
1739279397.0478282,361479168,-35.337730407714844
1739279407.047696,361693184,-34.97003173828125
1739279417.048186,361948160,-35.901832580566406
1739279427.047765,362199040,-35.74580764770508
1739279437.0477517,362394624,-33.320247650146484
1739279447.0479224,362629120,-34.29747772216797
1739279457.0483367,362880000,-35.53288650512695
1739279468.119979,363114496,-33.35244369506836
1739279477.0481076,363343872,-35.258140563964844
1739279487.0480068,363600896,-35.32670974731445
1739279497.0479157,363853824,-34.101593017578125
1739279507.0482216,364065792,-37.248321533203125
1739279517.0477273,364315648,-33.6364860534668
1739279527.047832,364571648,-35.58312225341797
1739279537.0479825,364779520,-36.17898178100586
1739279547.0478272,365034496,-35.47243118286133
1739279557.0477264,365292544,-33.6362190246582
1739279567.0481641,365553664,-33.677486419677734
1739279577.047871,365766656,-34.786624908447266
1739279587.0480232,366025728,-35.86844253540039
1739279597.0476487,366284800,-35.395389556884766
1739279607.0478272,366495744,-36.039974212646484
1739279617.047874,366748672,-33.465030670166016
1739279627.047767,367011840,-34.031036376953125
1739279637.8844585,367248384,-33.82754135131836
1739279647.0477424,367478784,-35.605228424072266
1739279657.047818,367737856,-35.531150817871094
1739279667.0482306,367998976,-35.8405876159668
1739279677.0480902,368210944,-35.22224044799805
1739279687.0477488,368467968,-34.3532600402832
1739279697.0478728,368731136,-34.73044967651367
1739279707.047867,368944128,-36.11132049560547
1739279717.0481217,369200128,-34.167518615722656
1739279727.0476093,369460224,-33.98269271850586
1739279737.048016,369723392,-33.63299560546875
1739279747.047686,369938432,-32.710514068603516
1739279757.048153,370201600,-35.040565490722656
1739279767.0484438,370460672,-34.80531311035156
1739279777.04765,370665472,-35.35490417480469
1739279787.0479262,370932736,-33.47936248779297
1739279797.0479074,371194880,-34.989376068115234
1739279807.722306,371421184,-33.96928024291992
1739279817.049028,371649536,-36.91569519042969
1739279827.048101,371898368,-34.202030181884766
1739279837.0482757,372145152,-33.907894134521484
1739279847.0480227,372343808,-35.522274017333984
1739279857.047756,372613120,-33.59251022338867
1739279867.0482547,372878336,-34.31669998168945
1739279877.0479379,373086208,-34.61091613769531
1739279887.0479836,373348352,-34.97673797607422
1739279897.0477889,373609472,-35.790992736816406
1739279907.0480027,373866496,-36.79838180541992
1739279917.0479562,374065152,-34.526485443115234
1739279927.048,374322176,-36.19004440307617
1739279937.0478995,374562816,-33.58601379394531
1739279947.0478761,374771712,-35.04881286621094
1739279957.0476637,375038976,-36.40514373779297
1739279967.0476825,375300096,-35.18800735473633
1739279977.8420374,375528448,-34.5938835144043
1739279987.0476527,375768064,-34.432151794433594
1739279997.0481098,376033280,-37.09920883178711
1739280007.0479922,376288256,-35.8106689453125
1739280017.0476198,376492032,-34.40147018432617
1739280027.0476973,376753152,-34.66968536376953
1739280037.047696,377009152,-34.909271240234375
1739280047.0478752,377214976,-36.09379577636719
1739280057.0475857,377479168,-36.2190055847168
1739280067.0478532,377741312,-36.22212219238281
1739280077.048653,377989120,-33.12030792236328
1739280087.0475926,378195968,-34.94858169555664
1739280097.0482895,378458112,-37.614009857177734
1739280107.047519,378719232,-35.817073822021484
1739280117.0480921,378920960,-34.80963134765625
1739280127.0477352,379174912,-36.36307907104492
1739280137.0478508,379428864,-35.642581939697266
1739280147.8395748,379658240,-35.52288055419922
1739280157.0477374,379893760,-36.217079162597656
1739280167.0475438,380144640,-32.934600830078125
1739280177.048022,380399616,-37.211551666259766
1739280187.04765,380610560,-33.55097579956055
1739280197.0479984,380866560,-35.669586181640625
1739280207.0475097,381127680,-36.035526275634766
1739280217.0477521,381342720,-34.75806427001953
1739280227.0483894,381599744,-35.3004035949707
1739280237.0478153,381856768,-34.49032211303711
1739280247.047914,382099456,-35.586875915527344
1739280257.0481293,382297088,-35.703914642333984
1739280267.0477903,382551040,-35.03516387939453
1739280277.0480356,382809088,-33.960479736328125
1739280287.0483935,383029248,-35.84589385986328
1739280297.0481527,383295488,-34.86848831176758
1739280307.0481987,383555584,-34.212928771972656
1739280317.536852,383784960,-36.24639892578125
1739280327.0485125,384031744,-34.1596794128418
1739280337.0479841,384274432,-35.911678314208984
1739280347.0479088,384527360,-35.92574691772461
1739280357.0478969,384742400,-34.75912857055664
1739280367.0478225,384990208,-38.08720779418945
1739280377.0478902,385226752,-36.02449417114258
1739280387.0482197,385428480,-35.70420455932617
1739280397.0475543,385688576,-37.146358489990234
1739280407.048362,385945600,-35.664241790771484
1739280417.047573,386203648,-35.5126953125
1739280427.0479412,386420736,-35.74018096923828
1739280437.0479758,386680832,-38.093196868896484
1739280447.0480855,386940928,-34.36701202392578
1739280457.0484211,387156992,-34.23454666137695
1739280467.0481033,387414016,-37.480960845947266
1739280477.048242,387663872,-36.26530075073242
1739280487.2608492,387870720,-36.8932991027832
1739280497.0480337,388115456,-34.427181243896484
1739280507.047483,388363264,-36.0751953125
1739280517.0482714,388596736,-35.20246505737305
1739280527.0477555,388810752,-36.30844497680664
1739280537.0498784,389074944,-33.68762969970703
1739280547.0478969,389335040,-35.963924407958984
1739280557.0477629,389544960,-36.037452697753906
1739280567.0478063,389801984,-37.65529251098633
1739280577.0479681,390056960,-36.33452606201172
1739280587.0481641,390309888,-34.70821762084961
1739280597.0476413,390529024,-36.08061981201172
1739280607.0478895,390789120,-35.152442932128906
1739280617.0479069,391044096,-37.428382873535156
1739280627.0476413,391244800,-34.78015899658203
1739280637.048034,391491584,-35.454891204833984
1739280647.0475938,391744512,-35.94205093383789
1739280657.0652785,391956480,-36.339447021484375
1739280667.048231,392210432,-36.14396286010742
1739280677.047982,392466432,-35.786251068115234
1739280687.0480044,392718336,-35.9194450378418
1739280697.0475118,392934400,-36.36481475830078
1739280707.0477688,393189376,-35.47388458251953
1739280717.0480866,393444352,-38.67181396484375
1739280727.0483115,393652224,-36.33188247680664
1739280737.0484657,393906176,-34.70022201538086
1739280747.0480769,394160128,-36.64408874511719
1739280757.0477977,394416128,-37.06070327758789
1739280767.0481434,394627072,-34.20356369018555
1739280777.0484333,394895360,-35.75162124633789
1739280787.0479345,395154432,-34.68572998046875
1739280797.047952,395367424,-36.003597259521484
1739280807.0476527,395632640,-34.9744873046875
1739280817.048414,395894784,-37.54548645019531
1739280827.0483215,396107776,-37.195858001708984
1739280837.04838,396362752,-35.807430267333984
1739280847.047921,396624896,-34.58414077758789
1739280857.0484478,396879872,-36.97708511352539
1739280867.04931,397090816,-36.63582229614258
1739280877.0479152,397346816,-36.045265197753906
1739280887.0483959,397603840,-35.21458435058594
1739280897.0483482,397810688,-36.68437957763672
1739280907.0478833,398065664,-36.03673553466797
1739280917.047629,398327808,-37.28208923339844
1739280927.0481155,398578688,-37.212162017822266
1739280937.0477848,398790656,-36.713897705078125
1739280947.0479178,399053824,-36.64928436279297
1739280957.0478268,399313920,-38.463714599609375
1739280967.048183,399527936,-37.58864212036133
1739280977.0479274,399793152,-37.75750732421875
1739280987.0475733,400059392,-35.26541519165039
1739280997.0476115,400272384,-36.44318389892578
1739281007.047652,400532480,-36.91372299194336
1739281017.0477626,400797696,-36.23018264770508
1739281027.0481806,401054720,-37.65977096557617
1739281037.047912,401256448,-36.570430755615234
1739281047.0476346,401526784,-36.69889450073242
1739281057.047628,401787904,-37.1395149230957
