wall_time,step,value
1739278367.0482957,336337920,-28.591472625732422
1739278377.04825,336589824,-38.57413864135742
1739278387.0480955,336854016,-37.7056999206543
1739278397.0481796,337104896,-37.84074783325195
1739278407.0475934,337309696,-35.27280807495117
1739278417.0478919,337571840,-35.30555725097656
1739278427.0479722,337827840,-34.57498550415039
1739278437.0478473,338036736,-35.32826614379883
1739278447.0477262,338304000,-34.487892150878906
1739278457.0476706,338568192,-34.08843994140625
1739278467.1988418,338786304,-34.23788070678711
1739278477.048181,339026944,-33.59248352050781
1739278487.0476763,339280896,-31.797870635986328
1739278497.0479887,339534848,-33.0509147644043
1739278507.047943,339732480,-33.64214324951172
1739278517.0488806,339990528,-31.39211654663086
1739278527.0481336,340244480,-32.23878479003906
1739278537.0488167,340444160,-32.74859619140625
1739278547.0483074,340700160,-31.79210090637207
1739278557.0480773,340954112,-31.64282989501953
1739278567.048487,341201920,-30.869245529174805
1739278577.047882,341406720,-29.68067741394043
1739278587.0480988,341662720,-28.27035140991211
1739278597.0478218,341912576,-30.111770629882812
1739278607.048945,342109184,-29.542863845825195
1739278617.0482206,342368256,-29.023954391479492
1739278627.0483513,342619136,-29.654193878173828
1739278637.1294386,342829056,-28.734886169433594
1739278647.0481641,343084032,-27.960247039794922
1739278657.0481472,343347200,-28.27005958557129
1739278667.0476668,343602176,-29.21933937072754
1739278677.0479355,343808000,-28.434328079223633
1739278687.047648,344075264,-28.087778091430664
1739278697.0481994,344335360,-27.51403045654297
1739278707.0487247,344544256,-26.84466552734375
1739278717.0478184,344803328,-27.119565963745117
1739278727.0495975,345061376,-26.825761795043945
1739278737.0482132,345319424,-26.41794776916504
1739278747.0478945,345533440,-25.96424102783203
1739278757.0484693,345791488,-25.459692001342773
1739278767.0486708,346050560,-26.478315353393555
1739278777.047828,346268672,-25.107221603393555
1739278787.0477934,346526720,-25.49619483947754
1739278797.048028,346784768,-24.986682891845703
1739278807.124237,346997760,-23.504493713378906
1739278817.0480804,347251712,-24.82657814025879
1739278827.0475848,347510784,-22.27741050720215
1739278837.0478394,347771904,-24.35625648498535
1739278847.0488465,347984896,-24.061113357543945
1739278857.0482662,348244992,-24.26699447631836
1739278867.0480886,348500992,-23.86142921447754
1739278877.0477805,348717056,-23.821964263916016
1739278887.0479205,348974080,-24.338314056396484
1739278897.0499122,349229056,-21.57988929748535
