wall_time,step,value
1739278357.0475416,336125952,1040.4765625
1739278367.04733,336337920,1047.1953125
1739278377.0473473,336589824,1054.671875
1739278387.0470674,336854016,1065.2421875
1739278397.047292,337104896,1072.9921875
1739278407.0470726,337309696,1079.20703125
1739278417.0471172,337571840,1089.859375
1739278427.0470107,337827840,1097.6328125
1739278437.0470836,338036736,1103.8203125
1739278447.0470526,338304000,1114.8046875
1739278457.0471814,338568192,1122.83203125
1739278467.1978214,338786304,1130.82421875
1739278477.0471919,339026944,1139.48046875
1739278487.047151,339280896,1147.0078125
1739278497.0471132,339534848,1154.82421875
1739278507.047198,339732480,1163.37109375
1739278517.0473008,339990528,1171.37890625
1739278527.047093,340244480,1178.87890625
1739278537.0475106,340444160,1187.38671875
1739278547.0475202,340700160,1194.86328125
1739278557.0470781,340954112,1202.33984375
1739278567.0472343,341201920,1210.33203125
1739278577.0472894,341406720,1211.62109375
1739278587.0470958,341662720,1211.62109375
1739278597.0472932,341912576,1211.62109375
1739278607.0474782,342109184,1211.62109375
1739278617.0471442,342368256,1211.62109375
1739278627.047413,342619136,1211.87890625
1739278637.128662,342829056,1211.87890625
1739278647.047419,343084032,1211.87890625
1739278657.0474157,343347200,1211.87890625
1739278667.0471404,343602176,1211.87890625
1739278677.0472114,343808000,1211.87890625
1739278687.0471137,344075264,1211.87890625
1739278697.0470767,344335360,1211.87890625
1739278707.0471022,344544256,1211.87890625
1739278717.0471163,344803328,1211.87890625
1739278727.0470884,345061376,1211.87890625
1739278737.0474565,345319424,1211.87890625
1739278747.0471463,345533440,1211.87890625
1739278757.0474138,345791488,1211.87890625
1739278767.047362,346050560,1211.87890625
1739278777.04729,346268672,1211.87890625
1739278787.0471509,346526720,1212.13671875
1739278797.0471194,346784768,1212.13671875
1739278807.1230478,346997760,1212.13671875
1739278817.04731,347251712,1212.13671875
1739278827.0470958,347510784,1212.13671875
1739278837.047088,347771904,1212.13671875
1739278847.04758,347984896,1212.13671875
1739278857.0474389,348244992,1212.13671875
1739278867.0474536,348500992,1212.13671875
1739278877.0470374,348717056,1212.13671875
1739278887.0471034,348974080,1212.13671875
1739278897.047103,349229056,1212.13671875
1739278907.0471828,349487104,1212.13671875
1739278917.0472555,349702144,1212.13671875
1739278927.047449,349958144,1212.13671875
1739278937.0473151,350215168,1212.13671875
1739278947.0473247,350431232,1212.13671875
1739278957.0471044,350689280,1212.13671875
1739278967.0474086,350942208,1212.13671875
1739278977.0470934,351160320,1212.39453125
1739278987.04707,351418368,1212.39453125
1739278997.04705,351676416,1212.39453125
1739279007.0470665,351936512,1212.39453125
1739279017.0479693,352151552,1212.39453125
1739279027.047162,352412672,1212.39453125
1739279037.0474505,352671744,1212.39453125
1739279047.0472236,352889856,1212.39453125
1739279057.047074,353147904,1212.39453125
1739279067.0473437,353409024,1212.39453125
1739279078.7529244,353668096,1212.39453125
1739279087.0472207,353885184,1212.39453125
1739279097.0474296,354144256,1212.39453125
1739279107.0473,354400256,1212.39453125
1739279117.0474265,354613248,1212.39453125
1739279127.0475667,354874368,1212.39453125
1739279137.047087,355129344,1212.39453125
1739279147.0473013,355342336,1212.39453125
1739279157.047509,355602432,1212.39453125
1739279167.047738,355860480,1212.39453125
1739279177.0560803,356124672,1212.65234375
1739279187.0470662,356345856,1212.65234375
1739279197.0470748,356608000,1212.65234375
1739279207.047104,356870144,1212.65234375
1739279217.047103,357086208,1212.65234375
1739279227.0470877,357347328,1212.65234375
1739279237.0471406,357607424,1212.65234375
1739279247.047114,357866496,1212.65234375
1739279257.047564,358115328,1212.65234375
1739279267.0472765,358282240,1212.65234375
1739279277.0474246,358529024,1212.65234375
1739279287.0472715,358789120,1212.65234375
1739279298.4641788,359034880,1212.65234375
1739279307.047321,359262208,1212.65234375
1739279317.0472286,359522304,1212.65234375
1739279327.0471067,359782400,1212.65234375
1739279337.0472138,359995392,1212.65234375
1739279347.047323,360246272,1212.65234375
1739279357.047228,360483840,1212.65234375
1739279367.0473049,360698880,1212.65234375
1739279377.047176,360954880,1212.65234375
1739279387.0470753,361221120,1212.91015625
1739279397.0471222,361479168,1212.91015625
1739279407.0472572,361693184,1212.91015625
1739279417.047146,361948160,1212.91015625
1739279427.0472302,362199040,1212.91015625
1739279437.047049,362394624,1212.91015625
1739279447.0473,362629120,1212.91015625
1739279457.0473983,362880000,1212.91015625
1739279468.119424,363114496,1212.91015625
1739279477.0473924,363343872,1212.91015625
1739279487.047078,363600896,1212.91015625
1739279497.0471034,363853824,1212.91015625
1739279507.0474348,364065792,1212.91015625
1739279517.0471015,364315648,1212.91015625
1739279527.047099,364571648,1212.91015625
1739279537.0472982,364779520,1212.91015625
1739279547.04738,365034496,1212.91015625
1739279557.047069,365292544,1212.91015625
1739279567.0474067,365553664,1212.91015625
1739279577.0471997,365766656,1212.91015625
1739279587.0472918,366025728,1212.91015625
1739279597.047099,366284800,1213.16796875
1739279607.047343,366495744,1213.16796875
1739279617.0473197,366748672,1213.16796875
1739279627.0471888,367011840,1213.16796875
1739279637.8836498,367248384,1213.16796875
1739279647.047272,367478784,1213.16796875
1739279657.0470684,367737856,1213.16796875
1739279667.0472543,367998976,1213.16796875
1739279677.0472245,368210944,1213.16796875
1739279687.0470462,368467968,1213.16796875
1739279697.0470471,368731136,1213.16796875
1739279707.0471447,368944128,1213.16796875
1739279717.0473032,369200128,1213.16796875
1739279727.0470881,369460224,1213.16796875
1739279737.0473397,369723392,1213.16796875
1739279747.047094,369938432,1213.16796875
1739279757.0472944,370201600,1213.16796875
1739279767.0475001,370460672,1213.16796875
1739279777.0471425,370665472,1213.16796875
1739279787.0470674,370932736,1213.16796875
1739279797.0474274,371194880,1213.16796875
1739279807.7216918,371421184,1213.16796875
1739279817.0477676,371649536,1213.16796875
1739279827.047201,371898368,1213.16796875
1739279837.0474885,372145152,1213.16796875
1739279847.0473127,372343808,1213.16796875
1739279857.047127,372613120,1213.42578125
1739279867.0471108,372878336,1213.42578125
1739279877.0472264,373086208,1213.42578125
1739279887.0470836,373348352,1213.42578125
1739279897.047277,373609472,1213.42578125
1739279907.0474253,373866496,1213.42578125
1739279917.047437,374065152,1213.42578125
1739279927.0471668,374322176,1213.42578125
1739279937.0473433,374562816,1213.42578125
1739279947.0471625,374771712,1213.42578125
1739279957.0470695,375038976,1213.42578125
1739279967.0472085,375300096,1213.42578125
1739279977.8406904,375528448,1213.42578125
1739279987.0470648,375768064,1213.42578125
1739279997.0473142,376033280,1213.42578125
1739280007.0471659,376288256,1213.42578125
1739280017.0471554,376492032,1213.42578125
1739280027.0470784,376753152,1213.42578125
1739280037.0471377,377009152,1213.42578125
1739280047.0472548,377214976,1213.42578125
1739280057.0470562,377479168,1213.42578125
1739280067.0473354,377741312,1213.42578125
1739280077.0473568,377989120,1213.42578125
1739280087.047082,378195968,1213.42578125
1739280097.0471482,378458112,1213.42578125
1739280107.0470665,378719232,1213.42578125
1739280117.0474277,378920960,1213.68359375
1739280127.0470822,379174912,1213.68359375
1739280137.0470834,379428864,1213.68359375
1739280147.8388383,379658240,1213.68359375
1739280157.047264,379893760,1213.68359375
1739280167.0470917,380144640,1213.68359375
1739280177.0470986,380399616,1213.68359375
1739280187.0471606,380610560,1213.68359375
1739280197.04746,380866560,1213.68359375
1739280207.0470912,381127680,1213.68359375
1739280217.047078,381342720,1213.68359375
1739280227.047506,381599744,1213.68359375
1739280237.0473073,381856768,1213.68359375
1739280247.047106,382099456,1213.68359375
1739280257.0473566,382297088,1213.68359375
1739280267.0471244,382551040,1213.68359375
1739280277.047367,382809088,1213.68359375
1739280287.0473566,383029248,1213.68359375
1739280297.0470743,383295488,1213.68359375
1739280307.047091,383555584,1213.68359375
1739280317.5364158,383784960,1213.68359375
1739280327.0474937,384031744,1213.68359375
1739280337.0471046,384274432,1213.68359375
1739280347.0472035,384527360,1213.68359375
1739280357.0472286,384742400,1213.68359375
1739280367.0471928,384990208,1213.68359375
1739280377.0474052,385226752,1213.68359375
1739280387.0471325,385428480,1213.68359375
1739280397.0470712,385688576,1213.68359375
1739280407.0473979,385945600,1213.68359375
1739280417.0470974,386203648,1213.94140625
1739280427.0473056,386420736,1213.94140625
1739280437.047306,386680832,1213.94140625
1739280447.0471056,386940928,1213.94140625
1739280457.0473988,387156992,1213.94140625
1739280467.0473697,387414016,1213.94140625
1739280477.0474792,387663872,1213.94140625
1739280487.2602909,387870720,1213.94140625
1739280497.047115,388115456,1213.94140625
1739280507.0470731,388363264,1213.94140625
1739280517.047343,388596736,1213.94140625
1739280527.0470595,388810752,1213.94140625
1739280537.0472002,389074944,1213.94140625
1739280547.0471225,389335040,1213.94140625
1739280557.0471127,389544960,1213.94140625
1739280567.0470972,389801984,1213.94140625
1739280577.0474622,390056960,1213.94140625
1739280587.0474768,390309888,1213.94140625
1739280597.0471723,390529024,1213.94140625
1739280607.0473275,390789120,1213.94140625
1739280617.047151,391044096,1213.94140625
1739280627.0471222,391244800,1213.94140625
1739280637.0470827,391491584,1213.94140625
1739280647.0471132,391744512,1213.94140625
1739280657.0646994,391956480,1213.94140625
1739280667.0472283,392210432,1213.94140625
1739280677.0474348,392466432,1213.94140625
1739280687.04733,392718336,1213.94140625
1739280697.0470643,392934400,1213.94140625
1739280707.0470629,393189376,1213.94140625
1739280717.0475147,393444352,1213.94140625
1739280727.0474608,393652224,1213.94140625
1739280737.0474675,393906176,1213.94140625
1739280747.047493,394160128,1213.94140625
1739280757.0472257,394416128,1213.94140625
1739280767.0474539,394627072,1213.94140625
1739280777.0474842,394895360,1213.94140625
1739280787.0473454,395154432,1213.94140625
1739280797.0474055,395367424,1213.94140625
1739280807.0471077,395632640,1213.94140625
1739280817.047549,395894784,1214.19921875
1739280827.0471609,396107776,1214.19921875
1739280837.0476196,396362752,1214.19921875
1739280847.047425,396624896,1214.19921875
1739280857.047468,396879872,1214.19921875
1739280867.0482051,397090816,1214.19921875
1739280877.0474281,397346816,1214.19921875
1739280887.047473,397603840,1214.19921875
1739280897.0471847,397810688,1214.19921875
1739280907.0471463,398065664,1214.19921875
1739280917.0471406,398327808,1214.19921875
1739280927.0474508,398578688,1214.19921875
1739280937.0470424,398790656,1214.19921875
1739280947.047142,399053824,1214.19921875
1739280957.047181,399313920,1214.19921875
1739280967.0472088,399527936,1214.19921875
1739280977.0470908,399793152,1214.19921875
1739280987.0470986,400059392,1214.19921875
1739280997.0471969,400272384,1214.19921875
1739281007.0470386,400532480,1214.19921875
1739281017.0473483,400797696,1214.19921875
1739281027.0474052,401054720,1214.19921875
1739281037.047233,401256448,1214.19921875
1739281047.047059,401526784,1214.19921875
1739281057.0471022,401787904,1214.19921875
1739281067.0473437,401994752,1214.19921875
1739281077.0472574,402259968,1214.19921875
1739281087.047451,402525184,1214.19921875
1739281097.047574,402781184,1214.19921875
1739281107.047383,402990080,1214.19921875
1739281117.0470917,403257344,1214.19921875
1739281127.0473742,403518464,1214.19921875
1739281137.0474327,403723264,1214.19921875
1739281147.0470755,403988480,1214.19921875
1739281157.0474088,404253696,1214.19921875
1739281167.0563817,404460544,1214.19921875
1739281177.0471818,404724736,1214.19921875
1739281187.0470908,404984832,1214.19921875
1739281197.0471294,405243904,1214.19921875
1739281207.0471053,405457920,1214.19921875
1739281217.0470917,405716992,1214.19921875
1739281227.047098,405976064,1214.19921875
1739281237.0473697,406191104,1214.45703125
1739281247.0471034,406449152,1214.45703125
1739281257.0470855,406705152,1214.45703125
1739281267.0473847,406964224,1214.45703125
1739281277.0474231,407180288,1214.45703125
1739281287.047324,407439360,1214.45703125
1739281297.0470963,407695360,1214.45703125
1739281307.0474658,407915520,1214.45703125
1739281317.0471044,408173568,1214.45703125
1739281327.0470424,408432640,1214.45703125
1739281337.0865865,408651776,1214.45703125
1739281347.047086,408909824,1214.45703125
1739281357.0471065,409168896,1214.45703125
1739281367.0472708,409424896,1214.45703125
1739281377.0474827,409635840,1214.45703125
1739281387.0473375,409892864,1214.45703125
1739281397.0471876,410149888,1214.45703125
1739281407.0474102,410358784,1214.45703125
1739281417.0471947,410616832,1214.45703125
1739281427.047095,410872832,1214.45703125
1739281437.0473685,411129856,1214.45703125
1739281447.0471287,411341824,1214.45703125
1739281457.047446,411599872,1214.45703125
1739281467.0473106,411858944,1214.45703125
1739281477.0471292,412071936,1214.45703125
1739281487.047226,412331008,1214.45703125
1739281497.0471587,412585984,1214.45703125
1739281507.0471287,412801024,1214.45703125
1739281517.056321,413057024,1214.45703125
1739281527.0558784,413312000,1214.45703125
1739281537.047209,413564928,1214.45703125
1739281547.0474405,413780992,1214.45703125
1739281557.047335,414041088,1214.45703125
1739281567.0474474,414300160,1214.45703125
1739281577.047028,414512128,1214.45703125
1739281587.0470943,414770176,1214.45703125
1739281597.047086,415029248,1214.45703125
1739281607.0472913,415287296,1214.45703125
1739281617.0470705,415500288,1214.45703125
1739281627.047217,415758336,1214.45703125
1739281637.0471127,416010240,1214.45703125
1739281647.0470939,416216064,1214.45703125
1739281657.0473945,416468992,1214.45703125
1739281667.0474043,416730112,1214.45703125
1739281677.0471513,416946176,1214.45703125
1739281687.047445,417210368,1214.45703125
1739281697.0477355,417465344,1214.45703125
1739281707.0474424,417720320,1214.45703125
1739281717.047066,417940480,1214.45703125
1739281727.0474532,418197504,1214.45703125
1739281737.047747,418452480,1214.45703125
1739281747.0472956,418670592,1214.45703125
1739281757.0473583,418931712,1214.45703125
1739281767.0475342,419187712,1214.45703125
1739281778.7580175,419447808,1214.71484375
1739281787.0473032,419659776,1214.71484375
1739281797.047227,419918848,1214.71484375
1739281807.0472884,420176896,1214.71484375
1739281817.0474195,420393984,1214.71484375
1739281827.047313,420644864,1214.71484375
1739281837.0471613,420903936,1214.71484375
1739281847.047383,421121024,1214.71484375
1739281857.04739,421383168,1214.71484375
1739281867.0474863,421643264,1214.71484375
1739281877.0569093,421901312,1214.71484375
1739281887.0470986,422117376,1214.71484375
1739281897.0474806,422375424,1214.71484375
1739281907.0470955,422636544,1214.71484375
1739281917.047423,422851584,1214.71484375
1739281927.0471377,423109632,1214.71484375
1739281937.0474412,423370752,1214.71484375
1739281948.7871826,423627776,1214.71484375
1739281957.0471115,423842816,1214.71484375
1739281967.047206,424103936,1214.71484375
1739281977.0472586,424366080,1214.71484375
1739281987.0471044,424578048,1214.71484375
1739281997.0473073,424839168,1214.71484375
1739282007.047179,425099264,1214.71484375
1739282017.047074,425308160,1214.71484375
1739282027.047556,425562112,1214.71484375
1739282037.0470536,425827328,1214.71484375
1739282047.0471234,426087424,1214.71484375
1739282057.0471063,426298368,1214.71484375
1739282067.0470872,426559488,1214.71484375
1739282077.0474827,426823680,1214.71484375
1739282087.0474353,427035648,1214.71484375
1739282097.047053,427295744,1214.71484375
1739282107.0474484,427556864,1214.71484375
1739282117.047109,427814912,1214.71484375
1739282127.047041,428014592,1214.71484375
1739282137.047093,428277760,1214.71484375
1739282147.0470476,428540928,1214.71484375
1739282157.0471935,428737536,1214.71484375
1739282167.04731,428983296,1214.71484375
1739282177.0471027,429250560,1214.71484375
1739282187.0474803,429427712,1214.71484375
1739282197.0475197,429681664,1214.71484375
1739282207.047077,429950976,1214.71484375
1739282217.0474498,430218240,1214.71484375
1739282227.0471592,430424064,1214.71484375
1739282237.0470803,430698496,1214.71484375
1739282247.0470862,430957568,1214.71484375
1739282257.047499,431166464,1214.71484375
1739282267.0470574,431429632,1214.71484375
1739282277.0470662,431695872,1214.71484375
1739282287.0474248,431956992,1214.71484375
1739282297.0472217,432166912,1214.71484375
1739282307.0471056,432435200,1214.71484375
1739282317.0471158,432688128,1214.71484375
1739282327.0472107,432893952,1214.71484375
1739282337.047055,433159168,1214.71484375
1739282347.047757,433426432,1214.97265625
1739282357.5212007,433645568,1214.97265625
1739282367.047043,433881088,1214.97265625
1739282377.0470886,434137088,1214.97265625
1739282387.0471332,434377728,1214.97265625
1739282397.0474792,434578432,1214.97265625
1739282407.0471058,434789376,1214.97265625
1739282417.0471225,435041280,1214.97265625
1739282427.047755,435245056,1214.97265625
1739282437.0470517,435501056,1214.97265625
1739282447.0472019,435762176,1214.97265625
1739282457.0475638,436024320,1214.97265625
1739282467.047032,436229120,1214.97265625
1739282477.0471032,436491264,1214.97265625
1739282487.0471096,436752384,1214.97265625
1739282497.047201,436954112,1214.97265625
1739282507.0470548,437225472,1214.97265625
1739282517.0471559,437486592,1214.97265625
1739282527.8914356,437710848,1214.97265625
1739282537.0470374,437946368,1214.97265625
1739282547.0471265,438201344,1214.97265625
1739282557.0472028,438454272,1214.97265625
1739282567.0472448,438626304,1214.97265625
1739282577.0470834,438890496,1214.97265625
1739282587.047122,439150592,1214.97265625
1739282597.048547,439361536,1214.97265625
1739282607.047391,439627776,1214.97265625
1739282617.0476396,439901184,1214.97265625
1739282627.056478,440166400,1214.97265625
1739282637.0475187,440369152,1214.97265625
1739282647.0473034,440628224,1214.97265625
1739282657.0473382,440890368,1214.97265625
1739282667.0470288,441105408,1214.97265625
1739282677.0474093,441367552,1214.97265625
1739282687.0473137,441628672,1214.97265625
1739282698.6494853,441882624,1214.97265625
1739282707.0474205,442099712,1214.97265625
1739282717.0472896,442358784,1214.97265625
1739282727.047072,442617856,1214.97265625
1739282737.0470872,442830848,1214.97265625
1739282747.0469913,443094016,1214.97265625
1739282757.0478055,443339776,1214.97265625
1739282767.0470893,443516928,1214.97265625
1739282777.0472655,443772928,1214.97265625
1739282787.047087,444036096,1214.97265625
