wall_time,step,value
1739278497.0470915,339534848,6.801605195505545e-05
1739278507.0471642,339732480,4.850864570471458e-05
1739278517.047269,339990528,4.9214362661587074e-05
1739278527.0470717,340244480,4.998207077733241e-05
1739278537.0474505,340444160,4.990100933355279e-05
1739278547.047463,340700160,4.9676895287120715e-05
1739278557.0470562,340954112,4.876136881648563e-05
1739278567.0472097,341201920,4.931926741846837e-05
1739278577.047253,341406720,4.956245538778603e-05
1739278587.0470738,341662720,4.937171979690902e-05
1739278597.0472543,341912576,4.9967766244662926e-05
1739278607.0474226,342109184,5.11980069859419e-05
1739278617.0471222,342368256,5.0096510676667094e-05
1739278627.047388,342619136,4.8551559302723035e-05
1739278637.1286273,342829056,4.777431604452431e-05
1739278647.0473626,343084032,4.833698403672315e-05
1739278657.0473585,343347200,4.809379606740549e-05
1739278667.0471175,343602176,4.8599242290947586e-05
1739278677.0471797,343808000,4.842758062295616e-05
1739278687.047092,344075264,4.815578358829953e-05
1739278697.047054,344335360,4.832267586607486e-05
1739278707.0470805,344544256,4.912376243737526e-05
1739278717.047094,344803328,4.753112807520665e-05
1739278727.0470643,345061376,4.761695890920237e-05
1739278737.0474002,345319424,5.117416367284022e-05
1739278747.047124,345533440,5.1436425565043464e-05
1739278757.0473592,345791488,4.9185753596248105e-05
1739278767.0473056,346050560,4.930019349558279e-05
1739278777.047267,346268672,4.9405098252464086e-05
1739278787.0471141,346526720,4.9896239943336695e-05
1739278797.0470955,346784768,4.918098420603201e-05
1739278807.1230152,346997760,4.8604011681163684e-05
1739278817.0472765,347251712,4.833698403672315e-05
1739278827.0470734,347510784,4.75883498438634e-05
1739278837.0470655,347771904,4.7550201998092234e-05
1739278847.0475192,347984896,4.837512824451551e-05
1739278857.04738,348244992,4.857063322560862e-05
1739278867.0473979,348500992,4.916667967336252e-05
1739278877.0470161,348717056,4.9848556955112144e-05
1739278887.0470808,348974080,4.6448709326796234e-05
1739278897.0470817,349229056,4.488944978220388e-05
1739278907.04716,349487104,4.580021050060168e-05
1739278917.04723,349702144,4.538059147307649e-05
1739278927.0473933,349958144,4.539013025350869e-05
1739278937.0472784,350215168,4.54759610875044e-05
1739278947.0473025,350431232,4.575252387439832e-05
1739278957.047083,350689280,4.5619010052178055e-05
1739278967.0473526,350942208,4.671096758102067e-05
1739278977.0470707,351160320,4.750728476210497e-05
1739278987.0470476,351418368,4.7769546654308215e-05
1739278997.0470278,351676416,4.69779952254612e-05
1739279007.0470433,351936512,4.650592745747417e-05
1739279017.0479465,352151552,4.618644743459299e-05
1739279027.047134,352412672,4.523277311818674e-05
1739279037.0473936,352671744,4.6396256948355585e-05
1739279047.0472007,352889856,4.787445141118951e-05
1739279057.0470524,353147904,4.7740937588969246e-05
1739279067.0473206,353409024,4.786491263075732e-05
1739279078.7529025,353668096,4.831314072362147e-05
1739279087.047186,353885184,4.833698403672315e-05
1739279097.047374,354144256,4.8112869990291074e-05
1739279107.0472622,354400256,5.03969204146415e-05
1739279117.047369,354613248,5.0044058298226446e-05
1739279127.0475407,354874368,5.05924217577558e-05
1739279137.0470648,355129344,5.170822259970009e-05
1739279147.0472658,355342336,5.218029036768712e-05
1739279157.047486,355602432,5.1774979510810226e-05
1739279167.0477152,355860480,5.2103994676144794e-05
1739279177.0560236,356124672,5.2828789193881676e-05
