wall_time,step,value
1739278349.0525298,335959040,0.0
1739278424.3748183,337759232,3.1783856684342027e-06
1739278501.2790005,339593216,1.5450641512870789e-06
1739278576.8496952,341401600,1.5035911928862333e-06
1739278652.5426974,343230464,1.0331423254683614e-06
1739278728.3792589,345096192,1.692547812126577e-06
1739278804.3663483,346970112,1.648957550060004e-06
1739278880.4173257,348804096,3.885143087245524e-07
1739278956.598531,350678016,1.4665602066088468e-06
1739279032.890431,352564224,6.147456588223577e-07
1739279109.3544726,354460672,1.0150770322070457e-06
1739279185.899898,356314112,9.107170626521111e-07
1739279264.457256,358233088,1.6325939213857055e-06
1739279341.2497344,360105984,6.121117621660233e-07
1739279418.163113,361974784,5.778929335065186e-07
1739279495.205901,363808768,4.112953320145607e-07
1739279572.3766918,365645824,1.1095471563749015e-06
1739279649.6611733,367549440,1.5284749679267406e-06
1739279727.1143079,369461248,6.238253718038322e-07
1739279804.637354,371387392,1.6188641893677413e-06
1739279882.2792974,373221376,1.6088742995634675e-06
1739279960.059879,375117824,8.538228257748415e-07
1739280037.9736116,377032704,1.183623680844903e-06
1739280115.9816701,378896384,8.080678526312113e-07
1739280194.1278698,380792832,9.233190212398767e-07
1739280272.4010122,382690304,6.398040568456054e-07
1739280351.588355,384602112,6.265254341997206e-07
1739280430.1191106,386500608,1.080014044418931e-06
1739280508.7968864,388407296,7.203871064120904e-07
1739280587.599376,390324224,5.389229045249522e-07
1739280666.483714,392196096,9.431096259504557e-07
1739280745.4933972,394119168,8.666193025419489e-07
1739280824.6182458,396089344,1.8618011381477118e-06
1739280903.8753633,397981696,6.292175385169685e-07
1739280983.2965293,399959040,4.410212568473071e-07
1739281062.86583,401936384,6.530763130285777e-07
1739281142.4983892,403867648,7.336202543228865e-07
1739281222.2816777,405850112,8.634524419903755e-07
1739281303.1654813,407811072,9.699870133772492e-07
1739281383.2605505,409795584,8.212573447963223e-07
1739281463.410382,411763712,1.2390228221192956e-06
1739281543.7185066,413694976,1.4177430784911849e-06
1739281624.1593513,415683584,6.386580935213715e-07
1739281704.714663,417659904,8.994575182441622e-07
1739281785.4054992,419620864,8.851566235534847e-07
1739281866.2292717,421624832,1.4832912711426616e-06
1739281948.8095164,423628800,4.769026418216527e-07
1739282029.8735826,425637888,6.926566129550338e-07
1739282111.0705152,427663360,2.307744580321014e-06
1739282192.441882,429558784,7.917697075754404e-07
1739282273.9505408,431609856,1.8803548300638795e-06
1739282355.539763,433644544,2.172397216781974e-06
1739282437.2906134,435507200,2.0112856873311102e-06
1739282519.1511495,437539840,8.164715836755931e-07
1739282601.107934,439463936,6.921472959220409e-07
1739282683.2185366,441529344,8.804272511042655e-07
1739282766.9819505,443515904,1.1315732990624383e-06
