wall_time,step,value
1739278349.0487268,335959040,1.0
1739278424.3721638,337759232,1.0
1739278501.2766163,339593216,1.0
1739278576.8468645,341401600,1.0
1739278652.5391598,343230464,1.0
1739278728.3768184,345096192,1.0
1739278804.362844,346970112,1.0
1739278880.4149978,348804096,1.0
1739278956.5948267,350678016,1.0
1739279032.8877184,352564224,1.0
1739279109.3516748,354460672,1.0
1739279185.8966804,356314112,1.0
1739279264.4536235,358233088,1.0
1739279341.2467728,360105984,1.0
1739279418.1602213,361974784,1.0
1739279495.2036972,363808768,1.0
1739279572.3735807,365645824,1.0
1739279649.6578736,367549440,1.0
1739279727.1107347,369461248,1.0
1739279804.6342885,371387392,1.0
1739279882.2764125,373221376,1.0
1739279960.0566843,375117824,1.0
1739280037.9714491,377032704,1.0
1739280115.9798014,378896384,1.0
1739280194.1254008,380792832,1.0
1739280272.3976517,382690304,1.0
1739280351.5852659,384602112,1.0
1739280430.1157372,386500608,1.0
1739280508.7937815,388407296,1.0
1739280587.5968592,390324224,1.0
1739280666.4803903,392196096,1.0
1739280745.4906442,394119168,1.0
1739280824.6151414,396089344,1.0
1739280903.872983,397981696,1.0
1739280983.293577,399959040,1.0
1739281062.863342,401936384,1.0
1739281142.495317,403867648,1.0
1739281222.2793345,405850112,1.0
1739281303.162071,407811072,1.0
1739281383.2562146,409795584,1.0
1739281463.407997,411763712,1.0
1739281543.715647,413694976,1.0
1739281624.1565914,415683584,1.0
1739281704.7119567,417659904,1.0
1739281785.4027414,419620864,1.0
1739281866.2267666,421624832,1.0
1739281948.8059814,423628800,1.0
1739282029.868744,425637888,1.0
1739282111.0677373,427663360,1.0
1739282192.438448,429558784,1.0
1739282273.946767,431609856,1.0
1739282355.535258,433644544,1.0
1739282437.288205,435507200,1.0
1739282519.1475174,437539840,1.0
1739282601.1040359,439463936,1.0
1739282683.2161808,441529344,1.0
1739282766.978958,443515904,1.0
