wall_time,step,value
1739278349.0486999,335959040,1.0
1739278424.3721588,337759232,1.0
1739278501.2766078,339593216,1.0
1739278576.846856,341401600,1.0
1739278652.5391533,343230464,1.0
1739278728.3768008,345096192,1.0
1739278804.3628383,346970112,1.0
1739278880.414992,348804096,1.0
1739278956.5948095,350678016,1.0
1739279032.8877084,352564224,1.0
1739279109.3516645,354460672,1.0
1739279185.8966749,356314112,1.0
1739279264.4536176,358233088,1.0
1739279341.2467673,360105984,1.0
1739279418.1602118,361974784,1.0
1739279495.2036872,363808768,1.0
1739279572.3735757,365645824,1.0
1739279649.6578681,367549440,1.0
1739279727.1107173,369461248,1.0
1739279804.634283,371387392,1.0
1739279882.2764075,373221376,1.0
1739279960.056679,375117824,1.0
1739280037.97144,377032704,1.0
1739280115.979784,378896384,1.0
1739280194.1253831,380792832,1.0
1739280272.3976467,382690304,1.0
1739280351.5852573,384602112,1.0
1739280430.1157317,386500608,1.0
1739280508.7937722,388407296,1.0
1739280587.5968537,390324224,1.0
1739280666.4803727,392196096,1.0
1739280745.490627,394119168,1.0
1739280824.6151366,396089344,1.0
1739280903.872978,397981696,1.0
1739280983.2935715,399959040,1.0
1739281062.8633237,401936384,1.0
1739281142.4952579,403867648,1.0
1739281222.2793264,405850112,1.0
1739281303.162066,407811072,1.0
1739281383.2562056,409795584,1.0
1739281463.4079916,411763712,1.0
1739281543.7156293,413694976,1.0
1739281624.1565738,415683584,1.0
1739281704.7119398,417659904,1.0
1739281785.4027326,419620864,1.0
1739281866.2267616,421624832,1.0
1739281948.805964,423628800,1.0
1739282029.868735,425637888,1.0
1739282111.067719,427663360,1.0
1739282192.4384313,429558784,1.0
1739282273.946762,431609856,1.0
1739282355.5352392,433644544,1.0
1739282437.2881994,435507200,1.0
1739282519.1475117,437539840,1.0
1739282601.1040192,439463936,1.0
1739282683.2161756,441529344,1.0
1739282766.9789522,443515904,1.0
