wall_time,step,value
1739278349.0540664,335959040,0.0
1739278424.3756816,337759232,18.0
1739278501.28002,339593216,18.0
1739278576.851214,341401600,19.0
1739278652.54375,343230464,19.0
1739278728.3806014,345096192,19.0
1739278804.3699584,346970112,19.0
1739278880.4187956,348804096,19.0
1739278956.598908,350678016,19.0
1739279032.8912866,352564224,19.0
1739279109.3558033,354460672,19.0
1739279185.9014883,356314112,20.0
1739279264.4587817,358233088,18.0
1739279341.2504807,360105984,19.0
1739279418.1644385,361974784,19.0
1739279495.2074852,363808768,19.0
1739279572.3774416,365645824,19.0
1739279649.6626492,367549440,20.0
1739279727.1156878,369461248,19.0
1739279804.6378999,371387392,18.0
1739279882.2807047,373221376,19.0
1739279960.0606556,375117824,19.0
1739280037.974669,377032704,18.0
1739280115.9832187,378896384,20.0
1739280194.1286752,380792832,19.0
1739280272.4020288,382690304,18.0
1739280351.588829,384602112,18.0
1739280430.1202693,386500608,19.0
1739280508.7976456,388407296,19.0
1739280587.6000783,390324224,18.0
1739280666.4844272,392196096,18.0
1739280745.4955022,394119168,18.0
1739280824.6198096,396089344,20.0
1739280903.8776548,397981696,19.0
1739280983.2976952,399959040,18.0
1739281062.8676958,401936384,19.0
1739281142.4994824,403867648,19.0
1739281222.2824168,405850112,18.0
1739281303.1672285,407811072,18.0
1739281383.2615998,409795584,18.0
1739281463.4118545,411763712,18.0
1739281543.7192144,413694976,18.0
1739281624.1607504,415683584,20.0
1739281704.7174313,417659904,18.0
1739281785.4066415,419620864,18.0
1739281866.230452,421624832,18.0
1739281948.8100982,423628800,19.0
1739282029.874927,425637888,21.0
1739282111.0716157,427663360,20.0
1739282192.442586,429558784,18.0
1739282273.9511485,431609856,19.0
1739282355.5412817,433644544,19.0
1739282437.2910953,435507200,18.0
1739282519.1520238,437539840,19.0
1739282601.1096814,439463936,19.0
1739282683.2198198,441529344,19.0
1739282766.9828467,443515904,20.0
